Resource,Zone,Investment_Cost,Fixed_OM_Cost,Var_OM_Cost,Startup_Cost
Liquid_DAC_1,1,5133.852554703929,1748.1653095759068,0.1600062750379165,0.0
Liquid_DAC_2,2,5049.771615314118,1719.5343000423074,0.16918660114182613,0.0
Liquid_DAC_3,3,5075.794970097233,1728.395701024489,0.15204359362208286,0.0
Liquid_DAC_4,4,5174.33968556758,1761.9518756889606,0.15645572050436876,0.0
Liquid_DAC_5,5,5168.942269184824,1760.113962351729,0.1611240654277812,0.0
Liquid_DAC_6,6,5081.703216926812,1730.4075609362853,0.1583149698819009,0.0
Liquid_DAC_7,7,5234.649808007477,1782.4885122094427,0.16114337949003696,0.0
Liquid_DAC_8,8,5099.45868192031,1736.4536028952778,0.15914355678438877,0.0
Liquid_DAC_9,9,4888.500367271896,1664.6186595451713,0.14765115861280873,0.0
Liquid_DAC_10,10,4936.213149125437,1680.865684400472,0.15510197666512246,0.0
Solid_DAC_1,1,1.1187264086246653e6,122807.5606460159,14.217755098512715,0.0
Solid_DAC_2,2,1.751358693384274e8,1.9225441295797292e7,2227.1074009414424,0.0
Solid_DAC_3,3,74073.4599367691,8131.372293810744,0.9315335334890665,0.0
Solid_DAC_4,4,187155.15247992455,20544.8513248639,2.373583014635789,0.0
Solid_DAC_5,5,3.949729875111632e7,4.335793697490965e6,502.26173314800354,0.0
Solid_DAC_6,6,3.1438716113513943e7,3.4511673327616807e6,399.7818705252915,0.0
Solid_DAC_7,7,2.476732173297609e8,2.7188187767026383e7,3149.524258201191,0.0
Solid_DAC_8,8,3.7019955270945793e8,4.063844713953448e7,4707.624523019121,0.0
Solid_DAC_9,9,30080.946554319835,3302.1189450606735,0.3722507402358964,0.0
Solid_DAC_10,10,1.701245955193005e7,1.867533153820893e6,216.329688944148,0.0
