Resource,Zone,Capacity
Liquid_DAC_1,1,0.0050522088595338615
Liquid_DAC_2,2,0.0049694650599454
Liquid_DAC_3,3,0.004995074565124816
Liquid_DAC_4,4,0.005092052123255767
Liquid_DAC_5,5,0.005086740542025689
Liquid_DAC_6,6,0.005000888853061341
Liquid_DAC_7,7,0.005151403133372183
Liquid_DAC_8,8,0.005018361952763649
Liquid_DAC_9,9,0.004810758509754267
Liquid_DAC_10,10,0.004857712514884897
Solid_DAC_1,1,0.9602142416183141
Solid_DAC_2,2,150.32089585129552
Solid_DAC_3,3,0.06357800317297448
Solid_DAC_4,4,0.16063716867504768
Solid_DAC_5,5,33.9009327695234
Solid_DAC_6,6,26.98416942485833
Solid_DAC_7,7,212.5804385362043
Solid_DAC_8,8,317.7460369326209
Solid_DAC_9,9,0.025818782018676687
Solid_DAC_10,10,14.601966862301346
Total,n/a,757.3947232384024
