Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
CAPTURE_COMP_1,1,36598.94060845247,12656.133035375477,49255.07364382794
CAPTURE_COMP_2,2,5.651603992748506e6,1.9543585362403947e6,7.6059625289889015e6
CAPTURE_COMP_3,3,2815.7037969851235,973.6872502431265,3789.39104722825
CAPTURE_COMP_4,4,6472.819928438738,2238.3399291462206,8711.159857584958
CAPTURE_COMP_5,5,1.2749345557056395e6,440880.0112832057,1.7158145669888454e6
CAPTURE_COMP_6,6,1.014998324780927e6,350992.5045793239,1.3659908293602508e6
CAPTURE_COMP_7,7,7.992042122979009e6,2.7636960701913573e6,1.0755738193170365e7
CAPTURE_COMP_8,8,1.194559860568825e7,4.130859599413386e6,1.6076458205101635e7
CAPTURE_COMP_9,9,1460.7053770535688,505.12067481015407,1965.8260518637228
CAPTURE_COMP_10,10,549478.9690765274,190013.12106742835,739492.0901439558
