,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.036846080974531084,0.03607356140400526,0.033767015388083216,0.03489530998150642,0.04110684488561761,0.046038007130290014,0.0369678636793405,0.03208481294986134,0.03559767990877799,0.024514572715793874
t1,5.201394862435635e-5,5.034365846192011e-5,4.7196363903041307e-5,4.8666555527151256e-5,5.62923777506827e-5,5.513331175508164e-5,4.947049619269592e-5,4.912151197642334e-5,4.1697261392537116e-5,3.0280225844392786e-5
t2,5.243534651041368e-5,5.090995706506761e-5,4.6875043323829646e-5,4.8959728577633544e-5,5.545282155692484e-5,5.577127681443083e-5,4.8524412240800413e-5,4.897859262180617e-5,4.1119242741778884e-5,3.016181292868476e-5
t3,5.219348991193704e-5,5.088751874563106e-5,4.67542975155021e-5,4.8793990592670505e-5,5.483852140352833e-5,5.55535017994796e-5,4.7591896471353076e-5,4.8253335556077445e-5,4.079934893419683e-5,3.0197642693720887e-5
t4,5.2170914688409925e-5,5.068036328301908e-5,4.6688302005747366e-5,4.8651551235236716e-5,5.489067801521194e-5,5.594038825629933e-5,4.800605126708232e-5,4.7958991152207424e-5,4.0525426002229466e-5,3.016992706211884e-5
t5,5.237433544833874e-5,5.066608685482308e-5,4.689592654850236e-5,4.8928396641683544e-5,5.5310840626507454e-5,5.52399751620408e-5,4.70825754582506e-5,4.8255166204991154e-5,4.037451884974808e-5,3.011066221813521e-5
t6,4.396575430373474e-5,4.803229166782642e-5,4.568252436493915e-5,4.554491052808399e-5,4.902428107122983e-5,5.739260865763308e-5,4.255350216335607e-5,3.7369786601162794e-5,4.150537330652758e-5,3.118415809642786e-5
t7,1.790964501143255e-5,2.23673047466825e-5,4.1325436003597885e-5,2.4953593091252826e-5,2.238682637684005e-5,3.5375368450238784e-5,2.3120430510323624e-5,1.8617072824871586e-5,4.567364095115186e-5,3.705259639688401e-5
t8,1.1106737239124319e-5,1.5023409690777651e-5,3.853608992996655e-5,1.7183803439679256e-5,1.4223512126303815e-5,7.011892504430561e-6,6.434432531628334e-6,9.242874978449038e-6,4.800044176280061e-5,4.1396064293155775e-5
t9,1.1644830895251207e-5,1.5632414582699858e-5,2.333401359982599e-5,1.768963429235135e-5,1.5142253040783958e-5,7.216652431285231e-6,6.738404445795547e-6,9.684684044761882e-6,4.797946132413499e-5,2.680391979252872e-5
t10,1.2383192844422141e-5,1.632662305409305e-5,2.1431931752310668e-5,1.850788934591657e-5,1.6001438792078693e-5,2.719125988972736e-6,2.899819849183709e-6,1.0422122278536224e-5,4.823499849063095e-5,2.090753912281686e-5
t11,1.0233479526818342e-5,1.374710830664006e-5,1.870385341866356e-5,1.5839698574377522e-5,1.3128747571735046e-5,2.7958953070045907e-6,2.982777115796178e-6,1.1110781961545939e-5,4.871043396920966e-5,1.7572482125438914e-5
t12,1.2477438990833095e-5,1.6307507329153736e-5,2.1411810670906992e-5,1.8583218072897198e-5,1.5803535832093235e-5,2.662251302203673e-6,2.886599030211721e-6,1.0553211737663986e-5,4.838765583136873e-5,2.4077139838899673e-5
t13,1.1970508069399886e-5,1.6349464413427926e-5,2.1516009827522746e-5,1.8609114485770078e-5,1.504784968654624e-5,3.07991873574822e-6,2.8520610797284984e-6,1.0527606567390248e-5,4.8299636635190935e-5,2.4067120363710235e-5
t14,1.1881531752547414e-5,1.6363252579309616e-5,2.137541064427771e-5,1.8607181645405504e-5,1.4793093057820036e-5,3.052296261975524e-6,3.412186665448852e-6,1.0508300339950652e-5,4.8184388360366806e-5,2.4454738553528044e-5
t15,1.1641456937864917e-5,1.629685110073205e-5,2.1401214748158543e-5,1.8538344993672184e-5,1.4491828486406624e-5,4.386740636242479e-6,3.3503827118040102e-6,1.0401887605320744e-5,4.800600538786123e-5,2.4233713857357154e-5
t16,1.2511486054480221e-5,1.8329396820354388e-5,3.583809612384432e-5,2.06194995222958e-5,1.5248911819052533e-5,4.563220239725782e-6,3.2986815570106288e-6,9.824417111226471e-6,4.80959672916164e-5,3.839535135292188e-5
t17,1.1645053603584502e-5,1.6412889030368635e-5,2.155511771570839e-5,1.8616243436125885e-5,1.4058793972322855e-5,4.7908476850726975e-6,3.538214299727708e-6,1.0222473522506285e-5,4.824136607926848e-5,2.033054808052986e-5
t18,9.980424275772468e-6,1.3798612571512347e-5,1.8544003006095197e-5,1.5739631717953995e-5,1.1841536498681078e-5,6.993667353705694e-7,6.176238671252055e-7,1.1037551366325992e-5,4.8612832576296664e-5,1.7452178071352956e-5
t19,1.2390133485842268e-5,1.663394647633882e-5,2.1897849088029857e-5,1.8968139736991826e-5,1.4573967591214792e-5,2.8949389059065837e-7,2.571845384031692e-7,1.0379864134409367e-5,4.845002364425772e-5,2.1101218725144188e-5
