Resource,Zone,Investment_Cost,Fixed_OM_Cost,Total_Cost
GEO_SEQ_INJECT_1,1,622.0512329302186,1002.8393701820418,1624.8906031122604
GEO_SEQ_INJECT_2,2,67255.09381820443,108425.24273840371,175680.33655660815
GEO_SEQ_INJECT_3,3,238.59824989818782,384.6559672059647,623.2542171041525
GEO_SEQ_INJECT_4,4,218.39123739201202,352.07924904804537,570.4704864400574
GEO_SEQ_INJECT_5,5,15274.58568562949,24624.910421946977,39899.496107576466
GEO_SEQ_INJECT_6,6,12273.930639373268,19787.406921558093,32061.33756093136
GEO_SEQ_INJECT_7,7,95088.90367475784,153297.4958080218,248386.39948277964
GEO_SEQ_INJECT_8,8,142088.2616181267,229067.47105084188,371155.7326689686
GEO_SEQ_INJECT_9,9,240.31193122174432,387.4186771054577,627.7306083272019
GEO_SEQ_INJECT_10,10,6766.516890035172,10908.634493600046,17675.151383635217
GEO_SEQ_GAS_INJECT_1,1,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0,0.0,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0,0.0,0.0
