,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,167.82627013825285,26008.518448755833,12.5699887542856,29.470005247029658,5866.891788619286,4655.693179098564,36779.704584594576,54974.2394276632,6.096329961914528,2535.4751256151776
t1,0.2005900004733432,31.073642143714483,0.015117425501300618,0.03529760008487413,7.009505760170539,5.5797282979926255,43.942542916048346,65.68020593554,0.007253362983753552,3.020267424465791
t2,0.200589918660891,31.073640110399655,0.015117492312774036,0.03529944009334377,7.00950780453512,5.579728138686062,43.9425487230497,65.68020798235551,0.007254366202389087,3.020267683582563
t3,0.20059023095423853,31.073638919684335,0.015118085310184918,0.0352995019862853,7.009507470083016,5.579729885611269,43.94254864062092,65.68020689974661,0.007254929111427445,3.020267771382513
t4,0.20059106040543626,31.073637803364587,0.0151187303266973,0.035299156604005275,7.0095077949950815,5.579728845352597,43.94254868130498,65.68020673512773,0.007255117477049095,3.0202677953031967
t5,0.20059065937368073,31.07363650861158,0.015119407952167225,0.035298937252090525,7.009507860607437,5.579726428297478,43.94254510937189,65.68020634966942,0.007255237484109612,3.0202675736404214
t6,0.20056365743528543,31.073619542634646,0.015114021789513533,0.03528580347037728,7.009487182109415,5.579719595271404,43.942526022811826,65.6801750833541,0.007256794177852103,3.020267239366997
t7,0.200428816392099,31.073548725889502,0.015090722034932186,0.03520637289527883,7.0093809043623585,5.579581925837827,43.94240419869755,65.68006715225836,0.007265952629565175,3.020268654007131
t8,0.20024345670145377,31.073463651806914,0.015068167968886197,0.035103270865494696,7.0092387463568935,5.578847913473233,43.94181875567425,65.67984207817531,0.007274654098372918,3.020268761414786
t9,0.2002256924299293,31.073459003992298,0.014979227740652797,0.03509368701288769,7.009225018805898,5.578465718714131,43.94148804763772,65.67981802415088,0.007281032839063678,3.0202125495250463
t10,0.20021205710964377,31.073463159280937,0.014945404276611708,0.03508849834219856,7.009214476604809,2.7914092289136168,43.920484003940615,65.67981447481426,0.0072841949728015744,3.0201675401839982
t11,0.2001225798144157,31.07342210414221,0.014906709899756537,0.03504487942108748,7.00914661196952,1.1183588457486249,43.89646576678642,65.67981403664707,0.00728841984510212,3.020131236244611
t12,0.20020726360222205,31.0734651101131,0.014944102319265143,0.03508872049495134,7.009208776747989,1.134365073662502,43.921218839049516,65.67981440698347,0.007283644433624989,3.020187454656281
