Resource,Zone,Capacity
GEO_SEQ_INJECT_1,1,1.3928324585861689
GEO_SEQ_INJECT_2,2,150.5906149144496
GEO_SEQ_INJECT_3,3,0.5342443988971731
GEO_SEQ_INJECT_4,4,0.488998957011174
GEO_SEQ_INJECT_5,5,34.201264474926354
GEO_SEQ_INJECT_6,6,27.482509613275123
GEO_SEQ_INJECT_7,7,212.91318862225248
GEO_SEQ_INJECT_8,8,318.14926534839145
GEO_SEQ_INJECT_9,9,0.5380814959798023
GEO_SEQ_INJECT_10,10,15.150881241111172
GEO_SEQ_GAS_INJECT_1,1,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0
Total,n/a,761.4418815248805
