,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption,CO2 Pipeline Compressors Power Consumption
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,24.826592972007056,24.33170963910561,22.76554858487108,23.533453401954183,27.76195512962675,31.14983908497416,24.973905088875743,21.61926394935599,24.05232857698089,16.583278683106055
t1,0.035049533204749836,0.03395807953447894,0.031821264535023076,0.032821387066049666,0.03801865641133878,0.03730640438893779,0.033419645540084725,0.03309916386479666,0.028173384293777984,0.020483761161081603
t2,0.035333301956799484,0.034340195284820366,0.03160444457023534,0.033018839505739014,0.037451306162907316,0.03773805914612006,0.03278010991527816,0.033002550953258485,0.027782644641375042,0.02040359127331916
t3,0.03517025106942974,0.034325067434226295,0.031522896654636486,0.03290703536193642,0.037036330600232224,0.03759063376231434,0.03214992000677381,0.03251360339911237,0.027566437783979353,0.02042785795370131
t4,0.03515491708747389,0.034185222797708414,0.03147822084746097,0.03281078611785266,0.03707146809860195,0.03785231334582808,0.03242971512507998,0.0323150462354813,0.027381267185595082,0.020409060305013958
t5,0.03529192002689634,0.034175622028478285,0.031618148405892846,0.03299760784095613,0.03735512377008795,0.03737834731952056,0.03180591610892116,0.032514454460640524,0.027279316540930423,0.02036899641051626
t6,0.02962585041233471,0.03239771476734288,0.030800190785113885,0.03071634288060413,0.03310945605649922,0.03883430954659374,0.028746712435637582,0.025178712765875338,0.028043763332155944,0.021095288612670387
t7,0.012065461342324264,0.0150847822791147,0.02786294988995899,0.016831323251070653,0.015116608504652924,0.02393700879561427,0.01561681879823625,0.012540031489801493,0.030863380033312616,0.02506689154828523
t8,0.007482043790475951,0.010133513758467117,0.025984616354859973,0.011595448891031906,0.009603258469345474,0.004744051108606959,0.004344694419660095,0.006227110365297554,0.032438000686542665,0.028006545780921356
t9,0.007845212835684715,0.010544576216090352,0.015735064654605082,0.011935495827311002,0.01022431847803387,0.004882663035430574,0.004550308160407271,0.006525301977852583,0.03242254138466091,0.01813550149709841
t10,0.008344123316764285,0.011014323272049003,0.014454082567226875,0.012488635943110593,0.010805226483668617,0.0018395209182608093,0.0019580000853829946,0.007023883793023905,0.03259518770165957,0.014147098570490147
t11,0.006896148454413819,0.009274068731599045,0.012614229706901018,0.01068852286965756,0.008865382394180785,0.0018914607217522818,0.0020140952635852925,0.007487385984685609,0.032916316440739925,0.011890753107133107
t12,0.00840751587755749,0.011001320662683202,0.014440389012859493,0.012539636474782042,0.010671531158719057,0.00180100610219668,0.0019491071933741282,0.0071122588952286505,0.03269857407268444,0.016291339606545174
t13,0.008065859005787334,0.011029491422667372,0.014510590117842129,0.01255708898627101,0.010161161132642841,0.002083430031548395,0.0019258655885260384,0.007094817461407043,0.0326391285576466,0.016284580287064192
t14,0.008005910226891119,0.011038743789070285,0.014415699368062229,0.012555712906967295,0.009989055075443235,0.0020649156229051164,0.0023039904954679333,0.00708174972092365,0.03256121812557681,0.01654680267743971
t15,0.007843798132113068,0.010993734789793225,0.014432836628049731,0.012508955996288143,0.009785461584314514,0.0029675292049044736,0.0022624101312821053,0.0070097431417073365,0.03244060891073087,0.01639718443227368
t16,0.00842911800686291,0.012364814633081365,0.02416708272941917,0.013914580643221966,0.010295970034904395,0.0030868315183362302,0.0022274492487115234,0.006620751526525996,0.03250265564083727,0.025977195958472143
t17,0.007846462096753333,0.011072155508023766,0.014536724385973969,0.012561281778002278,0.009492921657787262,0.0032410382051561186,0.002389224110160861,0.006888860103458752,0.03259934412180292,0.013756603438382399
t18,0.00672636013952153,0.009309219539219298,0.012506758713359212,0.010621376160114226,0.007995835573209651,0.0004731069674544487,0.00041702384252970305,0.0074385929797640415,0.032850228585334276,0.01180954661769401
t19,0.008349689678218235,0.01122224879213445,0.014768818398489193,0.012799776025483782,0.009840950783084546,0.00019584032962587664,0.0001736385858186232,0.0069962605543442725,0.03274053959909009,0.014278415991214597
t20,0.007597635716987401,0.010520206677551871,0.026395316840639865,0.028205013928055047,0.008953427463300908,0.0005786463292808236,0.0004249424047611094,0.006654834616137217,0.03258165717747603,0.02724299113439208
t21,0.008632065231007133,0.011612062251815197,0.030305878236448747,0.02764999547030904,0.010262792374072413,0.00353121422823621,0.002858228673640151,0.006185382593033282,0.03253027816714096,0.02705750795309591
t22,0.008598698166011628,0.0106035589050155,0.02950362403885262,0.028262363301181776,0.010406910775878145,0.007946639629044842,0.006525478085384861,0.005528997881630474,0.032272961094252234,0.02661555651991217
t23,0.007594889217152828,0.009705324693558958,0.029929446058646877,0.026321363051416566,0.009262823681467846,0.009283503174798577,0.007761185063845144,0.005448765775149432,0.03225308453914481,0.02655380111009377
t24,0.009463674764433435,0.012255768717112694,0.028651946742962196,0.025605570511572744,0.011324568242045063,0.008170186025848397,0.03196760045046828,0.006732245157368902,0.03141930583098201,0.025417155429378127
t25,0.031093795555446654,0.031141908467453246,0.031156970246314877,0.03110148390562393,0.033674971951390596,0.0072836802323998145,0.038087168254767996,0.026264802757303366,0.028919941973847698,0.021905965530542096
t26,0.03732967122210134,0.036576721576598026,0.032585805028693064,0.035546117111027495,0.03943734302576481,0.006946915596432162,0.0347070679435668,0.03425862863450328,0.02854926363718823,0.021292520633745177
t27,0.0366454909240832,0.035530148143169224,0.03222106701856348,0.033649191100081466,0.038871810323892766,0.007207447825757733,0.034363224188071896,0.033779862020852924,0.028601762366177286,0.02141828268536041
t28,0.03806114773798324,0.0365424288058754,0.03294005852995989,0.03448309613163046,0.04011151929261872,0.011297135156143789,0.034030341851343626,0.035360859293119724,0.02827256619224383,0.021120836058407352
t29,0.032181114359792456,0.03450227844837851,0.03037168518859968,0.031303760837965065,0.03517401853212915,0.04056576996395839,0.03097648650914527,0.029110581318616057,0.027781619824986784,0.020627991127139682
t30,0.006356967021243961,0.009652721596408126,0.02820427458368894,0.011402331595645255,0.008986191192719687,0.044734137780749646,0.03555220778793503,0.004941521307887986,0.03083018861614789,0.025416492897381203
t31,0.006279616186692301,0.008262008169023933,0.010736974391216608,0.00957319350322942,0.008310676628597245,0.04433571365678326,0.040955592807777524,0.005766593540985916,0.03138721711143183,0.01055894687075119
t32,0.007016507592622331,0.00789319283842216,0.009380491274015173,0.009401930231897416,0.009551313657771825,0.01169351385294162,0.010253878139916755,0.0060819152404899155,0.0327587717288202,0.010627961782130551
t33,0.0070049555367388515,0.007859776716751728,0.009569080609048725,0.009580533415061853,0.00969930226260777,0.010382614000085137,0.007939978821903143,0.006307238460047172,0.03290092703398602,0.01085610261206189
t34,0.007158925119910383,0.007904405128247985,0.009556415643896705,0.009549330905693378,0.009583144558725509,0.010336954011697597,0.007731892661679501,0.006399476286405171,0.03293095348023264,0.010792536441528692
t35,0.007230394753556908,0.007856846136713972,0.00959100628983859,0.00950869047561149,0.009294951848719342,0.010094648258395521,0.007628107311441975,0.006426439369125377,0.032926433919507656,0.010806436809471168
t36,0.007166238206101743,0.007857922633558582,0.011333112006102396,0.009465225395320619,0.009094905263360105,0.010210987667255434,0.007572459600192878,0.006430084975289253,0.033162855928473206,0.010747999534857468
t37,0.007004944968777184,0.007946527540031962,0.011128489985872861,0.009474189250829382,0.008752025454207942,0.010178716779660327,0.007551383079996816,0.006412904051621244,0.03314951687583077,0.010752655246779937
t38,0.008216248190013854,0.00785714436484095,0.011151451627138919,0.0093781844476612,0.010161037236517581,0.010020700184002512,0.007466388170164467,0.0063339457346751225,0.03308176296499872,0.0106414048860939
t39,0.008155441610099023,0.007885457482382202,0.011775403888568094,0.009383496339065477,0.010156256371190952,0.010129271826163654,0.007432153643920794,0.006281163229330824,0.033046155469005696,0.010618188489700725
t40,0.008154275842156345,0.007923008565468704,0.009426214821009792,0.009464372649788805,0.01031105479692245,0.010140550390158615,0.007579976355734689,0.006319803460466067,0.03296552896767237,0.010710578101804208
t41,0.008346722365668729,0.008339746562156941,0.007279250566411737,0.007171816739199163,0.01080651559856159,0.010364423080207852,0.0075678214723587985,0.006508762415566652,0.03313824936057926,0.008402096798689201
t42,0.007369120673766482,0.008516155398337694,0.007237723246109795,0.0070441721848097045,0.009743642130809785,0.010093797406422206,0.007735738339033748,0.006647265573784802,0.033150954836291886,0.008235337189838928
t43,0.006961995807890896,0.008200812959112132,0.009652444934292322,0.00960190324783965,0.009304685008935387,0.009720425790561526,0.007404226050773759,0.006351825920967349,0.03313003641503989,0.01095605949508253
t44,0.00800796295563857,0.0081085844099805,0.009577917508596115,0.009502260853997661,0.01064777214894217,0.009581473514734127,0.0071319495094297435,0.006225929195620767,0.03305060634973945,0.01073506086934572
t45,0.008056955700728537,0.009784482089186095,0.01318734186477316,0.011496938989907118,0.010570147927275246,0.009513875041268152,0.00765199545246213,0.006265753192498238,0.03295157922957863,0.01284561068722653
t46,0.007554067460189187,0.008241070920350575,0.0261276964141293,0.009893358293454798,0.009849341119223733,0.013626900701009241,0.011303608364533526,0.005697094389448983,0.03286375639903565,0.027208532285584643
t47,0.00697028333720788,0.007348112945026087,0.0226885979319402,0.008942082349539294,0.008995276913454277,0.047769899816293225,0.03899649795691419,0.00519051034775853,0.031307519686609775,0.0251465643339268
t48,0.007008560252146283,0.0073238908069308065,0.022563220803055388,0.008957199910700736,0.009031169575365698,0.048618586357491445,0.03819380899621978,0.0052233951698718506,0.031194320257505792,0.02508181795927473
t49,0.010301470004679148,0.011696581400722314,0.021806061670434175,0.013997867629219252,0.013284478247225012,0.04765337908310371,0.03643763538948101,0.007866719401993355,0.030564074495301467,0.024102868980495358
t50,0.01508207672051459,0.020532720364167062,0.02165483184358753,0.023105740569710112,0.019025287614857375,0.04633679339276236,0.034859327660340236,0.01213572073707504,0.02956714556708379,0.022686841473893313
t51,0.023679666809481574,0.021208057332376986,0.023364031045889074,0.02368409216332711,0.028398829351083937,0.04529568471159165,0.03409524435062587,0.019278571345808945,0.02887279720588246,0.021742031863248648
t52,0.025608340789491778,0.023135353543856787,0.022919737781006568,0.025545310448887346,0.03033655187611389,0.04483203406839111,0.033817519331197206,0.019577642132825177,0.028545083959371102,0.021540403265726704
t53,0.010050715293662879,0.009507115225398087,0.024295432239461352,0.011516036777132876,0.013095046849377852,0.04679632177024325,0.03610035181095573,0.007861181665701685,0.03027000168471687,0.02442790795104776
t54,0.007149289517967073,0.007078570049028492,0.008480362344094727,0.008282203509109076,0.00962097307968202,0.04832178227359243,0.03745109654290716,0.005492101741562611,0.03079956057004462,0.00921404554993527
t55,0.003034985486500739,0.002887632925118018,0.0033862686039693073,0.003277465965948671,0.0038041539023259533,0.049687166269427964,0.04171525453517851,0.0023225130955493102,0.031126981602004097,0.00376836520988268
t56,0.0031002739204911986,0.0032121093297879477,0.00221832398037434,0.002499064245380756,0.004194796661651137,0.012381506116261806,0.010362211340147654,0.0024924646921155877,0.032582818219423576,0.0024370860418804793
t57,0.0033472615444707986,0.0034029264759286313,0.0019957915717214295,0.0022623514545149735,0.004489526439562663,0.005094027711588789,0.004073731078800337,0.002831967115160694,0.03280284954554255,0.002236231839040466
