Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Liquid_DAC_10,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9,Solid_DAC_10
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
AnnualSum,3.368628,3.4539084,3.2055523,3.2763703,3.3862932,3.3095868,3.350113,3.3044248,3.2217891,3.3025413,803.16455,125818.38,52.470062,134.04684,28374.795,22515.3,177928.89,265952.88,21.108702,12257.8545
t1,0.004149665700167458,0.004387751889854196,0.003943158386971049,0.00405758422173203,0.00417865491599477,0.004105802726713629,0.0041791558144854985,0.004127291625496174,0.0038292432489936148,0.004022475696299498,0.9596404828734305,150.32066643727788,0.06287471430590005,0.16020717296948905,33.9006185426148,26.983645773661298,212.58004227952563,317.7454555346399,0.025125406763219338,14.601371715844058
t2,0.004145485161017138,0.004383946300400082,0.0039433650813562515,0.004061110206660538,0.004185725103431466,0.004105678964542726,0.004190161133498945,0.004130899816122156,0.0038312511925685058,0.00402302873624884,0.9596509671916875,150.32066650453487,0.06287449959970218,0.16020689819869732,33.90061003249022,26.98364532504638,212.58004173133978,317.74545604644135,0.02512503446224896,14.601371530110779
t3,0.004144170289481332,0.004381726022290605,0.003944503271293855,0.004061298888351506,0.004186879099219475,0.004109576174801542,0.004190463256439655,0.00412949439871607,0.003832265897291837,0.004023233830631473,0.9596559000823031,150.32066652235434,0.06287440626701687,0.16020670657618097,33.90060541108656,26.98364363380762,212.58004054626088,317.7454544665448,0.0251251169423285,14.601371421109459
t4,0.004144694908223133,0.00437960682522483,0.003945709871126367,0.004060478883967073,0.004188094902923001,0.004107731729108687,0.004190628173398726,0.004129420865285571,0.0038326437750623695,0.004023334834286497,0.9596585475547055,150.32066663702446,0.06287438655793358,0.16020716975508076,33.90060381878111,26.98364340139779,212.58004031388052,317.74545386150584,0.025125044790780322,14.60137127396755
t5,0.00414327054682791,0.004377086391657416,0.003946700429144422,0.004059604484758255,0.0041882288826377775,0.0041038903482251525,0.00418459939173698,0.004128249710853686,0.0038328568748162953,0.004023028217565962,0.959660314383235,150.3206669326908,0.06287508687135454,0.160208384226003,33.90060378751825,26.983641705295845,212.58003872341126,317.74545504469023,0.025125070770692724,14.601370999568369
t6,0.004096816317015054,0.004345743902949916,0.003937890278620947,0.004036476024866311,0.004151530915422537,0.0040906357539794045,0.004150791248040882,0.004076059344369878,0.003835441823357282,0.004022657809925091,0.9596505810234504,150.32066642332876,0.06287195797837153,0.16020503721722523,33.90059925521753,26.983643143529513,212.580034371843,317.7454396092395,0.025125874450784007,14.60137034638678
t7,0.00387875759243232,0.00422325433569521,0.003900155042754015,0.00390372036059391,0.003969824241628674,0.0038533328256238532,0.003937936218331755,0.0039003792830127272,0.0038490543827769015,0.004024756703234129,0.9595657413896954,150.3206426038685,0.06285744378172552,0.1601662628316272,33.900557994250484,26.98359470461675,212.57999896424238,317.7453746648431,0.02513475483478636,14.601371727811447
t8,0.003569359217371598,0.004074404908957056,0.003862717310725782,0.003727028885943272,0.0037224756541118023,0.0026451893097436457,0.002931749554061041,0.0035329850208469823,0.0038623640466850916,0.004023900957377273,0.959474213403332,150.32061841164074,0.06284576290073181,0.16012731338317132,33.90051398441589,26.98318787558808,212.5797852975406,317.74524193944535,0.02514221267275604,14.601374474575543
t9,0.0035357565040369868,0.004065606101940866,0.0037210069700913495,0.0037093466812756,0.003695983041034272,0.0020069579734588554,0.0023473601636843674,0.0034876032116333607,0.0038720897495242517,0.003934324914985929,0.9594757243279274,150.3206188253012,0.06278428660421943,0.16012696645232455,33.90051652021758,26.982999882304348,212.57970626626835,317.74524367684165,0.02514776080458203,14.60133565281582
