,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
z1,0.0,523.9891405120254,797.3212385138107,983.4092710332674,473.13026934327956,1287.6027820997995,804.3501523409215,199.0824665002377,1206.8142715299505,1723.5392450251413
z2,523.9891405120254,0.0,566.3352478266124,596.8635916243466,834.5937799193883,1786.8810751555588,1305.749215406996,471.97526835308446,1118.980449969508,1366.2384319746368
z3,797.3212385138107,566.3352478266124,0.0,288.54535161722777,1250.1353729035402,1766.2739041974007,1335.9680767435661,612.2626098260641,561.7480856994465,931.3602107094704
z4,983.4092710332674,596.8635916243466,288.54535161722777,0.0,1395.510077996155,2046.0481615132448,1604.583232722451,823.9759379413757,724.458863807452,770.772618371289
z5,473.13026934327956,834.5937799193883,1250.1353729035402,1395.510077996155,0.0,1349.1991342155334,918.2967295687787,672.0932601645078,1679.8281468981793,2158.514256619915
z6,1287.6027820997995,1786.8810751555588,1766.2739041974007,2046.0481615132448,1349.1991342155334,0.0,483.4399884499387,1320.1126360969915,1778.2653719070072,2594.586609125398
z7,804.3501523409215,1305.749215406996,1335.9680767435661,1604.583232722451,918.2967295687787,483.4399884499387,0.0,843.0302747096858,1453.3440483823342,2215.0376063890258
z8,199.0824665002377,471.97526835308446,612.2626098260641,823.9759379413757,672.0932601645078,1320.1126360969915,843.0302747096858,0.0,1008.2717528921403,1543.177481533774
z9,1206.8142715299505,1118.980449969508,561.7480856994465,724.458863807452,1679.8281468981793,1778.2653719070072,1453.3440483823342,1008.2717528921403,0.0,854.1133220962473
z10,1723.5392450251413,1366.2384319746368,931.3602107094704,770.772618371289,2158.514256619915,2594.586609125398,2215.0376063890258,1543.177481533774,854.1133220962473,0.0
