Resource,Small_Electrolyzer_1.0,Large_SMR_1.0,Large_SMR_wCCS_90pct_1.0,Above_ground_storage_1.0,Small_Electrolyzer_2.0,Large_SMR_2.0,Large_SMR_wCCS_90pct_2.0,Above_ground_storage_2.0,Small_Electrolyzer_3.0,Large_SMR_3.0,Large_SMR_wCCS_90pct_3.0,Above_ground_storage_3.0,Small_Electrolyzer_4.0,Large_SMR_4.0,Large_SMR_wCCS_90pct_4.0,Above_ground_storage_4.0,Small_Electrolyzer_5.0,Large_SMR_5.0,Large_SMR_wCCS_90pct_5.0,Above_ground_storage_5.0,Small_Electrolyzer_6.0,Large_SMR_6.0,Large_SMR_wCCS_90pct_6.0,Above_ground_storage_6.0,Small_Electrolyzer_7.0,Large_SMR_7.0,Large_SMR_wCCS_90pct_7.0,Above_ground_storage_7.0,Small_Electrolyzer_8.0,Large_SMR_8.0,Large_SMR_wCCS_90pct_8.0,Above_ground_storage_8.0,Small_Electrolyzer_9.0,Large_SMR_9.0,Large_SMR_wCCS_90pct_9.0,Above_ground_storage_9.0,Small_Electrolyzer_10.0,Large_SMR_10.0,Large_SMR_wCCS_90pct_10.0,Above_ground_storage_10.0,Total
t11,0.0,0.0,0.0,0.00042399306963229717,0.0,0.0,0.0,0.0007509977788924932,0.0,0.0,0.0,0.000774742610982773,0.0,0.0,0.0,0.0008098852430515306,0.0,0.0,0.0,0.0004789378885064646,0.0,0.0,0.0,5.7757163189262026e-5,0.0,0.0,0.0,0.00012696679784097612,0.0,0.0,0.0,0.000526181715592682,0.0,0.0,0.0,0.004095853915009004,0.0,0.0,0.0,0.0010389890998643147,0.009084305282561798
t12,0.0,0.0,0.0,0.0006136282328923529,0.0,0.0,0.0,0.0008124224666119531,0.0,0.0,0.0,0.0008203339877380536,0.0,0.0,0.0,0.0008386126690371162,0.0,0.0,0.0,0.0007001456282511734,0.0,0.0,0.0,5.715776395113352e-5,0.0,0.0,0.0,0.00014605235916738486,0.0,0.0,0.0,0.000588247078556355,0.0,0.0,0.0,0.004240878670575725,0.0,0.0,0.0,0.0011383773113054748,0.00995585616808672
t13,0.0,0.0,0.0,0.0006474120159778772,0.0,0.0,0.0,0.0008234821724338988,0.0,0.0,0.0,0.000867690792049656,0.0,0.0,0.0,0.0009011417435704746,0.0,0.0,0.0,0.0006911862994262555,0.0,0.0,0.0,5.531609893860918e-5,0.0,0.0,0.0,0.00016315269568706545,0.0,0.0,0.0,0.0007419985582764385,0.0,0.0,0.0,0.004298035481717205,0.0,0.0,0.0,0.0012664321065322217,0.010455847964609702
t14,0.0,0.0,0.0,0.0006303040575721482,0.0,0.0,0.0,0.0008767930590157727,0.0,0.0,0.0,0.0009172482413684826,0.0,0.0,0.0,0.0009753305676801094,0.0,0.0,0.0,0.0006839152959354109,0.0,0.0,0.0,5.4336229197247433e-5,0.0,0.0,0.0,0.0002544750355664733,0.0,0.0,0.0,0.0007875975777142414,0.0,0.0,0.0,0.004350665645287629,0.0,0.0,0.0,0.0014235014151619937,0.010954167124499509
t15,0.0,0.0,0.0,0.0005899660796218223,0.0,0.0,0.0,0.0009536384105510499,0.0,0.0,0.0,0.0012813543850534329,0.0,0.0,0.0,0.001061508734542272,0.0,0.0,0.0,0.0006594205576780513,0.0,0.0,0.0,5.2774255920988835e-5,0.0,0.0,0.0,0.0003002090136700535,0.0,0.0,0.0,0.0005757733080576241,0.0,0.0,0.0,0.0044886273289291975,0.0,0.0,0.0,0.0016037974314149963,0.01156706950543949
t16,0.0,0.0,0.0,0.0006968083330484359,0.0,0.0,0.0,0.0011657158107323054,0.0,0.0,0.0,0.0013670425461364236,0.0,0.0,0.0,0.0012060020081487595,0.0,0.0,0.0,0.9155254733001457,0.0,0.0,0.0,6.249991102365135e-5,0.0,0.0,0.0,0.0008849876731367745,0.0,0.0,0.0,0.000524576599230083,0.0,0.0,0.0,0.004211413773186718,0.0,0.0,0.0,0.0033437144155401034,0.9289882343703291
t17,0.0,0.0,0.0,0.0006587917439681496,0.0,0.0,0.0,0.0014930597813062156,0.0,0.0,0.0,0.0011388556507503885,0.0,0.0,0.0,0.001411349744450517,0.0,0.0,0.0,0.9311963970016086,0.0,0.0,0.0,6.58782491809992e-5,0.0,0.0,0.0,0.0012183784170304295,0.0,0.0,0.0,0.00046118106652516847,0.0,0.0,0.0,0.004456501906420465,0.0,0.0,0.0,0.0038632280010157793,0.9459636215622568
t18,0.0,0.0,0.0,0.0007153332387668653,0.0,0.0,0.0,0.0015318637384084963,0.0,0.0,0.0,0.0012922413868440342,0.0,0.0,0.0,0.0018177960051969564,0.0,0.0,0.0,0.9578845935408123,0.0,0.0,0.0,2.9435093194454502e-5,0.0,0.0,0.0,4.7119658311806185e-5,0.0,0.0,0.0,0.0004749234773696312,0.0,0.0,0.0,0.004860175701966865,0.0,0.0,0.0,0.004628571606724363,0.9732820534475958
t19,0.0,0.0,0.0,0.0006986621269443698,0.0,0.0,0.0,0.0015711179039876243,0.0,0.0,0.0,0.002274302812496975,0.0,0.0,0.0,0.003039154057032349,0.0,0.0,0.0,1.0479363151836325,0.0,0.0,0.0,1.5734125927018262e-5,0.0,0.0,0.0,1.7745723447076896e-5,0.0,0.0,0.0,0.0004654002253564102,0.0,0.0,0.0,0.005922396773414515,0.0,0.0,0.0,0.007682834177870308,1.0696236631101093
t20,0.0,0.0,0.0,0.0005686174004320647,0.0,0.0,0.0,0.0017050621450402969,0.0,0.0,0.0,0.001133140397038443,0.0,0.0,0.0,0.0005899181203717263,0.0,0.0,0.0,0.0007277265201264965,0.0,0.0,0.0,2.1849503915399006e-5,0.0,0.0,0.0,3.146066304072502e-5,0.0,0.0,0.0,0.0007196904819341162,0.0,0.0,0.0,0.0038866525559884705,0.0,0.0,0.0,0.0009052125517842739,0.010289330339672012
