region,technology,cluster,index,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Old_Fixed_OM_Cost_per_Mwyr,Fixed_OM_Cost_per_MWyr,Old_Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,Min_Power,num_units,plant_id_eia,unit_id_pudl,capacity_factor,unmodified_cap_size,Existing_Cap_MW,unmodified_existing_cap_mw,profile,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,THERM,DISP,NDISP,STOR,DR,HYDRO,Commit,RPS,CES,New_Build,Hydro_level,CapRes,Resource,LDS,Hydro_Energy_to_Power_Ratio,FLEX,MUST_RUN,VRE,Num_VRE_Bins,Max_Cap_MW,Max_Cap_MWh,Existing_Cap_MWh,Max_Charge_Cap_MW,Existing_Charge_Cap_MW,Zone,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh_In,Reg_Cost,Rsv_Cost,Eff_Down,Eff_Up,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,ESR_1,Self_Disch,Min_Duration,Max_Duration
FRCC,Biomass,1,0,3.876,2.243,15.232,149833,158823,5.418,5.74,3.771,4.47,0,0.172,83,"[10062.0, 10202.0, 10202.0, 10562.0, 10611.0, 10611.0, 50071.0, 50466.0, 50482.0, 50572.0, 50629.0, 50666.0, 50774.0, 50858.0, 50875.0, 50884.0, 50884.0, 50887.0, 52010.0, 52010.0, 54347.0, 54347.0, 54347.0, 54347.0, 54347.0, 54623.0, 54623.0, 54623.0, 54623.0, 54624.0, 54624.0, 54624.0, 54624.0, 54627.0, 57123.0, 57123.0, 57123.0, 57123.0, 57123.0, 57123.0, 57128.0, 57128.0, 57128.0, 57168.0, 57168.0, 57168.0, 57168.0, 57168.0, 57241.0, 57898.0, 58997.0, 58997.0, 59142.0, 59151.0, 59151.0, 59240.0, 59240.0, 59686.0, 59686.0, 59686.0, 59686.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 60701.0, 61777.0, 61777.0, 61777.0, 61777.0, 61777.0, 61777.0, 61779.0, 61780.0, 61780.0, 61780.0]","[1.0, '10202.0_GEN5', '10202.0_GEN6', 1.0, '10611.0_GEN4', '10611.0_GEN8', 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, '54347.0_1', '54347.0_2', '54347.0_3', '54347.0_4', '54347.0_5', '54623.0_3A', '54623.0_4A', '54623.0_5', '54623.0_6', '54624.0_1A', '54624.0_2A', '54624.0_3A', '54624.0_4A', 1.0, '57123_1', '57123_2', '57123_3', '57123_4', '57123_5', '57123_6', '57128_357', '57128_358', '57128_360', '57168_GEN1', '57168_GEN2', '57168_GEN3', '57168_GEN4', '57168_GEN5', 1.0, 1.0, '58997.0_G1001', '58997_G1001', '59142_IC1', '59151_CHP 1', '59151_CHP 2', '59240_G1', '59240_G2', '59686_LESF1', '59686_LESF2', '59686_LESF3', '59686_LESF4', '60701.0_00603', '60701.0_00696', '60701.0_00697', '60701.0_00698', '60701.0_00699', '60701.0_00700', '60701_603', '60701_696', '60701_697', '60701_698', '60701_699', '60701_700', '61777.0_ENG1', '61777.0_ENG2', '61777.0_ENG3', '61777.0_ENG4', '61777.0_ENG5', '61777.0_ENG6', '61779.0_ENG1', '61780.0_ENG1', '61780.0_ENG2', '61780.0_ENG3']",0.297,13.052,321.708,1083.316,0,0,None,0,1,0,1,0,0,0,1,1,1,0,0,0.9,C_biomass,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
FRCC,Conventional Hydroelectric,1,1,14.5,5,8.905,46475,49264,0,0,0,0,0,0,3,"[690.0, 690.0, 690.0]","['690_1A', '690_2A', '690_3A']",0.533,14.5,43.5,43.5,[0.3852 0.3858 0.3863 ... 0.3836 0.3842 0.3847],0,None,0,0,0,0,0,0,1,0,0,1,0,0.5,0,C_conventional_hydroelectric,0,158.73,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.083,0.083,0,0,0,0,0,0
FRCC,Conventional Steam Coal,1,2,232,65,13.383,74269,78725,1.857,1.97,0,0,0,0.28,1,[663.0],[2.0],0,232,0,232,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,2,3,581.5,191,10.913,57460.213,60908,1.857,1.97,0.033,0.047,92.631,0.328,2,"[628.0, 645.0]","[3.0, 4.0]",0,581.5,1163,1163,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_1,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,3,4,330,100,11.069,72429,76775,1.857,1.97,0,0,0,0.303,1,[50976.0],[1.0],0,330,330,330,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_2,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,4,5,293,180,12.073,64823,68712,1.857,1.97,0,0,0,0.614,1,[667.0],[2.0],0,293,0,293,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_3,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,5,6,293,180,9.441,65612,69549,1.857,1.97,0,0,0,0.614,1,[667.0],[1.0],0,293,293,293,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_4,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,6,7,397.5,187.5,11.991,58757.258,62283,1.857,1.97,0.309,0.437,279.307,0.472,2,"[645.0, 645.0]","[2.0, 3.0]",0,397.5,376,795,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_5,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,7,8,683.333,308.333,9.968,57602.499,61059,1.857,1.97,0.071,0.071,151.843,0.451,3,"[136.0, 136.0, 628.0]","[1.0, 2.0, 4.0]",0,683.333,2049.999,2049.999,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_6,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
FRCC,Conventional Steam Coal,8,9,395,185,13.437,59350,62911,1.857,1.97,0,0,0,0.468,1,[645.0],[1.0],0,395,0,395,0,16.5,coal,122.3964133,1,0,0,0,0,0,1,0,0,0,0,0.9,C_conventional_steam_coal_7,0,0,0,0,0,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.57,0.57,24,24,0,0,0,0
