Time_Index,NG,None,coal,uranium
0,0.05306,0,0.09552,0
1,4.154,0,3.372,0.706
2,4.154,0,3.372,0.706
3,4.154,0,3.372,0.706
4,4.154,0,3.372,0.706
5,4.154,0,3.372,0.706
6,4.154,0,3.372,0.706
7,4.154,0,3.372,0.706
8,4.154,0,3.372,0.706
9,4.154,0,3.372,0.706
10,4.154,0,3.372,0.706
11,4.154,0,3.372,0.706
12,4.154,0,3.372,0.706
13,4.154,0,3.372,0.706
14,4.154,0,3.372,0.706
15,4.154,0,3.372,0.706
16,4.154,0,3.372,0.706
17,4.154,0,3.372,0.706
18,4.154,0,3.372,0.706
19,4.154,0,3.372,0.706
20,4.154,0,3.372,0.706
21,4.154,0,3.372,0.706
22,4.154,0,3.372,0.706
23,4.154,0,3.372,0.706
24,4.154,0,3.372,0.706
25,4.154,0,3.372,0.706
26,4.154,0,3.372,0.706
27,4.154,0,3.372,0.706
28,4.154,0,3.372,0.706
29,4.154,0,3.372,0.706
30,4.154,0,3.372,0.706
31,4.154,0,3.372,0.706
32,4.154,0,3.372,0.706
33,4.154,0,3.372,0.706
34,4.154,0,3.372,0.706
35,4.154,0,3.372,0.706
36,4.154,0,3.372,0.706
37,4.154,0,3.372,0.706
38,4.154,0,3.372,0.706
39,4.154,0,3.372,0.706
40,4.154,0,3.372,0.706
41,4.154,0,3.372,0.706
42,4.154,0,3.372,0.706
43,4.154,0,3.372,0.706
44,4.154,0,3.372,0.706
45,4.154,0,3.372,0.706
46,4.154,0,3.372,0.706
47,4.154,0,3.372,0.706
48,4.154,0,3.372,0.706
49,4.154,0,3.372,0.706
50,4.154,0,3.372,0.706
51,4.154,0,3.372,0.706
52,4.154,0,3.372,0.706
53,4.154,0,3.372,0.706
54,4.154,0,3.372,0.706
55,4.154,0,3.372,0.706
56,4.154,0,3.372,0.706
57,4.154,0,3.372,0.706
58,4.154,0,3.372,0.706
59,4.154,0,3.372,0.706
60,4.154,0,3.372,0.706
61,4.154,0,3.372,0.706
62,4.154,0,3.372,0.706
63,4.154,0,3.372,0.706
64,4.154,0,3.372,0.706
65,4.154,0,3.372,0.706
66,4.154,0,3.372,0.706
67,4.154,0,3.372,0.706
68,4.154,0,3.372,0.706
69,4.154,0,3.372,0.706
70,4.154,0,3.372,0.706
71,4.154,0,3.372,0.706
72,4.154,0,3.372,0.706
73,4.154,0,3.372,0.706
74,4.154,0,3.372,0.706
75,4.154,0,3.372,0.706
76,4.154,0,3.372,0.706
77,4.154,0,3.372,0.706
78,4.154,0,3.372,0.706
79,4.154,0,3.372,0.706
80,4.154,0,3.372,0.706
81,4.154,0,3.372,0.706
82,4.154,0,3.372,0.706
83,4.154,0,3.372,0.706
84,4.154,0,3.372,0.706
85,4.154,0,3.372,0.706
86,4.154,0,3.372,0.706
87,4.154,0,3.372,0.706
88,4.154,0,3.372,0.706
89,4.154,0,3.372,0.706
90,4.154,0,3.372,0.706
91,4.154,0,3.372,0.706
92,4.154,0,3.372,0.706
93,4.154,0,3.372,0.706
94,4.154,0,3.372,0.706
95,4.154,0,3.372,0.706
96,4.154,0,3.372,0.706
97,4.154,0,3.372,0.706
98,4.154,0,3.372,0.706
99,4.154,0,3.372,0.706
100,4.154,0,3.372,0.706
101,4.154,0,3.372,0.706
102,4.154,0,3.372,0.706
103,4.154,0,3.372,0.706
104,4.154,0,3.372,0.706
105,4.154,0,3.372,0.706
106,4.154,0,3.372,0.706
107,4.154,0,3.372,0.706
108,4.154,0,3.372,0.706
109,4.154,0,3.372,0.706
110,4.154,0,3.372,0.706
111,4.154,0,3.372,0.706
