H2TruckType,New_Build,LDS,Existing_Number,Existing_Energy_Cap_tonne,Inv_Cost_p_unit_p_yr,Existing_Energy_Cap_tonne_z1,Existing_Energy_Cap_tonne_z2,Existing_Energy_Cap_tonne_z3,Existing_Energy_Cap_tonne_z4,Existing_Energy_Cap_tonne_z5,Existing_Energy_Cap_tonne_z6,Existing_Energy_Cap_tonne_z7,TruckCap_tonne_per_unit,Inv_Cost_Energy_p_tonne_yr,Fixed_OM_Cost_Energy_p_tonne_yr,H2TruckCompressionEnergy,H2TruckCompressionUnitOpex,Max_Energy_Cap_tonne,Min_Energy_Cap_tonne,Full_weight_tonne_per_unit,Empty_weight_tonne_per_unit,AvgTruckSpeed_mile_per_hour,H2TruckUnitOpex_per_mile_full,H2TruckUnitOpex_per_mile_empty,H2TLoss_per_mile
Gas,1,0,0,0,34615.48,0,0,0,0,0,0,0,0.4,102071.93,0,1,0,-1,-1,10.4,10,35,1.22,1.21,0
Liquid,1,0,0,0,92307.94,0,0,0,0,0,0,0,4,2177513.23,0,11,0,-1,-1,14,10,35,1.35,1.21,0.03
