Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7
50000000,1,1,0,1,168,1,1,0.324,1.902,0.716,1.476,0.504,1.072,0
,,,,,,,2,0.244,1.434,0.54,1.114,0.38,0.808,0
,,,,,,,3,0.35,2.058,0.776,1.596,0.546,1.16,0
,,,,,,,4,0.8,4.71,1.774,3.654,1.248,2.656,0
,,,,,,,5,1.648,9.7,3.654,7.526,2.568,5.468,0
,,,,,,,6,2.682,15.784,5.944,12.244,4.18,8.898,0
,,,,,,,7,3.358,19.76,7.442,15.328,5.232,11.138,0
,,,,,,,8,3.848,22.646,8.528,17.566,5.996,12.766,0
,,,,,,,9,4.048,23.816,8.968,18.474,6.306,13.424,0
,,,,,,,10,4.286,25.22,9.498,19.564,6.678,14.216,0
,,,,,,,11,5.082,29.898,11.26,23.192,7.916,16.854,0
,,,,,,,12,5.412,31.848,11.994,24.704,8.432,17.952,0
,,,,,,,13,5.572,32.784,12.346,25.43,8.68,18.48,0
,,,,,,,14,5.466,32.16,12.11,24.946,8.516,18.128,0
,,,,,,,15,5.412,31.848,11.994,24.704,8.432,17.952,0
,,,,,,,16,5.188,30.522,11.494,23.676,8.082,17.206,0
,,,,,,,17,4.922,28.962,10.906,22.466,7.668,16.326,0
,,,,,,,18,4.352,25.608,9.644,19.866,6.78,14.436,0
,,,,,,,19,3.624,21.32,8.028,16.538,5.646,12.018,0
,,,,,,,20,2.762,16.252,6.12,12.606,4.304,9.16,0
,,,,,,,21,2.1,12.352,4.652,9.582,3.27,6.962,0
,,,,,,,22,1.464,8.61,3.242,6.678,2.28,4.852,0
,,,,,,,23,0.906,5.334,2.008,4.138,1.412,3.006,0
,,,,,,,24,0.536,3.15,1.186,2.444,0.834,1.776,0
,,,,,,,25,0.498,2.934,1.106,2.276,0.778,1.654,0
,,,,,,,26,0.36,2.12,0.798,1.644,0.562,1.194,0
,,,,,,,27,0.332,1.956,0.736,1.518,0.518,1.102,0
,,,,,,,28,0.492,2.894,1.09,2.244,0.766,1.632,0
,,,,,,,29,0.886,5.218,1.964,4.048,1.382,2.942,0
,,,,,,,30,1.454,8.56,3.224,6.64,2.266,4.826,0
,,,,,,,31,2.196,12.922,4.866,10.024,3.422,7.284,0
,,,,,,,32,3,17.65,6.646,13.692,4.674,9.948,0
,,,,,,,33,3.79,22.296,8.396,17.296,5.904,12.568,0
,,,,,,,34,4.204,24.742,9.318,19.192,6.552,13.946,0
,,,,,,,35,4.336,25.516,9.61,19.794,6.756,14.384,0
,,,,,,,36,4.524,26.616,10.024,20.648,7.048,15.004,0
,,,,,,,37,4.814,28.328,10.668,21.976,7.502,15.968,0
,,,,,,,38,5.03,29.592,11.144,22.956,7.836,16.682,0
,,,,,,,39,5.264,30.978,11.666,24.03,8.202,17.462,0
,,,,,,,40,5.396,31.752,11.958,24.632,8.408,17.898,0
,,,,,,,41,5.134,30.204,11.374,23.43,7.998,17.026,0
,,,,,,,42,4.648,27.35,10.3,21.216,7.242,15.418,0
,,,,,,,43,3.858,22.704,8.55,17.612,6.012,12.798,0
