Period_Index,Rep_Period,Rep_Period_Index
1,339,1
2,339,1
3,339,1
4,339,1
5,339,1
6,339,1
7,339,1
8,339,1
9,339,1
10,339,1
11,339,1
12,339,1
13,339,1
14,339,1
15,339,1
16,339,1
17,339,1
18,339,1
19,339,1
20,339,1
21,339,1
22,339,1
23,339,1
24,339,1
25,339,1
26,339,1
27,339,1
28,339,1
29,339,1
30,339,1
31,339,1
32,339,1
33,339,1
34,339,1
35,339,1
36,339,1
37,339,1
38,339,1
39,339,1
40,339,1
41,339,1
42,339,1
43,339,1
44,339,1
45,339,1
46,339,1
47,339,1
48,339,1
49,339,1
50,339,1
51,339,1
52,339,1
53,339,1
54,339,1
55,339,1
56,339,1
57,339,1
58,339,1
59,339,1
60,339,1
61,339,1
62,339,1
63,339,1
64,339,1
65,339,1
66,339,1
67,339,1
68,339,1
69,339,1
70,339,1
71,339,1
72,339,1
73,339,1
74,339,1
75,339,1
76,339,1
77,339,1
78,339,1
79,339,1
80,339,1
81,339,1
82,339,1
83,339,1
84,339,1
85,339,1
86,339,1
87,339,1
88,339,1
89,339,1
90,339,1
91,339,1
92,339,1
93,339,1
94,339,1
95,339,1
96,339,1
97,339,1
98,339,1
99,339,1
100,339,1
101,339,1
102,339,1
103,339,1
104,339,1
105,339,1
106,339,1
107,339,1
108,339,1
109,339,1
110,339,1
111,339,1
112,339,1
113,339,1
114,339,1
115,339,1
116,339,1
117,339,1
118,339,1
119,339,1
120,339,1
121,339,1
122,339,1
123,339,1
124,339,1
125,339,1
126,339,1
127,339,1
128,339,1
129,339,1
130,339,1
131,339,1
132,339,1
133,339,1
134,339,1
135,339,1
136,339,1
137,339,1
138,339,1
139,339,1
140,339,1
141,339,1
142,339,1
143,339,1
144,339,1
145,339,1
146,339,1
147,339,1
148,339,1
149,339,1
150,339,1
151,339,1
152,339,1
153,339,1
154,339,1
155,339,1
156,339,1
157,339,1
158,339,1
159,339,1
160,339,1
161,339,1
162,339,1
163,339,1
164,339,1
165,339,1
166,339,1
167,339,1
168,339,1
169,339,1
170,339,1
171,339,1
172,339,1
173,339,1
174,339,1
175,339,1
176,339,1
177,339,1
178,339,1
179,339,1
180,339,1
181,339,1
182,339,1
183,339,1
184,339,1
185,339,1
186,339,1
187,339,1
188,339,1
189,339,1
190,339,1
191,339,1
192,339,1
193,339,1
194,339,1
195,339,1
196,339,1
197,339,1
198,339,1
199,339,1
200,339,1
201,339,1
202,339,1
203,339,1
204,339,1
205,339,1
206,339,1
207,339,1
208,339,1
209,339,1
210,339,1
211,339,1
212,339,1
213,339,1
214,339,1
215,339,1
216,339,1
217,339,1
218,339,1
219,339,1
220,339,1
221,339,1
222,339,1
223,339,1
224,339,1
225,339,1
226,339,1
227,339,1
228,339,1
229,339,1
230,339,1
231,339,1
232,339,1
233,339,1
234,339,1
235,339,1
236,339,1
237,339,1
238,339,1
239,339,1
240,339,1
241,339,1
242,339,1
243,339,1
244,339,1
245,339,1
246,339,1
247,339,1
248,339,1
249,339,1
250,339,1
251,339,1
252,339,1
253,339,1
254,339,1
255,339,1
256,339,1
257,339,1
258,339,1
259,339,1
260,339,1
261,339,1
262,339,1
263,339,1
264,339,1
265,339,1
266,339,1
267,339,1
268,339,1
269,339,1
270,339,1
271,339,1
272,339,1
273,339,1
274,339,1
275,339,1
276,339,1
277,339,1
278,339,1
279,339,1
280,339,1
281,339,1
282,339,1
283,339,1
284,339,1
285,339,1
286,339,1
287,339,1
288,339,1
289,339,1
290,339,1
291,339,1
292,339,1
293,339,1
294,339,1
295,339,1
296,339,1
297,339,1
298,339,1
299,339,1
300,339,1
301,339,1
302,339,1
303,339,1
304,339,1
305,339,1
306,339,1
307,339,1
308,339,1
309,339,1
310,339,1
311,339,1
312,339,1
313,339,1
314,339,1
315,339,1
316,339,1
317,339,1
318,339,1
319,339,1
320,339,1
321,339,1
322,339,1
323,339,1
324,339,1
325,339,1
326,339,1
327,339,1
328,339,1
329,339,1
330,339,1
331,339,1
332,339,1
333,339,1
334,339,1
335,339,1
336,339,1
337,339,1
338,339,1
339,339,1
340,339,1
341,339,1
342,339,1
343,339,1
344,339,1
345,339,1
346,339,1
347,339,1
348,339,1
349,339,1
350,339,1
351,339,1
352,339,1
353,339,1
354,339,1
355,339,1
356,339,1
357,339,1
358,339,1
359,339,1
360,339,1
361,339,1
362,339,1
363,339,1
364,339,1
365,339,1
