Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1,1,50000,1,168,8760.0,1,806154.0484255757,473038.68623336835,179488.02495630045
,,,,,,,,2,754796.8440598656,451992.44788698584,170430.70457826398
,,,,,,,,3,719983.85663668,441022.05081671465,165297.6155645545
,,,,,,,,4,699168.4954313702,441541.8602646724,164240.62445403918
,,,,,,,,5,698208.4939618076,458937.3438835377,167915.79469462406
,,,,,,,,6,717580.9787068762,486620.21913524123,179074.94797058182
,,,,,,,,7,752480.1938069686,528380.2595531496,199461.51214810726
,,,,,,,,8,792121.931136937,562917.3663628078,218900.42912310173
,,,,,,,,9,841334.9406035639,589234.2307396457,231049.75223247326
,,,,,,,,10,889967.3503790181,612178.3780006646,239511.75577815055
,,,,,,,,11,939335.5696640773,628207.8507446641,246521.9152122579
,,,,,,,,12,982328.6893698245,641378.371524896,250269.98139149905
,,,,,,,,13,1.018642038371189e6,654923.63865133,253033.95239888105
,,,,,,,,14,1.0506497520390057e6,665035.7457028803,254582.99109532594
,,,,,,,,15,1.0721491861477762e6,676936.9643427503,254078.794186287
,,,,,,,,16,1.08784262334482e6,688324.417830569,253179.74427619352
,,,,,,,,17,1.0973966499460973e6,694272.0050025507,252487.23285895935
,,,,,,,,18,1.0896763986070387e6,686233.091446925,248733.09201816353
,,,,,,,,19,1.0644864199266557e6,667284.2237800929,242621.98249414965
,,,,,,,,20,1.029075587276916e6,649411.2407846153,239754.74224033798
,,,,,,,,21,994216.61175938,643681.248265267,238971.1108997835
,,,,,,,,22,951367.2048484775,605420.8551772138,228783.90347257548
,,,,,,,,23,876268.6467744191,551820.0390785004,208616.02711101872
,,,,,,,,24,792495.5844035333,501966.68644180795,189250.00607468048
,,,,,,,,25,724048.0544748887,470107.20271872287,176049.7665163483
,,,,,,,,26,676956.2458601699,452264.44120277767,166962.07283053838
,,,,,,,,27,646264.9413931309,441590.2146319243,162624.76448049274
,,,,,,,,28,629898.9283162139,443463.9463629348,162321.03140275847
,,,,,,,,29,633037.6157556226,460931.9615326779,166500.39855238228
,,,,,,,,30,656462.8013153124,490567.1443621763,179506.2489409645
,,,,,,,,31,691810.4003353205,535518.573018709,201350.73189161453
,,,,,,,,32,731687.8266488342,576607.6965909974,222454.1061325929
