Zone,1,2,3
t1,68.98542056222253,65.67643405981133,29.032852548549698
t2,38.771715801303685,36.911973797612944,29.032852548549698
t3,18.521176188443537,0.0,0.0
t4,16.20092147991463,0.0,0.0
t5,18.521176188443533,0.0,0.0
t6,0.0,0.0,0.0
t7,0.0,0.0,0.0
t8,0.0,0.0,0.0
t9,0.0,0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,0.0,0.0,0.0
t13,0.0,0.0,0.0
t14,18.81339919052786,17.91098700722052,18.779942980206325
t15,23.55394169452542,24.740663785356137,25.94096321962249
t16,68.98542056222254,65.67643405981133,62.6375574391085
t17,68.98542056222254,65.67643405981133,62.6375574391085
t18,68.98542056222254,65.67643405981133,62.6375574391085
t19,69.08823524957819,65.67643405981133,63.58556372620115
t20,69.08823524957819,65.67643405981133,62.6375574391085
t21,68.98542056222254,65.67643405981133,62.6375574391085
t22,68.98542056222254,65.67643405981133,62.6375574391085
t23,68.98542056222254,65.67643405981133,62.6375574391085
t24,68.98542056222254,65.67643405981133,62.6375574391085
t25,29.543464124474685,28.126368697272344,29.4909264443157
t26,18.277322650185432,0.0,26.36879185417506
t27,5.44296560787398,0.0,26.36879185417506
t28,5.44296560787398,0.0,29.032852548549698
t29,6.757946134066611,0.3272211720226843,26.36879185417506
t30,0.0,0.0,26.36879185417506
t31,0.0,0.0,23.509108145824925
t32,0.0,0.0,0.0
t33,0.0,0.0,0.0
t34,0.0,0.0,0.0
t35,0.0,0.0,26.36879185417506
t36,0.0,0.0,26.36879185417506
t37,0.0,0.0,26.36879185417506
t38,2.8792991644817674,3.0243673644847826,26.36879185417506
t39,18.27732265018543,19.198191982016077,26.36879185417506
t40,18.5656981853328,65.67643405981133,62.6375574391085
t41,62.52616793025431,65.67643405981133,68.49164249451296
t42,62.52616793025431,65.67643405981133,68.49164249451296
t43,69.03682790590035,67.45203497423954,68.49164249451296
t44,69.03682790590035,67.45203497423954,68.49164249451296
t45,62.52616793025431,65.67643405981133,68.86274253279915
t46,62.52616793025431,65.67643405981133,68.49164249451297
t47,62.52616793025431,65.67643405981133,68.49164249451296
t48,62.52616793025431,65.67643405981133,68.49164249451296
t49,62.52616793025434,65.67643405981134,68.49164249451296
t50,62.52616793025434,65.67643405981134,68.49164249451296
t51,62.18921557460638,65.32250497860335,68.49164249451296
t52,43.930710544729685,46.144078708133,57.6943662073558
t53,18.5656981853328,46.144078708133,57.6943662073558
t54,0.0,46.144078708133,48.38277012112966
t55,0.0,46.144078708133,48.38277012112966
t56,0.0,37.955506227685625,39.79692701767065
t57,0.0,46.144078708133,48.38277012112966
t58,0.0,46.144078708133,55.847243420878804
t59,0.0,46.144078708133,57.6943662073558
t60,0.0,55.0248232712376,57.6943662073558
t61,0.0,65.67643405981133,68.86274253279915
t62,0.0,65.67643405981133,68.86274253279915
t63,16.976334199003983,65.67643405981133,69.85860376984796
t64,16.976334199003983,65.67643405981133,69.85860376984796
t65,16.976334199003983,65.67643405981133,69.85860376984796
t66,16.976334199003983,65.67643405981133,77.02811203708823
t67,17.24418302747716,65.67643405981133,77.02811203708823
t68,17.24418302747716,65.67643405981133,69.85860376984796
t69,16.976334199003983,17.8316556172431,69.85860376984796
t70,16.976334199003983,17.8316556172431,69.85860376984796
t71,16.976334199003983,17.8316556172431,69.85860376984796
t72,16.976334199003983,17.8316556172431,69.85860376984796
t73,16.976334199003983,17.8316556172431,21.635280522660143
t74,0.0,0.0,21.635280522660143
t75,0.0,0.0,0.0
t76,0.0,0.0,0.0
t77,0.0,0.0,0.0
t78,0.0,0.0,0.0
t79,0.0,0.0,0.0
t80,0.0,0.0,0.0
t81,0.0,0.0,0.0
t82,0.0,0.0,0.0
t83,0.0,0.0,0.0
t84,0.0,0.0,0.0
t85,0.0,0.0,0.0
t86,18.580078583432798,65.67643405981131,0.0
t87,21.14224141656719,65.67643405981131,0.0
t88,62.52616793025431,65.67643405981131,0.0
t89,62.52616793025431,65.67643405981131,21.635280522660143
t90,62.52616793025431,65.67643405981131,21.97663717090656
t91,64.63748108662183,65.67643405981131,21.97663717090656
t92,64.63748108662183,65.67643405981131,21.97663717090656
t93,62.52616793025431,65.67643405981131,21.97663717090656
t94,62.52616793025431,65.67643405981131,21.97663717090656
t95,62.52616793025431,65.67643405981133,21.97663717090656
t96,62.52616793025431,65.67643405981133,21.97663717090656
t97,62.52616793025431,65.67643405981133,21.976637170906564
t98,18.29147968178683,19.21306228965254,18.32406570145531
t99,18.29147968178683,19.21306228965254,18.32406570145531
t100,18.29147968178683,19.21306228965254,18.32406570145531
t101,18.29147968178683,19.21306228965254,18.32406570145531
t102,18.29147968178683,17.47620336462893,18.32406570145531
t103,16.637931733092078,17.47620336462893,18.32406570145531
t104,16.637931733092078,17.47620336462893,18.32406570145531
t105,0.0,0.0,18.32406570145531
t106,8.980300000000002,9.514005657940814,9.975579999999997
t107,8.980300000000002,17.47620336462893,18.32406570145531
t108,16.637931733092078,19.21306228965254,18.32406570145531
t109,18.291479681786832,68.32413440404187,65.16274755893524
t110,45.44769251038543,67.45203497423954,64.3310005417767
t111,69.03682790590035,74.059903797121,70.63312045538822
t112,69.03682790590035,98.21902132413243,70.63312045538822
t113,69.5879162759798,98.21902132413243,70.63312045538822
t114,93.50780244349303,98.21902132413243,77.02811203708823
t115,93.50780244349303,98.21902132413243,82.67558509685415
t116,309.2032044158487,324.78183995782337,70.63312045538822
t117,93.50780244349303,98.21902132413243,70.63312045538821
t118,93.50780244349303,98.21902132413243,70.63312045538821
t119,93.50780244349303,98.21902132413243,70.63312045538821
t120,70.50751229124467,74.059903797121,70.63312045538822
t121,69.03682790590035,67.45203497423954,66.35016453363775
t122,37.34788013554412,39.229584479443794,38.82419643158685
t123,37.34788013554412,36.45264260631951,38.22115159530536
t124,37.34788013554412,35.55643449014549,38.22115159530536
t125,36.76776648653437,35.00414684000323,38.22115159530536
t126,31.002946014472734,29.515844405744524,28.15013369399616
t127,7.6646790732353915,7.297031541453317,6.959394779206768
t128,0.0,0.0,0.0
t129,0.0,0.0,0.0
t130,17.960600000000003,18.865511842824517,19.78077682474026
t131,31.002946014472734,29.515844405744524,38.22115159530536
t132,31.002946014472734,32.56497250640205,38.22115159530536
t133,62.52616793025431,65.67643405981133,68.86274253279915
t134,69.03682790590035,67.45203497423954,77.02811203708823
t135,69.5879162759798,67.45203497423954,77.02811203708823
t136,69.5879162759798,67.45203497423954,77.02811203708823
t137,69.5879162759798,67.45203497423954,77.02811203708823
t138,69.5879162759798,67.45203497423954,81.68679410774944
t139,69.5879162759798,67.45203497423954,77.02811203708823
t140,69.5879162759798,67.45203497423954,77.02811203708823
t141,69.5879162759798,67.45203497423954,77.02811203708823
t142,69.5879162759798,67.45203497423954,77.02811203708823
t143,69.5879162759798,67.45203497423954,77.02811203708823
t144,69.5879162759798,67.45203497423954,77.02811203708823
t145,69.5879162759798,66.25003018625964,69.46416681745883
t146,68.98542056222254,65.67643405981133,68.86274253279915
t147,68.98542056222254,65.67643405981133,68.86274253279915
t148,68.98542056222254,65.67643405981133,77.02811203708823
t149,68.98542056222254,65.67643405981133,77.02811203708823
t150,37.34788013554412,38.62024286972152,68.86274253279915
t151,36.76776648653436,38.62024286972152,77.02811203708823
t152,0.0,0.0,77.02811203708823
t153,26.76138787709555,28.10971125272911,77.02811203708823
t154,36.76776648653436,38.62024286972152,77.02811203708823
t155,36.76776648653436,38.62024286972153,77.02811203708823
t156,36.76776648653436,38.62024286972152,122.76062158078985
t157,37.34788013554412,39.229584479443794,216.69466555792917
t158,62.52616793025431,65.67643405981133,216.69466555792917
t159,68.98542056222253,65.67643405981133,320.50754680832716
t160,68.98542056222253,65.67643405981133,216.69466555792917
t161,68.98542056222253,65.67643405981133,216.69466555792917
t162,68.98542056222254,65.67643405981133,216.69466555792917
t163,68.98542056222253,65.67643405981133,216.69466555792917
t164,68.98542056222254,65.67643405981133,216.69466555792917
t165,68.98542056222253,65.67643405981133,216.69466555792917
t166,68.98542056222253,65.67643405981133,216.69466555792917
t167,68.98542056222253,65.67643405981133,216.69466555792917
t168,68.98542056222253,65.67643405981133,125.02337152562676
