Line,1,2,Total
Sum,4.232918e9,1.8130345e9,6.0459525e9
t1,479514.1589583473,299354.73160000006,778868.8905583473
t2,698912.7278816897,299354.73160000006,998267.4594816897
t3,990569.0387199998,168465.62186065223,1.159034660580652e6
t4,990569.0387199998,61632.99290101816,1.052202031621018e6
t5,990569.0387199998,0.0,990569.0387199998
t6,259213.38145396425,0.0,259213.38145396425
t7,0.0,0.0,0.0
t8,0.0,0.0,0.0
t9,0.0,0.0,0.0
t10,0.0,0.0,0.0
t11,0.0,0.0,0.0
t12,235910.24896130693,0.0,235910.24896130693
t13,263321.6070491928,169975.2146928733,433296.8217420661
t14,81352.31869980226,88491.29350041212,169843.61220021438
t15,9992.827953181124,179309.5731361417,189302.4010893228
t16,311547.12492311717,0.0,311547.12492311717
t17,990569.0387199998,299354.73160000006,1.28992377032e6
t18,990569.0387199998,62060.92757132735,1.0526299662913273e6
t19,990569.0387199998,0.0,990569.0387199998
t20,990569.0387199998,187594.69347998712,1.178163732199987e6
t21,786175.7438018097,67858.08314279781,854033.8269446075
t22,990569.0387199998,299354.73160000006,1.28992377032e6
t23,990569.0387199998,270012.00588501873,1.2605810446050186e6
t24,523173.9320565224,268372.14259669144,791546.0746532138
t25,287475.22737850406,130941.47802567187,418416.7054041759
t26,990569.0387199998,299354.73160000006,1.28992377032e6
t27,990569.0387199998,299354.73160000006,1.28992377032e6
t28,990569.0387199998,299354.73160000006,1.28992377032e6
t29,990569.0387199998,299354.73160000006,1.28992377032e6
t30,236119.40199179688,299354.73160000006,535474.133591797
t31,43211.61348044473,299354.73160000006,342566.34508044476
t32,316170.979211129,277630.44544164615,593801.4246527752
t33,0.0,269843.16119700344,269843.16119700344
t34,0.0,277555.40823583625,277555.40823583625
t35,0.0,299354.73160000006,299354.73160000006
t36,0.0,299354.73160000006,299354.73160000006
t37,102190.83497033142,299354.73160000006,401545.56657033146
t38,322327.2615154126,299354.73160000006,621681.9931154127
t39,956829.3447841182,299354.73160000006,1.2561840763841183e6
t40,990569.0387199998,6674.72686511151,997243.7655851113
t41,989989.6849771024,0.0,989989.6849771024
t42,990569.0387199998,0.0,990569.0387199998
t43,0.0,0.0,0.0
t44,0.0,0.0,0.0
t45,145400.56879169162,38060.91892195942,183461.48771365103
t46,338505.99419366487,0.0,338505.99419366487
t47,653600.6341797842,0.0,653600.6341797842
t48,690333.2090446012,0.0,690333.2090446012
t49,807053.329550601,0.0,807053.329550601
t50,94302.37014670658,0.0,94302.37014670658
t51,159589.24398606597,12574.475421034469,172163.71940710043
t52,501323.38464650896,299354.73160000006,800678.116246509
t53,990569.0387199998,299354.73160000006,1.28992377032e6
t54,990569.0387199998,200248.6621840544,1.1908177009040543e6
t55,990569.0387199998,148404.80066087426,1.138973839380874e6
t56,990569.0387199998,189424.9460397005,1.1799939847597003e6
t57,990569.0387199998,243091.24377234885,1.2336602824923487e6
t58,990569.0387199998,299354.73160000006,1.28992377032e6
