,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand
t44,102715.10029862083,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-147384.3120557182,62954.76271410106,0.0,0.0,33053.01300503295,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-93717.93450231182,23639.144902103923,587.307826027556,0.0,11033.364389430513,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-34199.91167520697
t45,111589.96896196721,0.0,0.0,34232.81950303784,-0.0,0.0,-0.0,0.0,0.0,-2958.596271444482,-72.70028439584581,-421.2307417317401,-0.0,-0.0,-142370.26116743303,67869.87883495766,0.0,0.0,25242.125829552664,-0.0,0.0,-0.0,0.0,0.0,2155.0512387633166,-91.73074385682553,-1844.832346983,-445.00886983920424,-0.0,-92885.48394259463,22040.699596939132,719.9599692528326,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,803.5450326811654,-19.03045946097971,-889.7283062866618,-170.17713606835784,-0.0,-34088.38733785155
t46,126481.81671150721,0.0,0.0,17701.209035541582,-0.0,0.0,-0.0,0.0,0.0,-6887.886207087598,-169.25299709683244,-842.4614834634802,-0.0,-0.0,-136283.42505940088,82976.7586978136,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6887.886207087598,-169.25299709683244,-1844.832346983,-445.00886983920424,-0.0,-87405.55069098216,21424.079042908288,719.9599692528326,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-32687.25221060052
t47,127387.08664875715,0.0,0.0,12656.99960331877,-0.0,0.0,-0.0,0.0,0.0,-13299.400513820789,-326.80031708989213,-842.4614834634802,-0.0,-0.0,-125575.42393770174,69031.19467039185,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,13299.400513820789,-326.80031708989213,-1844.832346983,-445.00886983920424,-0.0,-79713.95365030055,20118.301244497667,719.9599692528326,0.0,10075.647202104248,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-29854.002973499726
t48,121357.5225659089,0.0,0.0,7514.420051929088,-0.0,0.0,-0.0,0.0,0.0,-14046.831283443833,-345.1666045223006,-842.4614834634802,-0.0,-0.0,-113637.48324640837,61174.876610390194,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,14046.831283443833,-345.1666045223006,-1844.832346983,-445.00886983920424,-0.0,-72586.70007248953,21452.691886427034,719.9599692528326,0.0,6043.42973271995,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-27156.1761460448
t49,103845.91656362456,0.0,0.0,17737.331126349836,-0.0,0.0,-0.0,0.0,0.0,-16421.840653773987,-403.5266647753005,-842.4614834634802,-0.0,-0.0,-103915.41888796161,54360.18135092245,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,16421.840653773987,-403.5266647753005,-1844.832346983,-445.00886983920424,-0.0,-68088.65412309894,23778.482231870697,215.98799077584982,0.0,2434.566626700947,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-25369.131406992474
t50,100148.217929603,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-1918.8552219774124,-47.15118507335329,-842.4614834634802,-0.0,-0.0,-97339.75003908873,55816.8541712178,0.0,0.0,10306.860608680681,-0.0,0.0,-0.0,0.0,0.0,1918.8552219774124,-47.15118507335329,-1844.832346983,-445.00886983920424,-0.0,-65705.57759998033,24143.94816031572,503.97197847698277,0.0,670.2989059432614,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-24258.31360238095
t51,97116.43452134906,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3247.306019113718,-79.79462199303298,-842.4614834634802,-0.0,-0.0,-92946.87239677881,63571.01797281664,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,2981.832731832837,-86.08185970355021,-1844.832346983,-445.00886983920424,-0.0,-64176.92762812372,24044.131632133165,0.0,0.0,407.7133040973781,-0.0,0.0,-0.0,0.0,0.0,265.47328728088104,-6.287237710517235,-889.7283062866618,-170.17713606835784,-0.0,-23651.125543445884
t52,101905.0638854711,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-10200.878228530299,-250.66169232325447,-842.4614834634802,-0.0,-0.0,-90611.06248115403,64797.59485114974,0.0,0.0,0.0,-1516.886889910466,0.0,-0.0,0.0,0.0,3880.8782285302977,-400.33905812325446,-1844.832346983,-445.00886983920424,-0.0,-64471.40591482411,23629.004963076448,0.0,0.0,0.0,-5111.309569977456,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-23628.11258494397
t53,116270.09697295062,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-4558.619383136226,-0.0,-0.0,-91060.1930704544,65748.95365112573,0.0,0.0,0.0,-9642.715210048967,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-67007.43533909455,27397.475750887792,0.0,0.0,0.0,-8274.362526430814,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-24233.530416301965
t54,140462.21663789806,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-94436.53020769957,79426.8301191177,0.0,0.0,0.0,-21145.51585473934,0.0,-0.0,0.0,0.0,15928.334921051824,-595.4088504520272,-1844.832346983,-445.00886983920424,-0.0,-71324.39911815595,34670.23816936862,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,4227.6650789481755,-100.1243310920272,-889.7283062866618,-170.17713606835784,-0.0,-26134.75483407532
t55,145499.42711458175,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-99473.74068438333,93751.25302381754,0.0,0.0,0.0,-30103.958597377634,0.0,-0.0,0.0,0.0,17022.866492593213,-569.486919690437,-1844.832346983,-445.00886983920424,-0.0,-77810.83278252048,38870.38039398552,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,3133.133507406787,-74.20240033043713,-889.7283062866618,-170.17713606835784,-0.0,-29266.287417912434
t56,195775.20782348255,0.0,0.0,0.0,-44626.49539596971,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-105123.02599731437,103468.4923292907,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,16156.846044516278,-589.9969923798502,-1844.832346983,-445.00886983920424,-0.0,-83692.48715957197,41005.04814459562,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,3999.1539554837195,-94.71247301985025,-889.7283062866618,-170.17713606835784,-0.0,-32246.46554391005
t57,202712.03737396307,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-112017.13918666725,108004.8993888133,0.0,0.0,0.0,-31382.134193430993,0.0,-0.0,0.0,0.0,15023.839060268774,-616.8301412461744,-1844.832346983,-445.00886983920424,-0.0,-88739.9328975827,41878.87385416742,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,5132.160939731225,-121.54562188617443,-889.7283062866618,-170.17713606835784,-0.0,-34226.46508886302
t58,210271.16160161706,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-119576.26341432123,106808.79261107236,0.0,0.0,0.0,-24188.959891019793,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-93521.02961807037,42090.207796253315,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-35597.50634730386
t59,218090.00407059758,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-127395.10588330177,101091.13458809073,0.0,0.0,0.0,-14699.342679287898,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-97292.98880682063,40683.67458579119,0.0,0.0,0.0,-9084.882511932241,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-36709.209265703925
t60,225441.51913082178,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-134746.62094352595,87177.73726163592,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,15804.065073571102,-598.3519490943187,-1844.832346983,-445.00886983920424,-0.0,-100093.60916929053,39327.827521364,0.0,0.0,0.0,-5145.515196175394,0.0,-0.0,0.0,0.0,4351.934926428897,-103.0674297343187,-889.7283062866618,-170.17713606835784,-0.0,-37371.274379528164
t61,200992.27077379558,0.0,0.0,0.0,-13180.2756550703,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-141786.30868852683,84621.06835265338,0.0,0.0,3003.737228064913,-0.0,0.0,-0.0,0.0,0.0,19057.186101140924,-521.3078690254515,-1844.832346983,-445.00886983920424,-0.0,-103870.84259601154,37389.02602248777,503.97197847698277,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1098.8138988590756,-26.023349665451594,-889.7283062866618,-170.17713606835784,-0.0,-37905.883107803355
t62,197141.34100898818,0.0,0.0,0.0,-2287.1767607907154,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-148828.477817999,65132.601736598175,0.0,0.0,30221.58336361789,-0.0,0.0,-0.0,0.0,0.0,14896.786441977585,-619.8391446043734,-1844.832346983,-445.00886983920424,-0.0,-107341.29118076709,33629.84632820906,719.9599692528326,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5259.213558022413,-124.55462524437347,-889.7283062866618,-170.17713606835784,-0.0,-38424.55978788491
t63,196311.45051409007,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-20560.402489667737,-0.0,-0.0,-155099.7635050624,69654.66006259432,0.0,0.0,30260.278003219446,-0.0,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-110816.13496383159,29076.229611378574,719.9599692528326,0.0,3840.13443443529,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-38746.741206911676
t64,196017.08431401843,0.0,0.0,10462.366182091997,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-25374.401910838445,-0.0,-0.0,-160453.76406591196,77419.44407845354,0.0,0.0,25232.823494181124,-0.0,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-113553.46447065244,25432.26246036473,719.9599692528326,0.0,7640.766726019846,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-38903.406347482385
t65,191695.16466146783,0.0,0.0,4099.692920435814,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-11319.261756486147,-0.0,-0.0,-163824.3113060575,86586.57287957854,0.0,0.0,17233.059363916145,-0.0,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-114720.82914151247,23029.00656863384,719.9599692528326,0.0,9936.923849337996,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-38796.307579069646
t66,175660.33196909627,0.0,0.0,20273.483143198748,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-11319.261756486147,-0.0,-0.0,-163963.26883644878,94230.06169754328,0.0,0.0,8614.715561023882,-0.0,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-113745.97415658494,20680.389046216867,719.9599692528326,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-38113.8848481091
t67,138083.39782300463,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-1618.611509331884,-0.0,-0.0,-160482.71355141015,81316.62295465716,0.0,0.0,18609.742626759948,-0.0,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-110827.56247943488,19684.6360341149,719.9599692528326,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-37118.13183600713
t68,131176.13952689836,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-1109.1895083239501,-0.0,-0.0,-154084.87725631183,89633.62289260545,0.0,0.0,7100.070637182436,-0.0,0.0,-0.0,0.0,0.0,13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-107634.89042780567,19387.623336358807,719.9599692528326,0.0,11147.784618295684,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-36365.78511575231
t69,141058.2428630032,0.0,0.0,36684.643578947514,-0.0,0.0,-0.0,0.0,0.0,-18706.203919594802,-459.65931818647846,-11319.261756486147,-0.0,-0.0,-147257.7614476833,96029.37882410041,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,12386.203919594802,-609.3366839864784,-1844.832346983,-445.00886983920424,-0.0,-105516.40484288652,20078.817646083804,719.9599692528326,0.0,10323.823240290436,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-36233.01804747205
t70,146865.8222741478,0.0,0.0,18164.41511133583,-0.0,0.0,-0.0,0.0,0.0,-13562.449241094597,-333.2640977237515,-11319.261756486147,-0.0,-0.0,-139815.26229017915,94634.1439493639,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,7242.449241094598,-482.9414635237515,-1844.832346983,-445.00886983920424,-0.0,-99103.81051011254,20200.614265438773,719.9599692528326,0.0,8791.155242010549,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-34822.14666854713
t71,145806.134977521,0.0,0.0,5103.919451709441,-0.0,0.0,-0.0,0.0,0.0,-11288.039115296262,-277.3760184429643,-11319.261756486147,-0.0,-0.0,-128025.37753900506,87776.58148787718,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,4968.039115296262,-427.05338424296434,-1844.832346983,-445.00886983920424,-0.0,-90027.72600210825,20854.632639125797,719.9599692528326,0.0,5187.052611136096,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-31872.062411359708
t72,135242.66772866427,0.0,0.0,10085.10750078172,-0.0,0.0,-0.0,0.0,0.0,-11846.520684849042,-291.09934031969414,-18269.79618622084,-0.0,-0.0,-114920.3590180564,79310.79684779173,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5526.520684849042,-440.77670611969415,-1844.832346983,-445.00886983920424,-0.0,-82106.69960969887,23025.602630084788,503.97197847698277,0.0,419.1789909884772,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-29059.170791395223
t73,131818.19401587758,0.0,0.0,7883.549350066588,-0.0,0.0,-0.0,0.0,0.0,-9639.893781174773,-236.87686833154402,-25374.401910838445,-0.0,-0.0,-104450.57080559943,75977.99378989464,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,3319.8937811747733,-386.554234131544,-1844.832346983,-445.00886983920424,-0.0,-76621.49212011565,24211.974090177533,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-3186.940282967569,-170.17713606835784,-0.0,-27025.179305341608
t74,129300.24561905616,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6579.1012737106585,-161.66536079433158,-25374.401910838445,-0.0,-0.0,-97185.07707371273,84675.87656263619,0.0,0.0,0.0,-9350.646932972495,0.0,-0.0,0.0,0.0,259.10127371065795,-311.3427265943316,-1844.832346983,-445.00886983920424,-0.0,-72983.14695995781,24904.893911801344,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5176.551804795269,-170.17713606835784,-0.0,-25728.487605137718
t75,111793.52603258395,0.0,0.0,0.0,-7808.159457457521,0.0,-0.0,0.0,0.0,14217.103832528397,-349.35063695103395,-25374.401910838445,-0.0,-0.0,-92478.71785986536,92914.14860828049,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-19223.170959800067,-467.90996299976774,-1844.832346983,-445.00886983920424,-0.0,-70933.22646865844,26049.82838181969,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5006.067127271672,-118.55932604873375,-5768.005203589455,-170.17713606835784,-0.0,-24999.15384338481
t76,114909.62028169008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,210.8873306278395,-5.182041585092424,-25374.401910838445,-0.0,-0.0,-89740.92365989438,88687.89308347875,0.0,0.0,0.0,-9072.677907023739,0.0,-0.0,0.0,0.0,-6530.887330627839,-154.85940738509242,-1844.832346983,-445.00886983920424,-0.0,-70639.62722161986,25266.73896888591,0.0,0.0,0.0,-701.5313638292885,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-24797.34789959881
t77,132793.77919615337,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-17210.87348360921,-422.9152213283964,-25374.401910838445,-0.0,-0.0,-89785.5885803773,88553.66630891294,0.0,0.0,0.0,-24660.005779856794,0.0,-0.0,0.0,0.0,12091.384944266609,-544.160721140436,-1844.832346983,-445.00886983920424,-0.0,-73151.04353536012,26306.41536575412,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5119.488539342603,-121.24549981203964,-5768.005203589455,-170.17713606835784,-0.0,-25366.47606562687
t78,134985.67267531628,0.0,0.0,0.0,-33425.22003747835,0.0,-0.0,0.0,0.0,17576.508955570822,-431.89982090130144,-25374.401910838445,-0.0,-0.0,-93330.659861669,104612.1636487629,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-23896.508955570822,-581.5771867013015,-1844.832346983,-445.00886983920424,-0.0,-77844.23628966858,31947.464039166844,0.0,0.0,0.0,-4947.308401850212,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-27232.29593185882
t79,159881.2412036618,0.0,0.0,0.0,-35857.74538105968,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-98649.09391176367,117400.46663840006,0.0,0.0,0.0,-29995.852089226133,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-85114.77333235173,40568.087289439325,0.0,0.0,0.0,-4153.666982941636,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-30476.237966839886
t80,144783.37982304947,0.0,0.0,0.0,-13639.964824208646,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-105769.01308800238,105903.2315669387,0.0,0.0,0.0,-7943.858482997453,0.0,-0.0,0.0,0.0,-3024.47790853194,-71.62909592869528,-1844.832346983,-445.00886983920424,-0.0,-92573.4248626584,48359.96876940499,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,3024.47790853194,-71.62909592869528,-5768.005203589455,-170.17713606835784,-0.0,-33771.516601555995
t81,185023.5259133028,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-114979.91224536696,127099.99285904234,0.0,0.0,0.0,-18379.60009606022,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-99960.87418035991,47723.48675517651,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-36352.50840892429
t82,195483.38858787462,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-125439.77491993882,143067.4066951636,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-107724.55247330847,55891.5112101002,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-38350.210229647964
t83,206667.81552805819,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-136624.20186012235,140880.07703142904,0.0,0.0,0.0,-23911.600576860405,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-114678.63523774644,57598.01059439583,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-40056.709613943596
t84,173337.70367652032,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-147963.30176568188,132517.79192609448,0.0,0.0,0.0,-9365.271450817843,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-120862.67925845445,52188.46857394962,0.0,0.0,0.0,-4951.761975033488,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-41298.524259258316
t85,211578.27271007703,0.0,0.0,0.0,-14032.06986872391,0.0,-0.0,0.0,0.0,-13741.816151212599,-337.67160188464067,-25374.401910838445,-0.0,-0.0,-158092.31317741738,115482.3516398191,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,13741.816151212599,-337.67160188464067,-1844.832346983,-445.00886983920424,-0.0,-126596.65497232486,60014.371237096595,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-42473.070256644365
t86,195614.90122959626,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-8123.596143425214,-0.0,-0.0,-166840.02056681103,106716.75730288248,0.0,0.0,1123.3136505594819,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-131381.2678514597,65401.53659778501,0.0,0.0,0.0,-9507.151347810153,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-43486.52554451703
t87,195300.66703681138,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-173806.92103398792,104838.14386693302,0.0,0.0,6350.189158275299,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-134729.52992322613,65911.91527776119,0.0,0.0,0.0,-9223.582959470372,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-44280.472612833
t88,190702.33239214646,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-11256.103224346762,-276.5912718464543,-842.4614834634802,-0.0,-0.0,-178327.17641248982,106324.0813828432,0.0,0.0,16075.331317142758,-0.0,0.0,-0.0,0.0,0.0,17576.10322434676,-426.2686376464543,-1844.832346983,-445.00886983920424,-0.0,-137259.40606986405,60907.80840324937,0.0,0.0,0.0,-3599.8964329839937,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-5768.005203589455,-170.17713606835784,-0.0,-44900.05226480756
t89,188401.9757423516,0.0,0.0,13825.062481939185,-0.0,0.0,-0.0,0.0,0.0,-20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-180733.29222146733,108436.36722963105,0.0,0.0,6141.542731447925,-0.0,0.0,-0.0,0.0,0.0,26476.0,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-138119.1068590968,54668.43971147262,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-2842.6411910998813,-170.17713606835784,-0.0,-45185.944018504386
t90,168745.3235431689,0.0,0.0,11890.812575306625,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-842.4614834634802,-0.0,-0.0,-179793.67463501205,119878.13369904696,0.0,0.0,12385.289622625029,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-136143.90473904976,46877.15189260701,0.0,0.0,5326.779164279124,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-44674.34824873111
t91,131380.44497794923,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-425.5351399299482,-0.0,-0.0,-175624.12159511668,100285.23616084014,0.0,0.0,28464.66563264848,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-132630.38321086642,42536.76467227866,0.0,0.0,8620.961886559011,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-43628.14375068265
t92,125249.14771210028,0.0,0.0,44669.21175709736,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-841.7843656127886,-0.0,-0.0,-169076.57510358488,97707.1060728149,0.0,0.0,27077.447806329168,-0.0,0.0,-0.0,0.0,0.0,6320.0,-149.67736580000002,-1844.832346983,-445.00886983920424,-0.0,-128665.03529652186,41528.467405513824,0.0,0.0,8524.637145232067,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-42523.52174259086
