,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand,Generation,H2-G2P,Bioelectricity Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC Power Demand,CSC Power Demand,BESC Power Demand,Power Sector Demand
t9,192100.43442537275,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-122056.82075743693,110200.99562783883,0.0,0.0,0.0,-9834.941265539139,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-98076.21314547748,54592.164168530704,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-37050.86318807847
t10,183595.26370273365,0.0,0.0,0.0,-27166.540941623127,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-131054.32085027204,137924.14563401754,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-102581.29141216242,55631.287756270896,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-38089.98677581865
t11,210496.59176723205,0.0,0.0,0.0,-44669.21175709736,0.0,-0.0,0.0,0.0,-0.0,-0.0,-25374.401910838445,-0.0,-0.0,-140452.97809929625,120264.32886970993,0.0,0.0,0.0,-12189.096673492804,0.0,-0.0,0.0,0.0,0.0,-0.0,-1844.832346983,-445.00886983920424,-0.0,-105785.39097939493,56276.53570811297,0.0,0.0,0.0,-11603.118640794424,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-38735.234727660725
t12,202376.00335780584,0.0,0.0,0.0,-32927.40687020758,0.0,-0.0,0.0,0.0,4800.278216052925,-117.95512448065347,-25374.401910838445,-0.0,-0.0,-148756.51766833206,148265.17464814713,0.0,0.0,0.0,-33053.01300503295,0.0,-0.0,0.0,0.0,-4800.278216052925,-117.95512448065347,-1844.832346983,-445.00886983920424,-0.0,-108004.0870857584,51568.16686901993,0.0,0.0,0.0,-6657.539306374007,0.0,-0.0,0.0,0.0,0.0,-0.0,-5768.005203589455,-170.17713606835784,-0.0,-38972.44522298812
t13,175559.6117382467,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,5358.04179640202,-131.66080352459642,-25374.401910838445,-0.0,-0.0,-155411.59082028567,121029.75020380651,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-8946.571535408688,-216.64841087103306,-1844.832346983,-445.00886983920424,-0.0,-109576.6890407046,46372.35467740695,0.0,0.0,0.0,-4992.707773865823,0.0,-0.0,0.0,0.0,3588.529739006668,-84.98760734643665,-5768.005203589455,-170.17713606835784,-0.0,-38945.00669554354
t14,167198.83355636228,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1655.348866780715,-40.67615934990113,-7208.379803210541,-0.0,-0.0,-161605.12646058254,116186.17897648372,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3523.583826466933,-84.92180610010719,-1844.832346983,-445.00886983920424,-0.0,-110287.83212709449,42888.372761078055,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,1868.234959686218,-44.24564675020606,-5768.005203589455,-170.17713606835784,-0.0,-38774.179734356265
t15,166372.2042343335,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-203.33306650143746,-4.996413976590562,-842.4614834634802,-0.0,-0.0,-165321.41327039208,115929.34423181775,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-3582.2643622195296,-94.6512005446614,-1844.832346983,-445.00886983920424,-0.0,-109962.58745223138,40945.61032877837,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,3785.5974287209674,-89.65478656807085,-5768.005203589455,-170.17713606835784,-0.0,-38703.37063127346
t16,162176.34374933125,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,6339.329824062229,-155.77356246155858,-842.4614834634802,-0.0,-0.0,-167517.4385274685,118500.52191061378,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-6339.329824062229,-155.77356246155858,-1844.832346983,-445.00886983920424,-0.0,-109715.57730726777,39489.14183293716,0.0,0.0,167.92058606710003,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-889.7283062866618,-170.17713606835784,-0.0,-38597.15697664925
t17,148218.22629887317,0.0,0.0,662.9264259788237,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-167699.4067220285,106119.56813419316,0.0,0.0,18911.122595128978,-0.0,0.0,-0.0,0.0,0.0,-13835.999999999998,-644.96188516,-1844.832346983,-445.00886983920424,-0.0,-108259.88762733992,36104.82876534181,0.0,0.0,9465.174446473886,-0.0,0.0,-0.0,0.0,0.0,-6320.0,-149.67736580000002,-889.7283062866618,-170.17713606835784,-0.0,-38040.42040366068
t18,124811.07247213236,0.0,0.0,22488.611216361758,-0.0,0.0,-0.0,0.0,0.0,20156.0,-495.28451935999993,-842.4614834634802,-0.0,-0.0,-166117.93768567065,93324.50785417455,0.0,0.0,33053.01300503295,-0.0,0.0,-0.0,0.0,0.0,-18845.764948245804,-526.3149831456636,-1844.832346983,-445.00886983920424,-0.0,-104715.59971099383,28053.376790330527,0.0,0.0,11603.118640794424,-0.0,0.0,-0.0,0.0,0.0,-1310.235051754194,-31.030463785663677,-889.7283062866618,-170.17713606835784,-0.0,-37255.324473230066
