Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combined_cycle_4,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_naturalgas_ccs100_moderate_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_naturalgas_ccs100_moderate_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_naturalgas_ccs100_moderate_0,NE_offshorewind_class10_moderate_floating_1_250_1,SE_offshorewind_class10_moderate_floating_1_250_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.399079159450004,1161.6596182433998,392.11723200000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.15654031091196,366.940894152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24520498934999,1951.5990775582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117083.50251546112,0.0,0.0,0.0,0.0,28053.19909945437,0.0,0.0,0.0,0.0,40756.35219956522,0.0,0.0,0.0,0.0,21768.7612523364,9826.162173408975,0.0,0.0,0.0,0.0,24343.67491223844,0.0,49850.57348265398,0.0,0.0,876.237127808,0.0,0.0,39944.8457625372,0.0,24250.61855379444,0.0,0.0,6581.072901760001,15095.72982477052,0.0,0.0,691.244786386,0.0,383432.09223858797
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.323198476264004,1437.7645275771997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.9763501663999,437.7387129696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.245033792142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119684.7462720225,0.0,0.0,0.0,0.0,28652.146507457044,0.0,0.0,0.0,0.0,43824.24128008147,0.0,0.0,0.0,0.0,22986.837309042883,9907.59936543637,0.0,0.0,0.0,0.0,24533.907243025176,0.0,26243.32566734978,13045.243663778512,0.0,903.5761960159999,0.0,0.0,36957.828271038394,0.0,0.0,0.0,0.0,6929.7378798400005,15427.475535405554,0.0,0.0,746.580446711,0.0,352156.2934601863
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.258759626152006,1654.7270029791996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.776035190336,558.9898587335999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.23675842122,3414.8738219932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118228.26778760676,0.0,0.0,0.0,0.0,28364.772785743495,0.0,0.0,0.0,0.0,44628.998577894585,0.0,0.0,0.0,0.0,23096.41454585406,9536.083722507541,0.0,0.0,2234.6330192839996,0.0,24803.097505112062,0.0,62944.643642343144,0.0,0.0,906.24928268,0.0,5778.316975409,37194.2420937495,0.0,0.0,0.0,0.0,6626.293226080001,16566.173804037353,0.0,0.0,697.462359011,0.0,387671.51156425616
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.6137076571999,50.18104467138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.6349482564999,343.56349133836795,636.7530963864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.1067740325011,557.0,43.24719221968599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116554.48142340923,0.0,0.0,0.0,0.0,28364.073659382935,0.0,0.0,0.0,0.0,44260.03991217628,0.0,0.0,0.0,0.0,22254.197064597887,9622.70632067697,0.0,0.0,0.0,0.0,24722.35951062892,0.0,55732.27616832,9947.981755903422,0.0,596.0702710080001,8104.10165628,0.0,33511.39763806965,0.0,29476.70749159757,0.0,0.0,4625.163292000001,14138.912764314346,0.0,0.0,522.3124813060001,0.0,406089.8816642332
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.7707159868,50.118905323872,1720.8513347422,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,325.275,918.1363706149999,343.386541440768,717.8164972944,0.0,0.0,0.0,0.0,0.0,13.679999999999998,0.0,0.0,1822.856774032501,1114.0,43.247106621082,4316.4999681706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117448.72472454132,0.0,0.0,0.0,0.0,28640.9077089872,0.0,0.0,0.0,0.0,44540.88621315971,0.0,0.0,0.0,0.0,21328.78916270494,9568.916648544133,0.0,0.0,524.9474832139999,0.0,14913.79174891068,0.0,31535.641713072,3768.6183409856085,0.0,327.157610888,4553.432668224,1584.7066443969998,20073.336506448868,0.0,20053.194784837,0.0,565.2659467400001,2786.109268,10702.521704439154,0.0,0.0,229.82347202100001,0.0,345387.5915643418
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938.6026663092,50.043013029702,1713.3215512861998,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,650.55,967.6653888475,343.185097391808,815.3889341808,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,2965.606774032501,1671.0000000000002,43.23883152989399,4255.973376018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113317.83132431397,0.0,0.0,0.0,0.0,27593.735036511327,0.0,0.0,0.0,0.0,44358.2083819996,0.0,0.0,0.0,0.0,19122.22643337116,8854.167889878227,0.0,0.0,336.278215688,0.0,8580.16270175964,0.0,32408.669034336,3552.230896009959,0.0,277.06045219199996,4840.484737487999,1052.917437374,18462.199197002024,0.0,17996.910884071,0.0,445.85965751199996,2483.83957008,9929.053226346197,0.0,0.0,265.010397421,0.0,328329.9211059797
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.2926506015999,49.982466234204,1699.0000123802,392.11723200000006,0.0,0.0,0.0,0.5,0.0,0.0,0.0,975.8249999999999,858.522251657,342.98548430899194,776.9664144144,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4108.356774032501,2228.0,43.24783868496,4082.5360289672003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109677.32581332097,0.0,0.0,0.0,0.0,27062.325477948052,0.0,0.0,0.0,0.0,44061.711823093196,0.0,0.0,0.0,0.0,17388.937573025454,8195.272610761518,0.0,0.0,258.881416244,0.0,7559.1214296497,0.0,33829.496827056006,4490.682774900021,0.0,332.970358296,4297.357602528,940.919900617,20686.807270536377,0.0,16990.946039673003,0.0,608.9983732349999,2937.18561248,9148.818068205195,0.0,0.0,200.10620626699998,0.0,325259.1973311175
t16,0.0,0.0,0.0,0.0,0.0,1104.9576745652275,0.0,0.0,1147.1252660064,49.907039171052006,1504.0915396603998,784.2344640000001,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1301.1,999.75220948,342.779050774272,668.2005337896,919.379214,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4571.0,2228.0,43.239926408769996,3493.1262258158004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104302.1148974013,0.0,0.0,0.0,0.0,25049.720291620873,0.0,0.0,0.0,0.0,40873.86065363066,0.0,0.0,0.0,0.0,16359.890948495116,6945.116788941275,0.0,0.0,536.3345308899999,0.0,7971.083398764153,0.0,33687.2118744,4759.212171386824,0.0,260.92422596,4945.8577777440005,1225.593182123,25165.48486202805,0.0,15775.643823204,0.0,865.824098247,2851.12965432,9214.269490065613,0.0,0.0,277.181407976,0.0,320261.8472208694
t17,234.14300000000003,0.0,0.0,0.0,0.0,13778.309354565228,0.0,0.0,1443.6818396531999,49.84261219581,1276.029139111,1176.3516960000002,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1301.1,1065.0027916955,342.592049106048,497.8147268808,1838.758428,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4571.0,2228.0,43.239755211562,2755.8930498974005,0.0,0.0,0.0,527.597467760737,0.0,0.0,0.0,0.0,0.0,6740.112060816968,0.0,0.0,0.0,0.0,0.0,8491.393179377555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88731.47975301038,0.0,0.0,0.0,0.0,19662.28323364201,0.0,0.0,0.0,0.0,32363.79593805406,0.0,0.0,0.0,0.0,12900.65098015471,4462.844236866815,0.0,0.0,1271.1623819919996,0.0,9447.582180067362,0.0,32886.14070264,4694.073155272376,0.0,338.32772264799996,5337.184181447999,1991.8684416909998,26511.972719422134,0.0,15256.374871807,0.0,1394.028113408,3482.03678256,10072.792675615608,0.0,0.0,344.34443100199996,0.0,319548.30365157325
t18,468.28600000000006,0.0,0.0,0.0,0.0,9942.003312935754,0.0,0.0,1572.6428577635997,49.766719637754,836.1454666123999,1568.4689280000002,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1301.1,1189.7628608794998,342.406146292224,297.80125851839995,2758.1376419999997,0.0,0.0,0.0,0.0,38.0,0.0,0.0,4571.0,2228.0,43.231565718978,1861.929383937,0.0,0.0,0.0,22685.781830354223,0.0,0.0,0.0,0.0,0.0,32786.040360834544,0.0,0.0,0.0,0.0,0.0,11577.426458760769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63225.8142976289,0.0,0.0,0.0,0.0,7955.936233863072,0.0,0.0,0.0,0.0,16625.880738687698,0.0,0.0,0.0,0.0,5591.138302121684,1228.4715942534726,0.0,0.0,1805.4165523220001,0.0,11370.560132842593,0.0,31401.343165632003,5462.243267058251,0.0,389.48267254399997,5747.320934256,2567.048127251,30371.5024188738,0.0,16422.974402165,0.0,1780.61727851,3707.491753200001,11234.8614591671,0.0,0.0,422.52458776000003,0.0,313429.05871038174
