Costs,Total,Zone1,Zone2,Zone3
cTotal,9.40648747529839e10,4.6400281213101845e10,3.376948290749304e10,1.3357390412388996e10
cFix_Thermal,2.420232424056008e9,1.6875091715413547e9,4.1012957558786535e8,3.2259367692678803e8
cFix_VRE,7.63713366944191e10,3.786275813706327e10,2.800053588271932e10,1.0508042674636494e10
cFix_Must_Run,5.7183837966639996e7,1.3000822274440002e7,1.2264276014760002e7,3.1918739677440003e7
cFix_Hydro,8.6547726957692e8,5.1480428627628e8,1.3110783686000001e8,2.1956514644064003e8
cFix_Stor,9.985931198039751e9,4.806803432978801e9,3.365065060185904e9,1.814062704875046e9
cVar,3.8269931089254794e9,1.5154053629676967e9,1.850380276125194e9,4.612074698325862e8
cNSE,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.377202199999999e8,-,-,-
