region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MIDAT,MIDAT_battery_moderate_0,2,0,45,5.343350082393627e8,1.8829004901332607e9,1.632818842448628e8,5.7543658998809e8,7.71357e6,0.0,9.113385978440594e6,0.0,8.375876e8,4.0103685e9,0.0,0.0,0.0,0.0,0.0,4.010368512e9,4.010368512584017e9,-0.5840167999267578
MIDAT,MIDAT_nuclear_mid_0,2,0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT,MIDAT_naturalgas_ccs100_moderate_0,2,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,NE_naturalgas_ccccsavgcf_conservative_0,3,0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,NE_naturalgas_ccavgcf_moderate_0,3,0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,NE_naturalgas_ctavgcf_moderate_0,3,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,NE_battery_moderate_0,3,0,51,1.9202001038650692e8,1.1060795940428827e9,5.731940608552446e7,3.301965185823319e8,3.4850033999999994e6,0.0,4.1174427024764135e6,0.0,4.719541e8,2.165172e9,0.0,0.0,0.0,0.0,0.0,2.165171968e9,2.1651720871997223e9,-119.19972229003906
NE,NE_nuclear_mid_0,3,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,NE_naturalgas_ccs100_moderate_0,3,0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,NE_offshorewind_class10_moderate_floating_1_250_1,3,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,SE_offshorewind_class10_moderate_floating_1_250_1,1,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
