Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor
MIDAT_conventional_hydroelectric_1,2,2821.0,0.0,0.0,2821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4711960000000004e7,4.229212139284795e6,0.17114029560119046
MIDAT_hydroelectric_pumped_storage_1,2,5212.996,0.0,0.0,5212.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566584496e7,0.0,0.0
MIDAT_natural_gas_fired_combined_cycle_1,2,2425.492,0.0,0.0,2425.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.124730992e7,1.3939459019181347e6,0.06560575937220266
MIDAT_natural_gas_fired_combined_cycle_2,2,12165.1,0.0,0.0,12165.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0656627600000001e8,1.310927646670855e7,0.1230152442101716
MIDAT_natural_gas_fired_combined_cycle_3,2,705.1,705.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIDAT_natural_gas_fired_combined_cycle_4,2,19802.112,0.0,0.0,19802.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7346650112e8,5.171209013526751e7,0.29810995092069287
MIDAT_natural_gas_fired_combustion_turbine_1,2,351.204,80.09606022844679,0.0,271.1079397715532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3749055523988064e6,102912.57393728162,0.04333333333333334
MIDAT_natural_gas_fired_combustion_turbine_2,2,827.4,0.0,0.0,827.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.248024e6,74205.96,0.010238095238095239
MIDAT_onshore_wind_turbine_1,2,3231.6,0.0,0.0,3231.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8308816e7,5.408676835084026e6,0.19105980395238098
MIDAT_small_hydroelectric_1,2,263.886,0.0,0.0,263.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31164136e6,395614.985674338,0.17114029560119048
MIDAT_solar_photovoltaic_1,2,2974.6,0.0,0.0,2974.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6057495999999996e7,6.1786111416076785e6,0.23711453861904763
NE_conventional_hydroelectric_1,3,4724.304,0.0,0.0,4724.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.138490304e7,1.9855960295288943e7,0.47978752725595236
NE_hydroelectric_pumped_storage_1,3,3202.1,0.0,0.0,3202.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8050395999999996e7,0.0,0.0
NE_natural_gas_fired_combined_cycle_1,3,4138.4,0.0,0.0,4138.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6252384e7,4.681318666809602e6,0.12913133290239895
NE_natural_gas_fired_combined_cycle_2,3,20.9,0.0,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183083.99999999997,13382.568571428574,0.07309523809523812
