Region,Resource,Zone,Cluster,AnnualSum
MIDAT,MIDAT_conventional_hydroelectric_1,2,1,0.0
MIDAT,MIDAT_hydroelectric_pumped_storage_1,2,1,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,2,1,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,2,2,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,2,3,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,2,4,0.0
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_1,2,1,0.0
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_2,2,2,0.0
MIDAT,MIDAT_onshore_wind_turbine_1,2,1,0.0
MIDAT,MIDAT_small_hydroelectric_1,2,1,0.0
MIDAT,MIDAT_solar_photovoltaic_1,2,1,0.0
NE,NE_conventional_hydroelectric_1,3,1,0.0
NE,NE_hydroelectric_pumped_storage_1,3,1,0.0
NE,NE_natural_gas_fired_combined_cycle_1,3,1,0.0
NE,NE_natural_gas_fired_combined_cycle_2,3,2,0.0
NE,NE_natural_gas_fired_combined_cycle_3,3,3,0.0
NE,NE_natural_gas_fired_combined_cycle_4,3,4,0.0
NE,NE_natural_gas_fired_combustion_turbine_1,3,1,0.0
NE,NE_natural_gas_fired_combustion_turbine_2,3,2,0.0
NE,NE_nuclear_1,3,1,0.0
NE,NE_onshore_wind_turbine_1,3,1,0.0
NE,NE_small_hydroelectric_1,3,1,0.0
NE,NE_solar_photovoltaic_1,3,1,0.0
SE,SE_conventional_hydroelectric_1,1,1,0.0
SE,SE_hydroelectric_pumped_storage_1,1,1,0.0
SE,SE_natural_gas_fired_combined_cycle_1,1,1,0.0
SE,SE_natural_gas_fired_combined_cycle_2,1,2,0.0
SE,SE_natural_gas_fired_combined_cycle_3,1,3,0.0
SE,SE_natural_gas_fired_combined_cycle_4,1,4,0.0
SE,SE_natural_gas_fired_combustion_turbine_1,1,1,0.0
SE,SE_natural_gas_fired_combustion_turbine_2,1,2,0.0
SE,SE_nuclear_1,1,1,0.0
SE,SE_nuclear_2,1,2,0.0
SE,SE_small_hydroelectric_1,1,1,0.0
