Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuelv1,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
BE0 0 CCGT,1,1,0,0,0,0,0,0,0,0,3641,0,0,-1,1,0,3641,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_BE0 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 OCGT,1,1,0,0,0,0,0,0,0,0,3641,0,0,-1,0,0,3641,0,0,23132.03965,0,0,15000,0,0,3,0,9.91,NG_BE0 0,ng,100,0,1.88,1,1,1,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 biomass,1,1,0,0,0,0,0,0,0,0,672,0,0,-1,0,0,672,0,0,127746.689,0,0,99999.99415,0,0,0,0,13.5,biomass_BE0 0,biomass,100,0,4.3,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 coal,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,65680.53612,0,0,24999.988,0,0,6,0,10,coal_BE0 0,coal,650,3581,4.003076923,24,12,0.3,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 nuclear,1,1,0,0,0,0,0,0,0,0,5943,0,0,-1,0,0,5943,0,0,289574.7347,0,0,0,0,0,8,0,10.46,None_BE0 0,uranium,1000,0,0,36,36,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 offwind-ac,1,0,0,0,0,0,1,0,1,0,1127,0,0,2672.963917,0,0,1127,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_BE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 offwind-dc,1,0,0,0,0,0,1,0,1,0,1127,0,0,3827.284146,0,0,1127,0,0,94841.36258,0,0,44484.1454,0,0,2.7,0,0,None_BE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 onwind,1,0,0,0,0,0,1,0,1,0,2629,0,0,14034.37346,0,0,2629,0,0,60143.3031,0,0,25485.7096,0,0,2.3,0,0,None_BE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 ror,1,0,1,0,0,0,0,0,0,0,176,0,0,-1,0,0,176,0,0,125442.2265,0,0,60000,0,0,0,0,0,None_BE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
BE0 0 solar,1,0,0,0,0,0,1,0,1,0,4788,0,0,34214.9628,0,0,4788,0,0,38407.17767,0,0,25000.002,0,0,0.01,0,0,None_BE0 0,None,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BE0 0,1
DE0 0 CCGT,2,1,0,0,0,0,0,0,0,0,15971,0,0,-1,0,0,15971,0,0,46264.07931,0,0,20000,0,0,4,0,6.46,NG_DE0 0,ng,500,0,1.18,2,1,0.7,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE0 0,1
