Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery,Total
Zone,z1,z1,z2,z2,z2,z1,z2,0
AnnualSum,8.255718e7,0.0,2.4241014e7,0.0,0.0,819.95105,0.0,1.06799016e8
t1,7583.00073783099,0.0,2342.050466516998,0.0,0.0,0.0,0.0,9925.051204347988
t2,7185.767379492224,0.0,2228.539939345539,0.0,0.0,0.0,0.0,9414.307318837764
t3,6988.201582223207,0.0,2171.78467575981,0.0,0.0,0.0,0.0,9159.986257983017
t4,6928.301313902282,0.0,2140.168301364038,0.0,0.0,0.0,0.0,9068.46961526632
t5,7079.792960044586,0.0,2142.4112841529386,0.0,0.0,0.0,0.0,9222.204244197525
t6,7575.978036021532,0.0,2218.6125133164696,0.0,0.0,0.0,0.0,9794.590549338001
t7,8772.762104264624,0.0,2538.676904863119,0.0,0.0,0.0,0.0,11311.439009127744
t8,9856.221343543113,0.0,2848.728807785159,0.0,0.0,0.0,0.0,12704.950151328272
t9,10439.460798246859,0.0,3014.790504943404,0.0,0.0,0.0,0.0,13454.251303190264
t10,10847.202975589298,0.0,3131.4541023140705,0.0,0.0,0.0,0.0,13978.657077903368
t11,11163.518427599796,0.0,3221.842114691343,0.0,0.0,0.0,0.0,14385.360542291139
t12,11358.982461068079,0.0,3277.546354877336,0.0,0.0,0.0,0.0,14636.528815945414
t13,11481.89750402167,0.0,3308.0260334696723,0.0,0.0,0.0,0.0,14789.923537491342
t14,11575.502271933065,0.0,3310.723709167545,0.0,0.0,0.0,0.0,14886.22598110061
t15,11575.502271933065,0.0,3310.723709167545,0.0,0.0,0.0,0.0,14886.22598110061
t16,11575.502271933065,0.0,3310.723709167545,0.0,0.0,0.0,0.0,14886.22598110061
t17,11575.502271933065,0.0,3310.723709167545,0.0,0.0,15.725089116145341,0.0,14901.951070216755
t18,11495.059880601093,0.0,3310.723709167545,0.0,0.0,0.0,0.0,14805.783589768638
t19,11174.027246603468,0.0,3224.99518489055,0.0,0.0,0.0,0.0,14399.022431494017
t20,10916.561181013527,0.0,3151.423546909049,0.0,0.0,0.0,0.0,14067.984727922576
t21,10981.400983709127,0.0,3207.027111272547,0.0,0.0,0.0,0.0,14188.428094981675
t22,10577.917042565958,0.0,3143.783513901881,0.0,0.0,0.0,0.0,13721.700556467838
t23,9476.689922292519,0.0,2860.4364939811626,0.0,0.0,0.0,0.0,12337.12641627368
t24,8416.350084822107,0.0,2578.7817548572725,0.0,0.0,0.0,0.0,10995.13183967938
t25,7730.124203882386,0.0,2384.091402506427,0.0,0.0,0.0,0.0,10114.215606388812
t26,7309.771443735543,0.0,2264.2747349365536,0.0,0.0,0.0,0.0,9574.046178672095
t27,7113.256528366892,0.0,2207.5194713508245,0.0,0.0,0.0,0.0,9320.775999717716
t28,7034.44038583936,0.0,2185.447979956374,0.0,0.0,0.0,0.0,9219.888365795734
t29,7206.785017499566,0.0,2194.984240989715,0.0,0.0,0.0,0.0,9401.769258489281
t30,7690.190691668435,0.0,2319.230145109334,0.0,0.0,0.0,0.0,10009.420836777768
t31,8895.491293380786,0.0,2621.396843622389,0.0,0.0,0.0,0.0,11516.888137003176
t32,9950.800714576153,0.0,2878.9109628790834,0.0,0.0,0.0,0.0,12829.711677455236
t33,10515.12429507329,0.0,3036.8619963378546,0.0,0.0,0.0,0.0,13551.986291411145
t34,10867.169731696273,0.0,3137.7602427124843,0.0,0.0,0.0,0.0,14004.929974408757
t35,11166.671073300899,0.0,3222.893138091078,0.0,0.0,0.0,0.0,14389.564211391977
t36,11328.506885957433,0.0,3261.060321725097,0.0,0.0,0.0,0.0,14589.56720768253
t37,11401.017737082764,0.0,3290.158635674165,0.0,0.0,0.0,0.0,14691.176372756929
t38,11535.530620329753,0.0,3310.723709167545,0.0,0.0,0.0,0.0,14846.254329497298
t39,11507.156809019842,0.0,3310.723709167545,0.0,0.0,0.0,0.0,14817.880518187387
t40,11446.20565879855,0.0,3302.770916470994,0.0,0.0,0.0,0.0,14748.976575269544
t41,11420.984493189739,0.0,3295.413752672844,0.0,0.0,0.0,0.0,14716.398245862583
t42,11314.845421252661,0.0,3264.934074080508,0.0,0.0,0.0,0.0,14579.779495333169
t43,11086.804048872998,0.0,3199.770623296892,0.0,0.0,0.0,0.0,14286.57467216989
t44,10947.319818100317,0.0,3158.780710707199,0.0,0.0,0.0,0.0,14106.100528807516
t45,11021.636259723815,0.0,3224.00836866964,0.0,0.0,0.0,0.0,14245.644628393455
t46,10543.370585554943,0.0,3116.48430330426,0.0,0.0,0.0,0.0,13659.854888859203
t47,9507.165497403164,0.0,2851.075704578784,0.0,0.0,0.0,0.0,12358.24120198195
t48,8517.23474725735,0.0,2593.799386650137,0.0,0.0,0.0,0.0,11111.034133907486
t49,7856.23003192644,0.0,2410.9157036529973,0.0,0.0,0.0,0.0,10267.145735579437
t50,7481.06519349538,0.0,2312.6218113243976,0.0,0.0,0.0,0.0,9793.687004819778
t51,7278.244986724529,0.0,2254.8155243389324,0.0,0.0,0.0,0.0,9533.06051106346
t52,7213.0903089017675,0.0,2220.557103143689,0.0,0.0,0.0,0.0,9433.647412045457
t53,7353.133136040401,0.0,2206.647015733383,0.0,0.0,0.0,0.0,9559.780151773784
t54,7901.581008860291,0.0,2306.304619292685,0.0,0.0,0.0,0.0,10207.885628152977
t55,9061.754626865579,0.0,2621.707753442242,0.0,0.0,0.0,0.0,11683.462380307821
t56,10147.315629944802,0.0,2931.7596563642815,0.0,0.0,0.0,0.0,13079.075286309084
t57,10659.095115423585,0.0,3077.8519089275483,0.0,0.0,0.0,0.0,13736.947024351133
t58,10951.240283725641,0.0,3160.8827575066707,0.0,0.0,0.0,0.0,14112.123041232313
t59,11177.17989230457,0.0,3224.99518489055,0.0,0.0,0.0,0.0,14402.17507719512
t60,11278.064554739813,0.0,3254.42384008315,0.0,0.0,0.0,0.0,14532.488394822962
t61,11263.352208134673,0.0,3250.2197464842075,0.0,0.0,0.0,0.0,14513.571954618881
t62,11286.47160994275,0.0,3256.5258868826218,0.0,0.0,0.0,0.0,14542.997496825372
t63,11201.350176013013,0.0,3232.3523486886997,0.0,0.0,0.0,0.0,14433.702524701712
t64,11116.228742083276,0.0,3175.141690601636,0.0,0.0,0.0,0.0,14291.370432684913
t65,11138.297261990987,0.0,3214.484950893193,0.0,0.0,0.0,0.0,14352.78221288418
t66,11129.89020678805,0.0,3212.382904093721,0.0,0.0,0.0,0.0,14342.273110881772
t67,10960.698220828945,0.0,3164.0358277058776,0.0,0.0,0.0,0.0,14124.734048534821
t68,10796.952824447455,0.0,3126.077988085232,0.0,0.0,0.0,0.0,13923.030812532686
t69,10825.950462454797,0.0,3179.3441284836463,0.0,0.0,0.0,0.0,14005.294590938443
t70,10499.051781938791,0.0,3115.1920225074305,0.0,0.0,0.0,0.0,13614.243804446221
