,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand,Generation,H2-G2P,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,HSC_Consumption,Demand
t22,10577.917042565958,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.65570767724693,-10559.26133488871,3143.783513901881,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-127.34635666033996,-3016.437157241541
t23,9476.689922292519,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-9457.937103303979,2860.4364939811626,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-159.30635666033996,-2701.1301373208225
t24,8416.350084822107,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-8397.597265833567,2578.7817548572725,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-180.34635666033995,-2398.4353981969325
t25,7730.124203882386,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7711.371384893844,2384.091402506427,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2202.945045846087
t26,7309.771443735543,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7291.018624747001,2264.2747349365536,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2083.128378276214
t27,7113.256528366892,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7094.503709378351,2207.5194713508245,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2026.3731146904847
t28,7034.44038583936,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7015.687566850818,2185.447979956374,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-181.14635666034,-2004.3016232960342
t29,7206.785017499566,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7188.032198511024,2194.984240989715,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-142.33554130583735,-2052.648699683878
t30,7690.190691668435,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-18.75281898854108,-7671.437872679894,2319.230145109334,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-127.84635666033998,-2191.383788448994
t31,8895.491293380786,0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-11.335707677246932,-8884.155585703538,2621.396843622389,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-84.22635666033996,-2537.170486962049
