Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,MA_battery,CT_battery
Zone,z1,z1,z2,z2,z2,z1,z2
t76,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t77,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t78,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t79,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t80,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t81,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t82,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t83,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t84,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t85,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t86,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t87,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t88,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t89,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t90,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t91,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t92,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t93,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t94,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t95,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t96,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t97,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t98,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t99,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t100,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t101,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t102,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t103,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t104,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t105,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t106,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t107,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t108,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t109,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t110,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t111,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t112,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t113,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t114,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t115,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t116,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t117,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t118,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t119,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t120,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t121,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t122,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t123,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t124,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t125,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-19.706400000000002
t126,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t127,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t128,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t129,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t130,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t131,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t132,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t133,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t134,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t135,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t136,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t137,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t138,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t139,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t140,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t141,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t142,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t143,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t144,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t145,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t146,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t147,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t148,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t149,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t150,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t151,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t152,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t153,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t154,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t155,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t156,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t157,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t158,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t159,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t160,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t161,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t162,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t163,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t164,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t165,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t166,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t167,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
t168,0.0,0.0,0.0,0.0,0.0,-23.58695652173913,-23.60869565217391
