Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combined_cycle_4,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
t1,0.0,0.0,2.9228725481013518e-8,7.85430723162709e-9,1.356788347851488e-8,6.724881574833007e-9,1.3439617718883516e-8,1.4279007225925478e-7,1.9999999987805015,15.999999998535516,0.0,0.0,0.0,0.0,0.0,1.787308744400582e-8,7.424290069978754e-9,3.183737608901234e-8,1.9999999953541985,7.649149486684597e-8,3.056989605891974e-8,2.9999999986633674,1.9999999985234598,0.0,0.0,0.0,0.0,0.0,2.8274878273794183e-8,4.207600315491162e-8,4.5250126972253936e-8,5.882365841628675e-9,1.8321292589216767e-8,1.6671322375495515e-7,31.999999998988773,1.9999999990719863,0.0,0.0,37.00275860917102,10.653781363367615,1.8587088486976964e-8,0.0,9.886508770381136e-9,163.2246957969921,1.4294295686190146e-8,1.1512442393363013e-8,0.0,1.4513911339577346e-8,8.895642492278336,1.2421281762725555e-8,1.0846905533450707e-8,0.0,1.3883856182152042e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,2.830707189707046e-8,7.583176750656695e-9,1.3339876118613386e-8,6.494764196642413e-9,1.3160465545730738e-8,1.3946545308937292e-7,1.999999998753399,15.999999998501831,0.0,0.0,0.0,0.0,0.0,1.7310390585726224e-8,7.19041321168907e-9,3.140593676927415e-8,1.9999999950241607,7.52524267071627e-8,2.9948935101424064e-8,2.999999998645175,1.999999998506893,0.0,0.0,0.0,0.0,0.0,2.8067607825305216e-8,4.16121114300907e-8,4.50766891019741e-8,5.795802738736582e-9,1.8094671270904088e-8,1.6511516399515044e-7,31.999999998971113,1.999999999060522,0.0,0.0,37.002758674162486,10.653781363283862,1.8341736902402444e-8,0.0,9.872555765291317e-9,163.22467751110023,1.3618081758379603e-8,1.1195454485909401e-8,0.0,1.4483674617296692e-8,8.895642488291587,1.1945167379651224e-8,1.0534316800176448e-8,0.0,1.3866415478765951e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,2.7045380159642967e-8,7.210474499946141e-9,1.3027492715374093e-8,6.179388208671635e-9,1.2743280541973658e-8,1.346929380648367e-7,1.9999999987167025,15.999999998457925,0.0,0.0,0.0,0.0,0.0,1.6495790855681405e-8,6.849721343093202e-9,3.0760831478464866e-8,1.9999999944093345,7.321119870559934e-8,2.8988922152978466e-8,2.9999999986215498,1.9999999984826267,0.0,0.0,0.0,0.0,0.0,2.7622311706593625e-8,4.0622423384770504e-8,4.469378607699301e-8,5.62054650803725e-9,1.7659663844003725e-8,1.6179350279305045e-7,31.99999999895455,1.9999999990453414,0.0,0.0,37.00275853556327,10.653781363026994,1.793836019704135e-8,0.0,9.854829789354784e-9,163.22468351299534,1.2706226299910956e-8,1.08296531124393e-8,0.0,1.4447674891747287e-8,8.895642493270607,1.120783896742516e-8,1.0156836202985684e-8,0.0,1.3844632469818161e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,2.531160845599408e-8,6.698189017761134e-9,1.2609229298502129e-8,5.748789463513583e-9,1.2105891768425032e-8,1.279053497797651e-7,1.9999999986657304,15.999999998394049,0.0,0.0,0.0,0.0,0.0,1.5349377436285788e-8,6.3669150607541316e-9,2.983322537606167e-8,1.9999999930586059,6.991961046821575e-8,2.7555056341913835e-8,2.9999999985879136,1.9999999984516443,0.0,0.0,0.0,0.0,0.0,2.6864885333579163e-8,3.8990299676052094e-8,4.402764636096341e-8,5.348874310987401e-9,1.6972553315074507e-8,1.5642552890898225e-7,31.99999999892647,1.999999999024271,0.0,0.0,37.00275866265001,10.653781362402746,1.7303846635660002e-8,0.0,9.832372375367183e-9,163.2246837613486,1.1414430776078807e-8,1.0259605020924813e-8,0.0,1.4404391831718805e-8,8.895642492672593,1.0068145089913736e-8,9.581943228311818e-9,0.0,1.3817780044491527e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,2.2783757257708705e-8,5.9439081594253854e-9,1.2045272116903861e-8,5.125240473372792e-9,1.1082079450480426e-8,1.1791683964294014e-7,1.9999999985876877,15.99999999829482,0.0,0.0,0.0,0.0,0.0,1.365036258882526e-8,5.644712849673957e-9,2.8495336212284055e-8,1.999999976965841,6.438802785409879e-8,2.535459806500808e-8,2.9999999985450456,1.9999999984041346,0.0,0.0,0.0,0.0,0.0,2.5594022960858222e-8,3.6387149686601596e-8,4.284417457649525e-8,4.95751886741165e-9,1.594088216240146e-8,1.4831950589979013e-7,31.99999999888325,1.999999998993217,0.0,0.0,37.00275860480743,10.653781361350484,1.6289697475608892e-8,0.0,9.803705409230368e-9,163.2246830555108,9.261423533167056e-9,9.42990218877126e-9,0.0,1.435167915041665e-8,2.7111755252732297e-8,7.979970261649897e-9,8.664905979961053e-9,0.0,1.3785823814517703e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,2.0584795659922843e-8,5.275747988333748e-9,1.1513086213481945e-8,4.569665271393763e-9,1.0131940502545875e-8,1.0876430005119075e-7,1.9999999985139982,15.999999998209573,0.0,0.0,0.0,0.0,0.0,1.2554001197855681e-8,5.170134259015777e-9,2.7498238142851424e-8,1.9999997545374193,6.073995349904516e-8,2.3804789475853024e-8,2.999999998514663,1.999999998358378,0.0,0.0,0.0,0.0,0.0,2.3114546366852593e-8,3.170473130702151e-8,4.0119080082467885e-8,4.376537053494679e-9,1.4346297753133036e-8,1.3582201254678343e-7,31.999999998823785,1.999999998938995,0.0,0.0,37.00275860672818,10.653781358875214,1.4855111235883742e-8,0.0,9.766447846793642e-9,2.6647810061410035e-8,7.70273397102344e-9,8.735169130708423e-9,0.0,1.4298748043054483e-8,2.0565575094422284e-8,6.955817654298331e-9,8.098659403936601e-9,0.0,1.3755853360650374e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,1.923005758931603e-8,4.875778482685562e-9,1.1140264741526079e-8,4.234884790467199e-9,9.619184957859124e-9,1.0323286502384524e-7,1.9999999984523762,15.999999998146894,0.0,0.0,0.0,0.0,0.0,1.1881233792238231e-8,4.869384236518051e-9,2.685317377393638e-8,1.9999997300416477,5.861652080019669e-8,2.280910773956277e-8,2.9999999984799146,1.9999999983064511,0.0,0.0,0.0,0.0,0.0,8.102980545009247e-9,1.4147760784746897e-8,4.330391942188364e-9,3.3087120086931815e-9,1.1359058993466216e-8,1.1229184488117505e-7,31.999999998625825,1.9999999987819712,0.0,0.0,6.990249409778441e-8,1.1831130957296722e-8,1.1861052161777055e-8,0.0,9.718854880794596e-9,2.2407051979705385e-8,6.944943860903218e-9,8.213662561303136e-9,0.0,1.425114582880893e-8,1.8244439664091326e-8,6.4210053680877005e-9,7.69316691325316e-9,0.0,1.3728943650292257e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,1.8335217098110673e-8,4.6107423395393926e-9,1.0874193757036913e-8,4.013803943475358e-9,9.332613633162345e-9,9.966833188322902e-8,1.9999999984010262,15.999999998085247,0.0,0.0,0.0,0.0,0.0,1.1448405982460838e-8,4.6682850334567475e-9,2.6435491531259706e-8,1.9999997176984274,5.736382558415901e-8,2.2155979740188952e-8,2.9999999984521124,1.9999999982719179,0.0,0.0,0.0,0.0,0.0,6.338186996059024e-9,1.1149165187269273e-8,3.206714822665762e-9,2.8230324043645286e-9,9.789277950330357e-9,9.887543560905915e-8,31.9999999984958,1.9999999986539907,0.0,0.0,3.5379297811698744e-8,8.883414648741335e-9,1.0224163835273991e-8,0.0,9.66990964979906e-9,2.0284826269184093e-8,6.509965650028015e-9,7.856149196464899e-9,0.0,1.4205441495732366e-8,1.685930525150662e-8,6.10886768243797e-9,7.395559598518955e-9,0.0,1.3703733043573179e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,1.7722540724380695e-8,4.4267093083177904e-9,1.0682996175733021e-8,3.861816673544327e-9,9.169358999293045e-9,9.731409360479611e-8,1.9999999983577759,15.999999998036808,0.0,0.0,0.0,0.0,0.0,1.1164381521978815e-8,4.5305119374145794e-9,2.617215142555951e-8,1.9999997096100934,5.6609391977803575e-8,2.171732219375754e-8,2.9999999984298893,1.9999999982339172,0.0,0.0,0.0,0.0,0.0,5.477103284988167e-9,9.669709707308404e-9,2.7210538393163617e-9,2.536545053339621e-9,8.816349444483095e-9,9.008031279582777e-8,31.999999998363865,1.9999999985585102,0.0,0.0,2.7606081784481545e-8,7.502933862612086e-9,9.237432994694575e-9,0.0,9.624142815257679e-9,1.8898461985623902e-8,6.243232334194039e-9,7.68666701386181e-9,0.0,1.4163300628644857e-8,1.5923135338534617e-8,5.919724444204659e-9,7.269693294158468e-9,0.0,1.3680783662246452e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
