,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Biomass Emissions,Biomass Capture,Synfuel Production Emissions,Conventional Fuels,Synfuels,Biofuels,Total
AnnualSum,2.9221651643461574e7,0.012460716995860294,-2.8221651662426602e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999999.9934956863
t1,5055.811681440882,1.4223401726964571e-6,-3222.1462870185046,0,0,0,0,0,0,0,1833.6653958447182
t2,5055.811665328958,1.4223805772050035e-6,-3222.1462955495426,0,0,0,0,0,0,0,1833.665371201796
t3,5055.81161239881,1.4219413237411538e-6,-3222.146278720387,0,0,0,0,0,0,0,1833.6653351003647
t4,5055.811694233134,1.4221580298254535e-6,-3222.1462892390164,0,0,0,0,0,0,0,1833.6654064162758
t5,4928.420890559351,1.422899492624851e-6,-3222.146287847631,0,0,0,0,0,0,0,1706.2746041346204
t6,2590.9468721509134,1.4221963919073335e-6,-3222.146287797291,0,0,0,0,0,0,0,-631.199414224181
t7,1.2231755327651438e-5,1.4218120534679127e-6,-3222.146287849696,0,0,0,0,0,0,0,-3222.1462741961286
t8,1.0777651817092585e-5,1.4218303661222916e-6,-3222.1462878474,0,0,0,0,0,0,0,-3222.1462756479177
t9,1.0081757391226983e-5,1.4224090897963585e-6,-3222.1462878453276,0,0,0,0,0,0,0,-3222.146276341161
t10,9.741744328299088e-6,1.4224076239616085e-6,-3222.146287844897,0,0,0,0,0,0,0,-3222.146276680745
t11,9.538745889198878e-6,1.421870528928644e-6,-3222.1462878447396,0,0,0,0,0,0,0,-3222.1462768841234
t12,9.422939289882172e-6,1.4218522929273332e-6,-3222.146287844687,0,0,0,0,0,0,0,-3222.1462769998952
t13,9.349463406154241e-6,1.422398410829557e-6,-3222.1462878446764,0,0,0,0,0,0,0,-3222.1462770728144
t14,9.317722298829643e-6,1.4223949915853934e-6,-3222.1462878446787,0,0,0,0,0,0,0,-3222.1462771045612
t15,9.331847051524677e-6,1.4218613375649713e-6,-3222.1462878446014,0,0,0,0,0,0,0,-3222.146277090893
t16,9.37098671787179e-6,1.4218710290674608e-6,-3222.14628784455,0,0,0,0,0,0,0,-3222.1462770516923
t17,9.460317124412226e-6,1.422407477112279e-6,-3222.1462878446014,0,0,0,0,0,0,0,-3222.146276961877
t18,9.841204787383885e-6,1.4223565521604923e-6,-3222.1462878477682,0,0,0,0,0,0,0,-3222.146276584207
t19,9.938196886756561e-6,1.4218011390194632e-6,-3222.146287848114,0,0,0,0,0,0,0,-3222.1462764881157
t20,1.0001929588178932e-5,1.4217937012416543e-6,-3222.146287848153,0,0,0,0,0,0,0,-3222.1462764244297
t21,1.0053161353154613e-5,1.4223364690331486e-6,-3222.1462878482457,0,0,0,0,0,0,0,-3222.1462763727477
