Segment,1,1,1,Total
Zone,1,2,3,0
AnnualSum,3.246578883798734e-6,3.284967962209906e-6,3.3046447055045787e-6,9.83619155151322e-6
t1,3.474916863108156e-10,3.735373033150952e-10,3.716663206209496e-10,1.0926953102468604e-9
t2,3.52029578868556e-10,3.749187210093201e-10,3.735697887395297e-10,1.1005180886174059e-9
t3,3.57550819225888e-10,3.7684971384397867e-10,3.7505659456804817e-10,1.1094571276379149e-9
t4,3.625940460418943e-10,3.782242494942569e-10,3.758627890970906e-10,1.1166810846332419e-9
t5,3.681076550829922e-10,3.796557112833544e-10,3.765769168554447e-10,1.1243402832217912e-9
t6,3.781936366768873e-10,3.8203694779905754e-10,3.775360550592367e-10,1.1377666395351816e-9
t7,3.843366110366401e-10,3.8429450412574437e-10,3.777658677487161e-10,1.1463969829111005e-9
t8,3.891475443389862e-10,3.859510817683136e-10,3.794925950101484e-10,1.1545912211174483e-9
t9,3.9219586099851274e-10,3.869089625922894e-10,3.804389983451312e-10,1.1595438219359333e-9
t10,3.9315590004881974e-10,3.8758485200629805e-10,3.8065018616468247e-10,1.1613909382198003e-9
t11,3.935630567029362e-10,3.879169410356798e-10,3.810343143696264e-10,1.1625143121082426e-9
t12,3.928429990519473e-10,3.876562376959781e-10,3.807842471251609e-10,1.1612834838730864e-9
t13,3.9230154904138014e-10,3.8777393450706544e-10,3.81037784955203e-10,1.1611132685036487e-9
t14,3.915057081331785e-10,3.8737254745858426e-10,3.802097467117575e-10,1.1590880023035203e-9
t15,3.893675057698017e-10,3.869286714761694e-10,3.8074671562593657e-10,1.1570428928719076e-9
t16,3.874791794045232e-10,3.8535256208201655e-10,3.7902787816946993e-10,1.1518596196560097e-9
t17,3.8410059670349065e-10,3.814498883502173e-10,3.76707592764299e-10,1.142258077818007e-9
t18,3.768145384203597e-10,3.7694986936611714e-10,3.7503228731173214e-10,1.128796695098209e-9
t19,3.579234375092841e-10,3.6893224962471207e-10,3.7429712434239747e-10,1.1011528114763937e-9
t20,3.5351248822906207e-10,3.695941321209358e-10,3.741399027431146e-10,1.0972465230931126e-9
t21,3.5205106912868946e-10,3.6681595256482355e-10,3.740408221883136e-10,1.0929078438818267e-9
t22,3.4981583404848214e-10,3.6786483624870254e-10,3.7351455861951097e-10,1.0911952289166957e-9
t23,3.5163468193320455e-10,3.7175295922059707e-10,3.732880745052315e-10,1.096675715659033e-9
t24,3.560774335989784e-10,3.744353879046395e-10,3.742728883837011e-10,1.104785709887319e-9
t25,3.601262845028632e-10,3.7600792553856643e-10,3.7504504648860645e-10,1.111179256530036e-9
t26,3.641811389302332e-10,3.7716395179669935e-10,3.75830595481371e-10,1.1171756862083034e-9
t27,3.6794913501983784e-10,3.776691818815455e-10,3.7642997777952337e-10,1.1220482946809068e-9
t28,3.7032257384022176e-10,3.78483297894664e-10,3.767978125304597e-10,1.1256036842653454e-9
t29,3.7265874508335574e-10,3.7997427589779733e-10,3.7793910252553633e-10,1.1305721235066894e-9
t30,3.7984561876483883e-10,3.8222486984242316e-10,3.7852038604621774e-10,1.1405908746534797e-9
t31,3.87343852077633e-10,3.84688199287566e-10,3.7861943527381177e-10,1.1506514866390109e-9
t32,3.9039288647990285e-10,3.8605763692079157e-10,3.7944352617083406e-10,1.1558940495715284e-9
t33,3.9173107879993423e-10,3.871101656612484e-10,3.8013558134326335e-10,1.158976825804446e-9
t34,3.9235812436758583e-10,3.8797972836000284e-10,3.8037885066875255e-10,1.1607167033963412e-9
t35,3.9295705660892406e-10,3.88491614646136e-10,3.8039100857839025e-10,1.1618396798334503e-9
t36,3.9316538947433513e-10,3.889482781238573e-10,3.807794001296539e-10,1.1628930677278465e-9
t37,3.9216019977057704e-10,3.88908885635208e-10,3.803025564965842e-10,1.1613716419023694e-9
t38,3.9189204367579524e-10,3.891981802299247e-10,3.800093355415736e-10,1.1610995594472936e-9
t39,3.907704771323857e-10,3.888499654391997e-10,3.802053985633033e-10,1.1598258411348887e-9
t40,3.894089794521019e-10,3.879971322506999e-10,3.7918229802179e-10,1.1565884097245919e-9
t41,3.8645341503409975e-10,3.84455483325868e-10,3.768563892474771e-10,1.147765287607445e-9
t42,3.760691879028701e-10,3.769914580058474e-10,3.753717588842835e-10,1.128432404793001e-9
t43,3.589148027592183e-10,3.6785709981716e-10,3.750315628590152e-10,1.1018034654353934e-9
t44,3.5352204404777697e-10,3.675518949395186e-10,3.750637547328824e-10,1.096137693720178e-9
t45,3.5237730660156194e-10,3.6612114505994863e-10,3.7502321033673793e-10,1.0935216619982484e-9
t46,3.509888550985562e-10,3.6415448080791033e-10,3.7452113076991876e-10,1.0896644666763854e-9
t47,3.5040618597172794e-10,3.6629401819526334e-10,3.7383335695535157e-10,1.0905335611223427e-9
t48,3.555417379795797e-10,3.7185200522068967e-10,3.74179723353697e-10,1.1015734665539663e-9
t49,3.5897445635414796e-10,3.73075349930899e-10,3.742722332151195e-10,1.1063220395001666e-9
t50,3.6352147472251265e-10,3.748244660815655e-10,3.7489044557059503e-10,1.1132363863746734e-9
t51,3.670003089801648e-10,3.7645761670971707e-10,3.751641902974183e-10,1.1186221159873e-9
t52,3.693854663832021e-10,3.771145974176793e-10,3.752044171519547e-10,1.121704480952836e-9
t53,3.712939590487842e-10,3.793052546599961e-10,3.7577813427090076e-10,1.1263773479796812e-9
t54,3.77570941599564e-10,3.8148916054408474e-10,3.7548320350351595e-10,1.1345433056471648e-9
t55,3.8424918596959566e-10,3.8415432693319016e-10,3.7596791171531967e-10,1.1443714246181055e-9
