Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combined_cycle_4,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6674408545840767e6,0.0,3.215675915994116e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9976720655131715e6,0.0,1.5231704390459445e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.771897090495318e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.847258207932157e7,0.04421784033031954,0.03438531081086522,0.012138949596381645,8.664337183683312e7,9.51321276343181e7,0.016302143047218567,0.02631481294766258,9.497685222156815e7,2.2869962650055844e7,1.4598052212078398e8,7.507943086093171e7,2.3579138923975074e8,2.1007337351188335e8,0.07469139781576507,3.507333817173876e7,0.07677530509803598,0.013990277901868206,0.004425059205626616,0.0076397831464718145,1.050924002530162e8,0.02117992055007976,4.432674936706416e7,2.33127278330343e7,8.599939813045163e6,3.1823326304153673e7,4.068197918474852e7,2.6623056510581646e7,4.3594759192988455e7,2.7630024765900645e7,3.9650640355740584e7,730987.0583689604,8.83525746590347e6,4.238745846236832e6,3.2021021954529017e7,0.014997599085823184,2.5338700486832693e7,1.486037801053458e7,3.4277922550384533e6,6.236377434854604e6,2.1694563248234276e7,8.743821559361361e6,0.033976901623077524,784830.741297881,6.58057627773908e6,1.5620974629930577e9
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2120184439700097e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2516519493365195e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8876653484767303e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410884326323867e-7,1.1546944733709097e-7,1.1190422810614109e-7,1.1090742191299796e-7,1.1334486771374941e-7,1.088701537810266e-7,1.156331563834101e-7,1.097942003980279e-7,2.1812115846842062e-7,2.0571860659401864e-7,2.0287825464038178e-7,2.024171408265829e-7,2.0256285961941278e-7,1.9957951735705137e-7,2.0941297407262027e-7,2.0361267161206342e-7,1.8824903236236423e-7,1.6853664419613779e-7,1.8338687368668616e-7,1.6657844594109752e-7,2.16288185583835e-7,1.975358827621676e-7,4.300044140796849e-6
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2059703042032197e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.251449586765375e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8473110685590655e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1196243576705456e-7,1.1489828466437757e-7,1.1043812264688313e-7,1.0962685337290168e-7,1.1192605597898364e-7,1.0596704669296741e-7,1.1437805369496346e-7,1.0852818377315998e-7,2.170187372030341e-7,2.0468360162340105e-7,2.0227707864250988e-7,1.9648723537102342e-7,2.0092707296687456e-7,1.969310687854886e-7,2.094056981150061e-7,2.0493916963459924e-7,1.9086564861936495e-7,1.713015080895275e-7,1.8587707018014044e-7,1.6975670390092606e-7,2.1611595002468675e-7,1.9953404262196273e-7,4.284318718322603e-6
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2016456568962894e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1723758436564822e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7623460735194385e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.217102964819718e-12,0.0,0.0,0.0,0.0,1.126463757827878e-7,1.1502470442792401e-7,1.1194060789421201e-7,1.108492142520845e-7,1.1099473340436816e-7,1.0689836926758289e-7,1.1489828466437757e-7,1.09044776763767e-7,2.1624691726174206e-7,2.0370862330310047e-7,2.0287643565097824e-7,1.9607250578701496e-7,1.9977278042777972e-7,1.9556318875402212e-7,2.0896004571113735e-7,2.0636070985347033e-7,1.9468097889330238e-7,1.748485374264419e-7,1.8924220057670027e-7,1.7385511166760812e-7,2.1558628304774174e-7,2.0254083210602403e-7,4.286256191434353e-6
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.194806256738957e-7,0.0,1.8022365821934727e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2442736735683866e-7,0.0,1.8875998364364932e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7980892152991146e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1531846527977905e-7,2.2280630673776614e-7,2.181204763473943e-7,0.0,2.4545261112507433e-7,1.2882048030221501e-8,2.1671760919161898e-7,1.7440707779394825e-7,1.2086400814719285e-7,7.412680866433012e-8,9.059377448368403e-8,2.2407220967579633e-7,1.0856176564984956e-7,2.2100766727817245e-7,1.122534740716219e-7,1.1511019692989066e-7,1.1236988939344883e-7,1.0894291335716844e-7,1.1082011042162776e-7,1.0646181181073189e-7,1.1682277545332909e-7,1.0868097888305783e-7,2.1425796603580238e-7,2.0316110749263316e-7,2.05148353416007e-7,2.002707333303988e-7,2.001556348180297e-7,1.960070221684873e-7,2.0714287529699504e-7,2.066472006845288e-7,1.9736307876883075e-7,1.7929778550751507e-7,1.9224717107135803e-7,1.7678799578772065e-7,2.1465848476509564e-7,2.0528750610537827e-7,6.827526450398128e-6
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.977788765041623e-7,0.0,3.7921279272268293e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.994962303797365e-6,0.0,1.5666768149458221e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1200711114156547e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085249434458092e-6,4.004746281393393e-8,1.0093764763658051e-7,5.786710380785627e-8,1.386497388011776e-7,1.2127059534350337e-7,8.151362009455391e-8,1.0478311489856567e-7,1.338885340373963e-7,3.8204780139494687e-7,3.0864612199366093e-7,3.3787000575102866e-7,3.4796539694070816e-7,2.482847776263952e-7,2.64684072708715e-7,3.3382320907549e-7,1.2619100630391527e-6,9.73003508867883e-7,4.3605492879511483e-7,7.325618616368748e-7,1.3000244507566094e-6,1.1926732873929045e-6,1.7368874978274107e-6,1.118532964028418e-7,1.1951215128647164e-7,1.1419069778639823e-7,1.0985968401655555e-7,1.1007068678736687e-7,1.0727671906352043e-7,1.1972042557317764e-7,1.085645635612309e-7,3.9101848869904643e-7,3.7103200156707317e-7,3.7108293327037245e-7,3.5762786865234375e-7,3.589003631519499e-7,3.6776327760890126e-7,3.779550752369687e-7,2.298848812642973e-6,2.224517629656475e-6,2.1988125809002668e-6,2.1856831153854728e-6,1.5183920716396923e-6,1.2712564512185054e-6,2.2950935090193525e-6,3.466031453793711e-5
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.4641892700402,0.0,813.606169705174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.3935935927068,0.0,470.6141781693797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2189263998152455e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7769.284974002254,8.142580574995459e-8,8.196075853060724e-8,7.752784536337014e-8,8.29240889288485e-8,8.427014108747244e-8,7.867929014625276e-8,8.402795831389384e-8,8.137430995702744e-8,6867.219198140328,49379.45479253457,27082.14622837182,50166.77159545128,51335.84506803885,1.5756828668173146e-5,9310.340130014492,1.7169352541213905e-5,4.203993025304498e-6,1.1874866289417156e-6,2.56619570380296e-6,30296.132084828743,6.205714530308723e-6,22855.287066722645,9.783616405911744e-8,1.1641668606898747e-7,1.1158772394992411e-7,9.521318133920431e-8,9.64500941336155e-8,9.393988875672221e-8,1.2164218787802383e-7,9.259383659809828e-8,387.950161681931,4784.718638066275,1664.711324970321,20686.038422043213,3.875876971238491e-6,13535.906746655579,5042.0872408712075,1065.746933279532,2465.3503240494715,6205.687019405507,4213.40596221147,1.1102542168983189e-5,279.3354243785204,3630.112206876017,321794.60973699903
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.6496070182593,0.0,1069.7768390307144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0002387050039,0.0,599.6737500938453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68273810838582e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9639.43300960456,3.390302781037967e-7,3.5071308776964084e-7,3.198093084592716e-7,3.363529685884714e-7,5.651963874697685e-7,3.241101587278713e-7,3.5965920899566305e-7,1.2171221897006035e-7,9240.19553506815,85410.59283797747,39192.69152772996,152049.23604472115,144908.06149641844,2.1846046166259086e-5,15608.152248824079,2.5486277768058222e-5,5.38049566888572e-6,1.2903261092229009e-6,2.9900418503609535e-6,74862.5475151288,8.057116100665758e-6,32592.284613794007,5.03176124766469e-7,4.742232704302296e-7,4.950061338604428e-7,4.6698551159352064e-7,4.908288246951997e-7,4.7172943595796824e-7,4.979551704309415e-7,4.630965122487396e-7,247.3361275607325,2702.250738383449,881.1571624713384,9357.757534764069,2.218611694867876e-6,6573.733357135526,2236.5412167210457,588.2463603102865,2214.86317422868,5351.395730994816,4168.822679172552,7.090064460631736e-6,187.8107816993988,3510.5884131701764,604088.7986221333
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.5151472109691,0.0,1212.7885581101928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.39303540821535,0.0,634.7918747737132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0026210475189146e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12035.689007384828,6.69818923109978e-7,7.105549262147633e-7,6.053222212129043e-7,6.990157999098301e-7,7.175840437412262e-7,6.09686487194295e-7,7.133706392720082e-7,7.180497050285339e-7,10553.146198020338,102489.53618524145,44398.7337532176,235094.03559473128,216783.09711416287,2.341124802329147e-5,17977.778014755495,3.1642980228403024e-5,5.767798531069867e-6,1.4526053899663145e-6,3.159773141333493e-6,141248.61446303478,8.59265350896777e-6,38188.31942931947,1.114503902499564e-6,1.0265048331348225e-6,1.06137918010063e-6,1.1183055903529748e-6,1.1208103387616575e-6,1.0749936336651444e-6,1.0684075277822558e-6,1.1201937013538554e-6,235.9996573979967,2060.151469611605,775.6218461245936,8674.884655833192,1.8565774131315818e-6,5574.75120645545,1453.8416931018544,439.01812043758923,2212.5220733178294,6770.771102646005,4771.821325284232,7.732350705364785e-6,203.30530162537238,3141.1277166845784,857721.2546426586
