Constraint,CapRes_1,CapRes_2,CapRes_3
t1,3.03595863574919e-12,1.876414036404422e-12,7.166065015007466e-12
t2,2.8596995031809414e-12,1.846339011903975e-12,7.063294689999409e-12
t3,2.7319302541005574e-12,1.8293581508973612e-12,7.0594984770512196e-12
t4,2.6308175401234264e-12,1.840558037208773e-12,7.038068579392042e-12
t5,2.6093868264332247e-12,2.355852671474227e-12,7.372144426765854e-12
t6,3.504607371625594e-12,1.2084595670619922e-12,4.919190695579365e-12
t7,8.103959216224822e-12,8.875271038674624e-13,4.093244570345468e-12
t8,14.865646050835041,7.113666127723165e-13,2.819094790710506e-12
t9,35.861182892520574,7.047409772205271e-13,2.428552182773991e-12
t10,35.861182892604226,7.792732355275798e-13,2.479509284538858e-12
t11,35.86118289264035,8.559714685948772e-13,2.8955053637040577e-12
t12,35.86118289265266,9.235127846426786e-13,3.5028785670453366e-12
t13,35.861182892653794,9.8589058939553e-13,4.861523829180395e-12
t14,35.86118289264658,1.0575725201566204e-12,5.496208317261416e-12
t15,35.86118289263718,1.2467675983069028e-12,5.408948882885385e-12
t16,35.86118289262,1.4485757810733542e-12,5.628069042075116e-12
t17,35.86118289259281,1.5415128272307086e-12,6.782213827982698e-12
t18,1.4772599753650712e-10,2.610600992348703e-12,1.6023961285438144e-11
t19,4.418819878224054e-12,1.7536874340644066e-12,8.836751717209739e-12
t20,3.4308348878183525e-12,1.6550837006314478e-12,7.731640097649478e-12
t21,3.323748466731713e-12,1.6505395516655743e-12,7.459962926294365e-12
t22,3.1816574275815686e-12,1.6127924072026092e-12,7.161334371593097e-12
t23,2.886522113377432e-12,1.5565410279664213e-12,6.521933454122731e-12
t24,2.622992543873909e-12,1.5048265808415228e-12,6.1936517432724534e-12
t25,2.449696656004646e-12,1.4737694967181811e-12,6.0717694043848805e-12
t26,2.3261313954690264e-12,1.458309980647374e-12,5.934535110405714e-12
t27,2.2547316082679357e-12,1.4444623600719517e-12,5.8260320691325465e-12
t28,2.2160087126298076e-12,1.4494121579341949e-12,5.887101547325167e-12
t29,2.2448556812221985e-12,1.7264053200915432e-12,5.191880318355459e-12
t30,2.993178378830522e-12,1.189188567822289e-12,4.271230613379629e-12
t31,2.645801250246531e-12,1.056368819596322e-12,4.1450107099461275e-12
