CO2_Resource,Zone,etaPCO2_MWh_per_tonne,etaFuel_MMBtu_per_tonne,Fuel,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_Cost_per_tonne,Power_Production_MWh_per_tonne,Fuel_CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Ramp_Up_Percentage,Ramp_Down_Percentage,CO2_Capture_Min_Output,Ref_capacity_tonne_per_hr,Ref_CAPEX_per_yr,Ref_Fixed_OM_per_yr
MIS_INKY_Solvent_DAC,1,0,10.397,east_north_central_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_WMAC_Solvent_DAC,2,0,10.397,middle_atlantic_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_SMAC_Solvent_DAC,3,0,10.397,south_atlantic_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_West_Solvent_DAC,4,0,10.397,east_north_central_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_AP_Solvent_DAC,5,0,10.397,south_atlantic_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_COMD_Solvent_DAC,6,0,10.397,east_north_central_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_ATSI_Solvent_DAC,7,0,10.397,east_north_central_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_Dom_Solvent_DAC,8,0,10.397,south_atlantic_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_PENE_Solvent_DAC,9,0,10.397,middle_atlantic_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
S_C_KY_Solvent_DAC,10,0,10.397,east_south_central_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
PJM_EMAC_Solvent_DAC,11,0,10.397,middle_atlantic_reference_naturalgas,869000,384000,58.41,0.125,0.99,0,0,1,1,0,103.793,90200000,39800000
MIS_INKY_Sorbent_DAC,1,0,22.643,east_north_central_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_WMAC_Sorbent_DAC,2,0,22.643,middle_atlantic_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_SMAC_Sorbent_DAC,3,0,22.643,south_atlantic_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_West_Sorbent_DAC,4,0,22.643,east_north_central_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_AP_Sorbent_DAC,5,0,22.643,south_atlantic_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_COMD_Sorbent_DAC,6,0,22.643,east_north_central_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_ATSI_Sorbent_DAC,7,0,22.643,east_north_central_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_Dom_Sorbent_DAC,8,0,22.643,south_atlantic_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_PENE_Sorbent_DAC,9,0,22.643,middle_atlantic_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
S_C_KY_Sorbent_DAC,10,0,22.643,east_south_central_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
PJM_EMAC_Sorbent_DAC,11,0,22.643,middle_atlantic_reference_naturalgas,2140000,1180000,61,0,0.9,0,0,1,1,0,13.002,27800000,15300000
