Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1
50000000,1,1,0,1,8760,8760,1,4.86
,,,,,,,2,3.66
,,,,,,,3,5.25
,,,,,,,4,12
,,,,,,,5,24.72
,,,,,,,6,40.23
,,,,,,,7,50.37
,,,,,,,8,57.72
,,,,,,,9,60.72
,,,,,,,10,64.29
,,,,,,,11,76.23
,,,,,,,12,81.18
,,,,,,,13,83.58
,,,,,,,14,81.99
,,,,,,,15,81.18
,,,,,,,16,77.82
,,,,,,,17,73.83
,,,,,,,18,65.28
,,,,,,,19,54.36
,,,,,,,20,41.43
,,,,,,,21,31.5
,,,,,,,22,21.96
,,,,,,,23,13.59
,,,,,,,24,8.04
,,,,,,,25,7.47
,,,,,,,26,5.4
,,,,,,,27,4.98
,,,,,,,28,7.38
,,,,,,,29,13.29
,,,,,,,30,21.81
,,,,,,,31,32.94
,,,,,,,32,45
,,,,,,,33,56.85
,,,,,,,34,63.06
,,,,,,,35,65.04
,,,,,,,36,67.86
,,,,,,,37,72.21
,,,,,,,38,75.45
,,,,,,,39,78.96
,,,,,,,40,80.94
,,,,,,,41,77.01
,,,,,,,42,69.72
,,,,,,,43,57.87
,,,,,,,44,44.79
,,,,,,,45,34.2
,,,,,,,46,26.49
,,,,,,,47,18.6
,,,,,,,48,11.85
,,,,,,,49,5.07
,,,,,,,50,3.72
,,,,,,,51,5.22
,,,,,,,52,12.15
,,,,,,,53,26.13
,,,,,,,54,42
,,,,,,,55,51.96
,,,,,,,56,59.55
,,,,,,,57,62.73
,,,,,,,58,60.03
,,,,,,,59,59.7
,,,,,,,60,61.89
,,,,,,,61,65.79
,,,,,,,62,68.31
,,,,,,,63,73.86
,,,,,,,64,78.42
,,,,,,,65,76.23
,,,,,,,66,71.67
,,,,,,,67,59.04
,,,,,,,68,43.35
,,,,,,,69,31.38
,,,,,,,70,23.61
,,,,,,,71,14.01
,,,,,,,72,7.92
,,,,,,,73,5.28
,,,,,,,74,3.87
,,,,,,,75,5.46
,,,,,,,76,12.69
,,,,,,,77,27.3
,,,,,,,78,43.86
,,,,,,,79,54.24
,,,,,,,80,62.16
,,,,,,,81,65.52
,,,,,,,82,62.7
,,,,,,,83,62.34
,,,,,,,84,64.62
,,,,,,,85,68.67
,,,,,,,86,71.31
,,,,,,,87,77.13
,,,,,,,88,81.9
,,,,,,,89,79.59
,,,,,,,90,74.85
,,,,,,,91,61.62
,,,,,,,92,45.27
,,,,,,,93,32.76
,,,,,,,94,24.66
,,,,,,,95,14.61
,,,,,,,96,8.28
,,,,,,,97,5.58
,,,,,,,98,4.08
,,,,,,,99,5.76
,,,,,,,100,13.38
,,,,,,,101,28.83
,,,,,,,102,46.32
,,,,,,,103,57.3
,,,,,,,104,65.67
,,,,,,,105,69.21
,,,,,,,106,66.21
,,,,,,,107,65.85
,,,,,,,108,68.28
,,,,,,,109,72.54
,,,,,,,110,75.33
,,,,,,,111,81.48
,,,,,,,112,86.49
,,,,,,,113,84.09
,,,,,,,114,79.05
,,,,,,,115,65.1
,,,,,,,116,47.82
,,,,,,,117,34.59
,,,,,,,118,26.04
,,,,,,,119,15.45
,,,,,,,120,8.73
,,,,,,,121,8.58
,,,,,,,122,6.06
,,,,,,,123,5.88
,,,,,,,124,8.22
,,,,,,,125,15.27
,,,,,,,126,25.08
,,,,,,,127,38.07
,,,,,,,128,51.72
,,,,,,,129,65.55
,,,,,,,130,72.6
,,,,,,,131,74.94
,,,,,,,132,78.39
,,,,,,,133,83.28
,,,,,,,134,86.94
,,,,,,,135,91.2
,,,,,,,136,93.57
,,,,,,,137,88.92
,,,,,,,138,80.43
,,,,,,,139,66.84
,,,,,,,140,51.96
,,,,,,,141,39.66
,,,,,,,142,30.96
,,,,,,,143,21.6
,,,,,,,144,13.98
,,,,,,,145,8.64
,,,,,,,146,11.13
,,,,,,,147,4.08
,,,,,,,148,6.36
,,,,,,,149,11.88
,,,,,,,150,19.5
,,,,,,,151,29.79
,,,,,,,152,42.18
,,,,,,,153,55.11
,,,,,,,154,70.92
,,,,,,,155,81.03
,,,,,,,156,83.1
,,,,,,,157,82.74
,,,,,,,158,80.25
,,,,,,,159,78.54
,,,,,,,160,75.12
,,,,,,,161,71.49
,,,,,,,162,64.08
,,,,,,,163,55.11
,,,,,,,164,44.07
,,,,,,,165,35.13
,,,,,,,166,27.3
,,,,,,,167,19.68
,,,,,,,168,13.41
,,,,,,,169,4.86
,,,,,,,170,3.66
,,,,,,,171,5.25
,,,,,,,172,12
,,,,,,,173,24.72
,,,,,,,174,40.23
,,,,,,,175,50.37
,,,,,,,176,57.72
,,,,,,,177,60.72
,,,,,,,178,64.29
,,,,,,,179,76.23
,,,,,,,180,81.18
,,,,,,,181,83.58
,,,,,,,182,81.99
,,,,,,,183,81.18
,,,,,,,184,77.82
,,,,,,,185,73.83
,,,,,,,186,65.28
,,,,,,,187,54.36
,,,,,,,188,41.43
,,,,,,,189,31.5
,,,,,,,190,21.96
,,,,,,,191,13.59
,,,,,,,192,8.04
,,,,,,,193,7.47
