,Network_zones,CO_2_Cap_Zone_1,CO_2_Cap_Zone_2,CO_2_Cap_Zone_3,CO_2_Max_Mtons_1,CO_2_Max_Mtons_2,CO_2_Max_Mtons_3,CO_2_Max_tons_ton_1,CO_2_Max_tons_ton_2,CO_2_Max_tons_ton_3,CO_2_Price_1,CO_2_Price_2,CO_2_Price_3
MA,1,1,0,0,0.025,0,0,1,0,0,0,0,0
CT,2,0,1,0,0,0.025,0,0,1,0,1000,1000,0
ME,3,0,0,1,0,0,0.025,0,0,1,0,0,1000
