Time_Index,Nuclear_1,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear_2,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear_3,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear_4,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear_5,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear_6,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT_1,CCGT_2,CCGT_3,CCGT_4,CCGT_5,CCGT_6,OCGT_F_1,OCGT_F_2,OCGT_F_3,OCGT_F_4,OCGT_F_5,OCGT_F_6,CCGT_CCS_1,CCGT_CCS_2,CCGT_CCS_3,CCGT_CCS_4,CCGT_CCS_5,CCGT_CCS_6,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat_1,Storage_bat_2,Storage_bat_3,Storage_bat_4,Storage_bat_5,Storage_bat_6,PV_Distr_2,PV_Distr_3,PV_Distr_4,PV_Distr_5,PV_Distr_6
1,1,0.4020598703154548,0.6659641077049916,0.0,0.6750300853443721,0.6061462117972165,0.474193359389882,1,0.4352758683522669,0.3548214285714288,0.0,0.6176251734965481,0.3628657858210391,0.2363488621069657,1,0.36684161127523385,0.4160527980877391,0.0,0.5055648710969285,0.3672925815470219,0.29046835087255424,1,0.0,0.6378542222485809,0.6128119519910324,0.37187689351567743,1,0.5033929959178793,0.4428800766597703,0.0,0.5832052486176107,0.3101954877611991,0.1820102503094264,1,0.6818596601997852,0.4148415954682314,0.0,0.553188569592778,0.4874154128221681,0.2352040327116085,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8416266276647363,0.29975043063311696,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
2,1,0.4020598703154548,0.6659641077049916,0.0,0.6679505301142755,0.5815725682046927,0.4509157453733028,1,0.4352758683522669,0.3548214285714288,0.0,0.6013705522456407,0.3483197522959781,0.2257939555254225,1,0.36684161127523385,0.4160527980877391,0.0,0.4512166401213873,0.3175191404249428,0.2839731086338869,1,0.0,0.5868737957750151,0.5946774211196286,0.4113728303441552,1,0.5033929959178793,0.4428800766597703,0.0,0.567395506324452,0.3078267954312649,0.18202439792835107,1,0.6818596601997852,0.4148415954682314,0.0,0.5128878693100439,0.4480327978741662,0.21593055169266107,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8130224158975542,0.2422832670658174,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
3,1,0.4020598703154548,0.6659641077049916,0.0,0.6503478053349544,0.5616170801301157,0.4350903061823806,1,0.4352758683522669,0.3548214285714288,0.0,0.5837523821800936,0.33983508374332505,0.2134945789655736,1,0.36684161127523385,0.4160527980877391,0.0,0.455803298203113,0.33241968371342484,0.2953489379623572,1,0.0,0.4883785144437925,0.5241980815654099,0.32647028620470586,1,0.5033929959178793,0.4428800766597703,0.0,0.5494952423562697,0.3017353298970257,0.19129555074375712,1,0.6818596601997852,0.4148415954682314,0.0,0.4635167032540817,0.4056298531524871,0.18931924872650974,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7416719820495734,0.18106537552201546,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
4,1,0.4020598703154548,0.6659641077049916,0.0,0.6322606673329223,0.54343234433667,0.4248170492911951,1,0.4352758683522669,0.3548214285714288,0.0,0.5772102597048137,0.33315385187858204,0.20012920390596128,1,0.36684161127523385,0.4160527980877391,0.0,0.4913145840461521,0.37948040462674,0.3425345331041627,1,0.0,0.4300860465071019,0.4333706401454087,0.2698190780439337,1,0.5033929959178793,0.4428800766597703,0.0,0.5341012035224019,0.29389443078171584,0.1886136458100054,1,0.6818596601997852,0.4148415954682314,0.0,0.4201261173676771,0.3659275627620801,0.17708400620632686,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6166005181859877,0.1391002101765378,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
5,1,0.4020598703154548,0.6659641077049916,0.0,0.6224516311052358,0.5253196602893361,0.4192068360431836,1,0.4352758683522669,0.3548214285714288,0.0,0.5703805531415441,0.3238764673849057,0.19168905663495195,1,0.36684161127523385,0.4160527980877391,0.0,0.5314876024305641,0.4054665461078204,0.35752475371610376,1,0.0,0.3832511502430765,0.3901734964397737,0.20129234052377065,1,0.5033929959178793,0.4428800766597703,0.0,0.5105332499812991,0.2928458507987833,0.18278948396577246,1,0.6818596601997852,0.4148415954682314,0.0,0.3817742530180993,0.33279392698466004,0.1845797125846924,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5461153228663825,0.11337057194218722,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
6,1,0.4020598703154548,0.6659641077049916,0.0,0.6145305253659836,0.510697034533753,0.4020311329228169,1,0.4352758683522669,0.3548214285714288,0.0,0.5648366760402773,0.3160769516721187,0.1739953929905978,1,0.36684161127523385,0.4160527980877391,0.0,0.5100781625293109,0.3962224747713804,0.3533697966616147,1,0.0,0.3654302551538536,0.4030495684790765,0.194881414465997,1,0.5033929959178793,0.4428800766597703,0.0,0.4844168292195849,0.2986037361670608,0.18751320438380195,1,0.6818596601997852,0.4148415954682314,0.0,0.32409482112903626,0.2701706073493524,0.17054099332875866,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4935094141474052,0.09848111854615993,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
7,1,0.4020598703154548,0.6659641077049916,0.0,0.613625220850214,0.5049801464434249,0.38634018238775203,1,0.4352758683522669,0.3548214285714288,0.0,0.5540344997705583,0.29539423655544284,0.15318051517357278,1,0.36684161127523385,0.4160527980877391,0.0,0.4780006374231731,0.3838611095436139,0.32569941432260524,1,0.0,0.3380935063009687,0.3483316117490248,0.1153103489468812,1,0.5033929959178793,0.4428800766597703,0.0,0.4805010251174263,0.30601032860177496,0.1819150297402932,1,0.6818596601997852,0.4148415954682314,0.0,0.2643035526388921,0.21062697914436432,0.15205852527870078,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4363648046231533,0.08970192349411167,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0
8,1,0.4020598703154548,0.6659641077049916,0.2130847956859356,0.6082944513248411,0.5077354174316266,0.3758190111992137,1,0.4352758683522669,0.3548214285714288,0.1371180268486726,0.5454124740933637,0.2827300441106166,0.1337744464270789,1,0.36684161127523385,0.4160527980877391,0.10611150441576958,0.4294293262779221,0.3241621701075691,0.2838218032977305,1,0.06614313493223223,0.30568476146471124,0.2861421980968768,0.06363538248902458,1,0.5033929959178793,0.4428800766597703,0.05012586209822213,0.4940446797550222,0.312973659332197,0.1684854095956711,1,0.6818596601997852,0.4148415954682314,0.014762194582685703,0.2149520098556881,0.17793352148023012,0.1321367097388923,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.395015752507211,0.08902716016836051,1,1,1,1,1,1,1,1,1,1,1,0.047155119553405137,0.01,0.01,0.01,0.0
9,1,0.4020598703154548,0.6659641077049916,0.6934634668984867,0.5669450056253804,0.4974687112116574,0.3707945138867416,1,0.4352758683522669,0.3548214285714288,0.5680009681544449,0.4708771993663762,0.25105393309617785,0.12221445096248153,1,0.36684161127523385,0.4160527980877391,0.4493419627735472,0.3200211704585989,0.2251550701358468,0.21394393073896734,1,0.2452711815061133,0.2469521500228643,0.22065534594884206,0.05981930513953209,1,0.5033929959178793,0.4428800766597703,0.3049934117754458,0.44870709426745625,0.2649010592395566,0.14094377530171318,1,0.6818596601997852,0.4148415954682314,0.14466369319714778,0.18112570515571147,0.13907028874458746,0.09577051155155683,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3807910180290013,0.07694859001427404,1,1,1,1,1,1,1,1,1,1,1,0.12952678358599526,0.024069707102859245,0.02288520994130495,0.029715585578054062,0.0
10,1,0.4020598703154548,0.6659641077049916,0.7561609853366658,0.5727819635970834,0.5228718734456651,0.4069523956418534,1,0.4352758683522669,0.3548214285714288,0.7185951916665795,0.3756717025185429,0.21544638563010968,0.11462839545048738,1,0.36684161127523385,0.4160527980877391,0.5908569179398291,0.16232454948336916,0.10938142086032186,0.10560231541106427,1,0.4086676572154926,0.21611420088798086,0.17412778838384352,0.01,1,0.5033929959178793,0.4428800766597703,0.4779632371710138,0.30209856506268984,0.13087892467215678,0.06492645209234751,1,0.6818596601997852,0.4148415954682314,0.2888312040355437,0.0953948466558435,0.049866927878895344,0.0409091869554741,0.6834727264219687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.34453239099766925,0.0637795561845321,1,1,1,1,1,1,1,1,1,1,1,0.19678798957641505,0.04200376331498567,0.03847857823368296,0.053580048965807744,0.010359884857948769
