,Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1,CO_2_Max_tons_ton_1,CO_2_Price_1
MA,1,1,0.025,1,1000
CT,2,1,0.025,1,1000
ME,3,1,0.025,1,1000
