Constraint,CapRes_1
t1,9.600810202449705e-9
t2,7.550893868408186e-9
t3,6.77317235405043e-9
t4,6.578711148702826e-9
t5,8.50167847811924e-9
t6,7.192315751693355e-9
t7,8.150476470484356e-9
t8,9.787518030947981e-9
t9,1.1462291879509662e-8
t10,1.3332987183920756e-8
t11,1.5682619858139988e-8
t12,1.839564007078853e-8
t13,2.06963993439205e-8
t14,2.2343384266251367e-8
t15,2.3178237211463877e-8
t16,2.1770805515932716e-8
t17,1.7756402432600064e-8
t18,1.6566474830316533e-8
t19,1.3938132192614124e-8
t20,8.113333507473974e-9
t21,8.637667831703041e-9
t22,9.610805416870274e-9
t23,9.089536769873707e-9
t24,7.965676976534361e-9
t25,7.431921026927117e-9
t26,7.080332483899765e-9
t27,7.036538666189776e-9
t28,6.971579038025865e-9
t29,7.310552907868554e-9
t30,7.730394313935929e-9
t31,7.971087865791614e-9
t32,8.42991987760135e-9
t33,9.89063118572951e-9
t34,1.1818551896389587e-8
t35,1.3301430570598033e-8
t36,1.499514621646602e-8
t37,1.672813192564581e-8
t38,1.6418911954348122e-8
t39,1.489372984993164e-8
t40,1.5272767329724468e-8
t41,1.6703411601930404e-8
t42,2.0878605367928683e-8
t43,2.1760214234967353e-8
t44,1.1221126657765618e-8
t45,1.1534401140048483e-8
t46,1.2460803545510834e-8
t47,1.1500954842535326e-8
t48,1.1281927415409696e-8
t49,1.0388035890313829e-8
t50,9.400463960901324e-9
t51,9.28507877998599e-9
t52,9.453727955039078e-9
t53,9.82409938447623e-9
t54,1.2252164713346527e-8
t55,1.872648904423455e-8
t56,2.2128518827227627e-8
t57,2.6677130730771875e-8
t58,2.9706887861749817e-8
t59,3.1820580483612795e-8
t60,3.198421666640414e-8
t61,3.326170067550008e-8
t62,3.627376009185207e-8
t63,3.679359355075934e-8
t64,12.159096032762147
t65,36.37066506818208
t66,36.370665695439115
t67,1.3662653259965048e-7
t68,4.1890430384221885e-8
t69,4.28908685197871e-8
t70,2.4664732860745203e-8
t71,1.2607776416569188e-8
t72,9.869670703328682e-9
t73,9.070519356169211e-9
t74,8.870162793307249e-9
t75,8.888035158414982e-9
t76,8.964850457333081e-9
t77,9.311595915765688e-9
t78,1.1327239718244027e-8
t79,1.4709844273458647e-8
t80,1.4586516807096376e-8
t81,1.6135481589467483e-8
t82,1.834949822056303e-8
t83,1.9613352846888066e-8
t84,2.047345210689898e-8
t85,2.0915571578337946e-8
t86,2.057798391320132e-8
t87,2.192152650203952e-8
t88,2.557799789616091e-8
t89,8.960025120095709e-8
t90,10.51556720848036
t91,3.184889301490388e-8
t92,1.9334559991034338e-8
t93,1.879503908283805e-8
t94,1.7874829951862464e-8
t95,1.6952937319903012e-8
t96,1.4755383936658577e-8
t97,1.3476728811844737e-8
t98,1.243478472842252e-8
t99,1.2048068217632475e-8
t100,1.2349606563340608e-8
t101,1.348627495109215e-8
t102,1.5202659918919536e-8
t103,1.548665008920242e-8
t104,1.981915298318671e-8
t105,2.271164941130556e-8
t106,2.71244353086373e-8
t107,3.189131754582152e-8
t108,3.419475916426593e-8
t109,3.530251262886978e-8
t110,3.561484535432209e-8
t111,3.398097751917602e-8
t112,3.739445120408615e-8
t113,7.566343839242793e-7
t114,5.474474592081111e-8
t115,2.758511020481841e-8
t116,1.5825929019945485e-8
t117,1.545858434355982e-8
t118,1.3072992160712458e-8
t119,1.2937538241085775e-8
t120,1.2273683150005983e-8
t121,9.690322528560053e-9
t122,8.522876903835501e-9
t123,7.965389186650965e-9
t124,7.895316720448565e-9
t125,8.436869825859363e-9
t126,9.796057486805601e-9
t127,1.3157441354776559e-8
t128,1.5213565482328135e-8
t129,1.7781874632417095e-8
t130,2.064255503581776e-8
t131,2.338518194859418e-8
t132,2.6441472341745673e-8
t133,2.777995741625395e-8
t134,2.8260411682816435e-8
t135,2.8387608549754618e-8
t136,3.0564104443539315e-8
t137,6.447517363452247e-8
t138,6.117352351523076e-8
t139,7.724409298282815e-8
t140,1.6415415943431515e-8
t141,1.5287881880393654e-8
t142,1.451094152379914e-8
t143,1.1667458923779517e-8
t144,8.992386951801156e-9
t145,7.522565446060617e-9
t146,7.0705117624546186e-9
t147,6.982432119053244e-9
t148,7.009278823084079e-9
t149,1.6097811560518496e-8
t150,8.170430834090702e-9
t151,1.178222030360217e-8
t152,1.5372973298985808e-8
t153,1.7802042442311797e-8
t154,1.98618821413705e-8
t155,2.0040700064341795e-8
t156,2.003420991681292e-8
t157,2.0839020784857826e-8
t158,2.190322688520731e-8
t159,2.416389172763467e-8
t160,3.0719011091830884e-8
t161,28.805004304031794
t162,28.805004387777718
t163,78.60173554196363
t164,2.5015998648406166e-7
t165,8.813421171851314e-8
t166,5.458178540937926e-8
t167,3.034499628330661e-8
t168,1.78190886634174e-8
