Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
SE_conventional_hydroelectric_1,1,11123.215,0.0,0.0,11123.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74393634e7,2.080360121308761e7,0.2135030493547704,0.0
SE_hydroelectric_pumped_storage_1,1,6261.984,0.0,0.0,6261.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.485497984e7,0.0,0.0,0.0
SE_natural_gas_fired_combined_cycle_1,1,26218.712,0.3928928647421559,0.0,26218.319107135256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2967247537850484e8,4.476328939566138e6,0.01949005396571382,1.812041163230185e6
SE_natural_gas_fired_combined_cycle_2,1,4637.5,4637.1145545506815,0.0,0.3854454493184676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3376.502136029776,188.1427446564773,0.055721198173949014,78.86354015553523
SE_natural_gas_fired_combined_cycle_3,1,42679.32,13207.553697456024,0.0,29471.766302543976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5817267281028524e8,4.6932278619420774e7,0.18178639167557573,1.786677456331298e7
SE_natural_gas_fired_combined_cycle_4,1,6088.5,6084.386956126654,0.0,4.113043873346214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36030.26433051284,43.874483549547705,0.001217711953125802,24.292673180795827
SE_natural_gas_fired_combustion_turbine_1,1,24934.14,0.37005892211690655,0.0,24933.769941077884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1841982468384227e8,30.598175292572467,1.400888190294202e-7,18.73077335289866
SE_natural_gas_fired_combustion_turbine_2,1,683.209,681.9173330018459,0.0,1.291666998154028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11315.002903829285,70.72226853742222,0.006250309358160925,40.07121989726779
SE_nuclear_1,1,33632.288,2.5030207999188652e-5,0.0,33632.28797496979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9461884266073537e8,2.5668728946807802e8,0.8712521139174491,0.0
SE_nuclear_2,1,2228.0,0.00036468868914924847,0.0,2227.999635311311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9517276805327084e7,1.8283551831732348e7,0.9367880577859099,0.0
SE_small_hydroelectric_1,1,249.895,0.0,0.0,249.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1890802e6,473817.0642760191,0.21644573107738085,0.0
SE_solar_photovoltaic_1,1,8502.2,0.00027970970775604285,0.0,8502.199720290293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.447926954974297e7,2.140308588874737e7,0.2873697072774425,0.0
SE_naturalgas_ccccsavgcf_conservative_0,1,0.0,0.0,0.01364231824473128,0.01364231824473128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.506707823846,72.70720859325614,0.6083943731462107,2.764653942561855
SE_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,0.026728903841648777,0.026728903841648777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.14519765284328,105.13937504461612,0.44903494113298714,35.56041055491424
SE_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,0.010362070558602885,0.010362070558602885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.77173809336128,23.976069831773092,0.26413584597347944,12.38764851151318
SE_battery_moderate_0,1,0.0,0.0,83977.53352576718,83977.53352576718,0.0,0.0,365388.85726025846,365388.85726025846,0.0,0.0,0.0,0.0,7.356431936857206e8,1.2286178664910826e8,0.1670127416438749,0.0
SE_nuclear_mid_0,1,0.0,0.0,0.0076827784485553555,0.0076827784485553555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.30113920934491,49.40145287030662,0.7340359086142649,0.0
SE_utilitypv_class1_moderate_70_0_2_1,1,0.0,0.0,0.011173201346391628,0.011173201346391628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.87724379439067,22.397038306236148,0.2288278402412443,0.0
SE_utilitypv_class1_moderate_70_0_2_2,1,0.0,0.0,0.0056622378489721605,0.0056622378489721605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.601203556996126,9.392392965601143,0.18935816657772148,0.0
SE_utilitypv_class1_moderate_70_0_2_3,1,0.0,0.0,0.01620087481435924,0.01620087481435924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.91966337378693,36.16679801041887,0.2548399365573679,0.0
SE_utilitypv_class1_moderate_70_0_2_4,1,0.0,0.0,139569.0541120875,139569.0541120875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2226249140218866e9,3.933129047198675e8,0.32169547684583394,0.0
SE_utilitypv_class1_moderate_70_0_2_5,1,0.0,0.0,75803.88740806964,75803.88740806964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640420536946901e8,2.108910973444893e8,0.3175869603003363,0.0
SE_utilitypv_class1_moderate_70_0_2_6,1,0.0,0.0,0.01941187500763738,0.01941187500763738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.04802506690345,44.13460956071794,0.25954202963165074,0.0
SE_utilitypv_class1_moderate_70_0_2_7,1,0.0,0.0,0.015030464192183068,0.015030464192183068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.6668663235237,32.509619142571296,0.24690812541015952,0.0
SE_utilitypv_class1_moderate_70_0_2_8,1,0.0,0.0,0.015204202342336506,0.015204202342336506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.1888125188678,31.877340845395654,0.23933947786252577,0.0
SE_landbasedwind_class4_moderate_70_1,1,0.0,0.0,0.008778907164238386,0.008778907164238386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.90322675872827,12.54862737785612,0.16317426337942173,0.0
SE_landbasedwind_class4_moderate_70_2,1,0.0,0.0,0.061455510795647664,0.061455510795647664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.3502745698736,129.46892170919827,0.24049197673882533,0.0
SE_landbasedwind_class4_moderate_70_3,1,0.0,0.0,0.3329861563393671,0.3329861563393671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.958729532856,743.566170297958,0.2549114469017662,0.0
SE_landbasedwind_class4_moderate_70_4,1,0.0,0.0,95535.09616750375,95535.09616750375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.368874424273329e8,2.6583728052207226e8,0.31764998140135786,0.0
SE_landbasedwind_class4_moderate_70_5,1,0.0,0.0,0.28895996010330494,0.28895996010330494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2531.2892505049513,674.1304062363885,0.2663189938099371,0.0
SE_landbasedwind_class4_moderate_70_6,1,0.0,0.0,18969.01250219611,18969.01250219611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6616854951923794e8,4.596698292492611e7,0.2766286584189287,0.0
SE_landbasedwind_class4_moderate_70_7,1,0.0,0.0,0.01160135683804344,0.01160135683804344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.62788590126054,20.149638075147426,0.19826879105528555,0.0
SE_landbasedwind_class4_moderate_70_8,1,0.0,0.0,0.010083525082533063,0.010083525082533063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.33167972298963,17.001529104759783,0.19247374393962624,0.0
Total,n/a,167238.963,24611.736162350666,413855.43867996725,556482.6655176166,0.0,0.0,365388.85726025846,365388.85726025846,0.0,0.0,0.0,0.0,4.8747881499343195e9,1.407932363090242e9,-,1.9679028397462763e7
