BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t55,170588.91301143047,0.004304529404872897,-33438.86541017711,0.0,0.0,0.0,3.6492048586737474e-7,0.0,0.0,-136751.42577673172
t56,201710.4679049513,0.003942814473906672,-49706.94550392182,0.0,0.0,0.0,3.6398819484071755e-7,0.0,0.0,-151604.89996287867
t57,222441.4174891922,0.0038386388403611237,-63552.92455359049,0.0,0.0,0.0,3.6364815168635786e-7,0.0,0.0,-158489.87033822926
t58,226743.29156671968,0.003893075601615263,-57608.32210055209,0.0,0.0,0.0,3.633419192904439e-7,0.0,0.0,-168736.34696050698
t59,226936.5382421794,0.003963741489399664,-49320.7852780217,0.0,0.0,0.0,3.6315793900935894e-7,0.0,0.0,-177217.13059212334
t60,223370.54810393995,0.0040385664476852825,-38379.550258230636,0.0,0.0,0.0,3.630558700925023e-7,0.0,0.0,-184592.3756413515
t61,223680.58729081228,0.004025844862349362,-34414.42963331817,0.0,0.0,0.0,3.6308596504895414e-7,0.0,0.0,-188867.53558932873
t62,228226.83806350591,0.004073848789972078,-35019.99905722174,0.0,0.0,0.0,3.630504133106726e-7,0.0,0.0,-192808.21730378087
t63,226803.9610274549,0.003939090070820077,-24234.372690728713,0.0,0.0,0.0,3.6306833279526597e-7,0.0,0.0,-202170.9672248502
t64,209515.18209224162,4466.257427279034,-0.0014688881781660902,0.0,0.0,0.0,3.633684603714463e-7,0.0,0.0,-213582.83642919955
t65,169244.16282948197,58398.951072919524,-0.0015491214539421322,0.0,0.0,0.0,3.6326160605799353e-7,0.0,0.0,-227244.51185694395
t66,134686.74617776537,78983.97860069145,-0.0014114063134664603,0.0,0.0,0.0,3.631151720735475e-7,0.0,0.0,-213272.1237543723
t67,100085.70182709029,83977.53197375133,-0.0004218594642313786,0.0,0.0,0.0,3.634777835254861e-7,0.0,0.0,-183664.63864625824
t68,99101.32595314998,65411.65691766772,-0.0014643026951125303,0.0,0.0,0.0,3.6377735643027604e-7,0.0,0.0,-164114.3858967169
t69,113553.31000897705,36763.712733339606,-0.0014727933188617656,0.0,0.0,0.0,3.6433399080602004e-7,0.0,0.0,-149918.42550121006
t70,126713.74610901502,8155.66369454277,-0.0010486585374073385,0.0,0.0,0.0,3.6517814891959884e-7,0.0,0.0,-134470.81234761723
t71,120056.42731435939,0.002714698809006739,-0.0007106495921365031,0.0,0.0,0.0,3.658625042663724e-7,0.0,0.0,-119657.8276318444
t72,105864.41620797786,0.0006348679651097377,-0.3887598078293333,0.0,0.0,0.0,3.6546100094569515e-7,0.0,0.0,-105465.38805984834
t73,96557.65144106279,0.06534322533261092,-0.10477874389149591,0.0,0.0,0.0,3.6548962638344725e-7,0.0,0.0,-96158.97131495165
t74,91828.29026146895,0.014915818130274486,-0.038392684618447526,0.0,0.0,0.0,3.655157944055953e-7,0.0,0.0,-91429.62513408247
t75,89651.8597511063,0.012618610704358723,-194.87828882807352,0.0,0.0,0.0,3.655838862840864e-7,0.0,0.0,-89058.35049956515
t76,89262.4713489756,0.026773596173777482,-0.030280949960440944,0.0,0.0,0.0,3.655789897541481e-7,0.0,0.0,-88863.82500059398
t77,94538.43141630125,0.02256503446126587,-0.033288427599049514,0.0,0.0,0.0,3.654210821363947e-7,0.0,0.0,-94139.77903151336
t78,113000.41411941135,164.93248650644227,-0.011667763267537191,0.0,0.0,0.0,3.656172648270041e-7,0.0,0.0,-112766.69581534991
t79,152105.87582963132,0.015396489615126945,-16468.015701695917,0.0,0.0,0.0,3.648324904008413e-7,0.0,0.0,-135239.23207884724
t80,177227.48807375375,0.012296664842683543,-27356.695118186668,0.0,0.0,0.0,3.639453478316076e-7,0.0,0.0,-149472.1611212174
t81,199908.39959550687,0.011396737653819884,-44109.419085203524,0.0,0.0,0.0,3.637163929422605e-7,0.0,0.0,-155400.3477075107
t82,217634.53190518534,0.011581842609831534,-52436.713285946156,0.0,0.0,0.0,3.633531337907003e-7,0.0,0.0,-164799.18606956565
t83,226663.8011154136,0.01184847841575952,-53339.92216322549,0.0,0.0,0.0,3.631420023440708e-7,0.0,0.0,-172925.24673246985
t84,231936.56875922458,0.011989386995811244,-51563.1211533265,0.0,0.0,0.0,3.630024316646549e-7,0.0,0.0,-179974.8156069499
t85,234820.85104245774,0.01211018155612954,-49940.74959713595,0.0,0.0,0.0,3.629385935896103e-7,0.0,0.0,-184481.4697007616
t86,234436.0671526657,0.012045209563687112,-45593.27896154107,0.0,0.0,0.0,3.6295329154463946e-7,0.0,0.0,-188444.1565621562
t87,230597.6208598256,0.012593716244186273,-32663.1870867461,0.0,0.0,0.0,3.6292004847259974e-7,0.0,0.0,-197535.80307289466
t88,232674.92625078047,0.012861810444258347,-23690.390740130322,0.0,0.0,0.0,3.6296030364400355e-7,0.0,0.0,-208585.90766151028
t89,221815.2846049866,0.0051572991389474045,-0.00484901183530757,0.0,0.0,0.0,3.632253297427915e-7,0.0,0.0,-221416.66874070815
t90,164234.53519415006,44085.42536506429,-0.0017063434931192923,0.0,0.0,0.0,3.6324870060641685e-7,0.0,0.0,-207921.3522238486
t91,99904.92362448722,79509.07596423438,-0.0023286967207021723,0.0,0.0,0.0,3.63376900778608e-7,0.0,0.0,-179015.39120025953
t92,95374.39447359934,65353.713499995,-0.0016873026690647336,0.0,0.0,0.0,3.637878061412902e-7,0.0,0.0,-160329.50062261726
t93,97502.19904022751,49776.3629681172,-0.0016773972581923635,0.0,0.0,0.0,3.64396024527398e-7,0.0,0.0,-146879.95481139797
t94,98143.1232462424,34073.355752424504,-0.001677638509984846,0.0,0.0,0.0,3.6518324265930493e-7,0.0,0.0,-131817.87183223668
t95,96237.86097369346,21496.591103760675,-0.0019259132008486485,0.0,0.0,0.0,3.6588376996686233e-7,0.0,0.0,-117335.84452647813
t96,93244.67493030183,10518.269279094266,-0.0019111523568499222,0.0,0.0,0.0,3.6587760778423185e-7,0.0,0.0,-103364.33662978419
t97,93266.66137278112,1379.9914485143295,-0.002447354649796239,0.0,0.0,0.0,3.657388747167407e-7,0.0,0.0,-94248.04435447017
t98,90010.62062636299,0.0019879488425738863,-0.014408306650797679,0.0,0.0,0.0,3.656985175569829e-7,0.0,0.0,-89611.99999663692
t99,87780.1289511042,0.0376428039851419,-0.002169368248391386,0.0,0.0,0.0,3.6583712399871213e-7,0.0,0.0,-87381.55830255122
t100,84451.49440744957,3225.687669659876,-0.0015504534216632315,0.0,0.0,0.0,3.6585634179047495e-7,0.0,0.0,-87278.5742148606
t101,81101.7888947986,11938.488320827297,-0.0017762039409546086,0.0,0.0,0.0,3.6580320534355576e-7,0.0,0.0,-92641.66862767206
t102,96804.80538464808,14800.773987071207,-0.0010022021603234732,0.0,0.0,0.0,3.6585254768407586e-7,0.0,0.0,-111206.97100006977
t103,155295.41045542617,0.0011350561703921628,-21285.933940495044,0.0,0.0,0.0,3.649311726949989e-7,0.0,0.0,-133610.8512051067
t104,193026.74671730134,0.0023696242884555935,-45066.8877019126,0.0,0.0,0.0,3.6419172285941676e-7,0.0,0.0,-147561.2341607359
t105,203643.79009165615,0.002392708627990357,-49847.28582676764,0.0,0.0,0.0,3.6396133968678773e-7,0.0,0.0,-153397.87933574867
t106,212701.15904010585,0.0024285593867117957,-49715.30545302553,0.0,0.0,0.0,3.636475613422756e-7,0.0,0.0,-162587.22869891158
t107,225386.0048834955,0.0025053001279309265,-53863.03437118375,0.0,0.0,0.0,3.6332061192036916e-7,0.0,0.0,-171124.34550670057
t108,231201.1473218739,0.0024915873988925943,-52522.98330309205,0.0,0.0,0.0,3.631839558477917e-7,0.0,0.0,-178279.53908650434
t109,232932.05577833988,0.002453079166590366,-49656.576539460075,0.0,0.0,0.0,3.631127026638157e-7,0.0,0.0,-182876.85438571888
t110,228608.92719115433,0.002472782162801346,-41035.402717275174,0.0,0.0,0.0,3.6306072242063656e-7,0.0,0.0,-187174.89968651623
t111,223307.12984794594,0.0024087250085482693,-26386.699678943973,0.0,0.0,0.0,3.631334063315001e-7,0.0,0.0,-196521.80590178704
t112,215867.55609864712,0.0025952158489885996,-7781.714988658819,0.0,0.0,0.0,3.6310081568538206e-7,0.0,0.0,-207687.21746038104
t113,197675.26167449178,22685.037981865647,-0.0018760159409079683,0.0,0.0,0.0,3.6314505004665564e-7,0.0,0.0,-219961.68842487404
t114,140490.7666545889,66554.65474047503,-0.0015882583378401057,0.0,0.0,0.0,3.63120312630382e-7,0.0,0.0,-206646.8141129425
t115,96097.67511923268,82370.10174344775,-0.0017858300514173898,0.0,0.0,0.0,3.6334515958140733e-7,0.0,0.0,-178069.16988173462
t116,98978.87623519302,61216.70646076821,-0.001609360998893891,0.0,0.0,0.0,3.6388235881971135e-7,0.0,0.0,-159796.9760666102
t117,103145.76975510635,43808.875795798114,-0.0016048638512270483,0.0,0.0,0.0,3.643554139554288e-7,0.0,0.0,-146556.03904840525
t118,100789.40174318381,31288.0040534848,-0.0015805111391595113,0.0,0.0,0.0,3.6514968830478357e-7,0.0,0.0,-131678.79930356046
t119,97718.46102928619,20067.922553657143,-0.0018722600510525972,0.0,0.0,0.0,3.6582701729724146e-7,0.0,0.0,-117387.77667326228
t120,96113.40135139109,7562.401901280894,-0.001818015933289079,0.0,0.0,0.0,3.65860293751314e-7,0.0,0.0,-103277.19624789212
t121,93885.92540967163,604.0490140454446,-0.0014235745771833627,0.0,0.0,0.0,3.658318650718804e-7,0.0,0.0,-94091.36770824
t122,89927.87678469988,0.0016840699270810767,-0.009008785030533605,0.0,0.0,0.0,3.655658954543886e-7,0.0,0.0,-89529.26064413335
t123,87669.26486740372,0.0021935493559008742,-0.005274690708699868,0.0,0.0,0.0,3.6557669066901985e-7,0.0,0.0,-87270.65236196131
t124,87554.83656111368,0.002891037982640352,-0.003794821125010366,0.0,0.0,0.0,3.6562218382060694e-7,0.0,0.0,-87156.22559786063
t125,92808.78428703881,0.0038371651819349914,-0.0028248260814154585,0.0,0.0,0.0,3.6564960690781274e-7,0.0,0.0,-92410.17448183759
t126,111172.51031918965,0.012519282586213619,-0.0008012389610540834,0.0,0.0,0.0,3.6579491970420006e-7,0.0,0.0,-110773.90970824254
t127,161831.85721296893,0.0007996603548138174,-28460.519631310333,0.0,0.0,0.0,3.6479736003964097e-7,0.0,0.0,-132972.70194377593
t128,180317.44147415922,0.0048781905815478855,-32868.09306045563,0.0,0.0,0.0,3.639337035953296e-7,0.0,0.0,-147050.7147516713
t129,198924.18925144974,0.004636717834198617,-45310.758393125754,0.0,0.0,0.0,3.637286014746596e-7,0.0,0.0,-153214.79651318758
t130,212261.68076759568,0.00460147799990758,-49061.047372856076,0.0,0.0,0.0,3.633842037836272e-7,0.0,0.0,-162801.9989330698
t131,219946.15175113024,0.00456570646924157,-48273.536880354324,0.0,0.0,0.0,3.631681324728071e-7,0.0,0.0,-171273.98050590916
t132,229375.06427012876,0.004576222341777269,-50267.35052265839,0.0,0.0,0.0,3.629675985232555e-7,0.0,0.0,-178709.07955482075
t133,232205.6120025917,0.004607251829760326,-48186.34962742453,0.0,0.0,0.0,3.6290557646747415e-7,0.0,0.0,-183620.62835237334
t134,232591.43206190653,0.00463491930119159,-43871.87044749429,0.0,0.0,0.0,3.628507188753732e-7,0.0,0.0,-188320.92773927853
t135,232217.01703970364,0.004738895681034534,-33702.52489262154,0.0,0.0,0.0,3.6289255142810096e-7,0.0,0.0,-198115.85874629737
t136,227548.2656906522,0.0047819397170150175,-17159.798396684753,0.0,0.0,0.0,3.629678858923417e-7,0.0,0.0,-209989.83603643795
t137,212068.8974250358,12374.678865750573,-0.002118604136848717,0.0,0.0,0.0,3.6307973363823554e-7,0.0,0.0,-224044.9634915132
t138,154507.03008222804,56072.42034673516,-0.0020357798980631114,0.0,0.0,0.0,3.630018286921404e-7,0.0,0.0,-210180.84071189835
t139,97211.83034452492,83977.53301925438,-0.0001124259728809785,0.0,0.0,0.0,3.6397423807145693e-7,0.0,0.0,-180790.7664555756
t140,97219.5696583968,64820.92624122832,-0.00195502225742926,0.0,0.0,0.0,3.63719773575187e-7,0.0,0.0,-161641.88758626435
t141,105136.41658763877,43076.0455696753,-0.0019640259799547314,0.0,0.0,0.0,3.642208730987716e-7,0.0,0.0,-147813.85324763512
t142,106616.4764482411,26173.898805050536,-0.0019327391474622075,0.0,0.0,0.0,3.648975384471441e-7,0.0,0.0,-132391.76606449552
t143,103573.06544667973,14437.773585737288,-0.0021287559404944093,0.0,0.0,0.0,3.6563419690712284e-7,0.0,0.0,-117612.22917207518
t144,99202.20715297028,4421.66698027386,-0.0021020022492114487,0.0,0.0,0.0,3.6558651133681315e-7,0.0,0.0,-103225.26410110795
t145,93893.86712227835,446.47601644900703,-0.0022178349374075467,0.0,0.0,0.0,3.655906546196434e-7,0.0,0.0,-93941.7327090314
t146,89645.47261698806,40.34233867655985,-0.002227546214649309,0.0,0.0,0.0,3.6556886277902664e-7,0.0,0.0,-89287.20402776651
t147,86583.20859374627,746.2958892348424,-0.002586161747618696,0.0,0.0,0.0,3.654571375740698e-7,0.0,0.0,-86930.89289317005
t148,81916.95886129237,5252.348111323338,-0.0019874547372790183,0.0,0.0,0.0,3.654732881873652e-7,0.0,0.0,-86770.69542342909
t149,79240.01968582388,13103.138304767483,-0.0019453431262642746,0.0,0.0,0.0,3.6547385884547946e-7,0.0,0.0,-91944.54557253556
t150,99275.25866893964,11214.224406572122,-0.0007673808423447753,0.0,0.0,0.0,3.656534202116844e-7,0.0,0.0,-110090.86994714921
t151,173007.3489424853,0.0008736760999692613,-40351.610904425135,0.0,0.0,0.0,3.6474454547455486e-7,0.0,0.0,-132257.09456520778
t152,207878.58853607034,0.01013683012931,-61143.08524355513,0.0,0.0,0.0,3.6388929074379967e-7,0.0,0.0,-146336.86778485854
t153,218268.89455551337,0.010259907082650708,-65231.11700043597,0.0,0.0,0.0,3.6362355994805e-7,0.0,0.0,-152639.14186917333
t154,221421.81645843748,0.010927696150263289,-58877.81592067146,0.0,0.0,0.0,3.633060179439258e-7,0.0,0.0,-162145.3653483074
t155,218723.96764111888,0.011142902616870103,-47611.16305527862,0.0,0.0,0.0,3.630580818904124e-7,0.0,0.0,-170714.1695676935
t156,217395.73564145152,0.01104165782901001,-38895.36302591455,0.0,0.0,0.0,3.6291168581626594e-7,0.0,0.0,-178101.7374992094
t157,216936.54584218626,0.011358700203833092,-33580.077817028454,0.0,0.0,0.0,3.6282041180293077e-7,0.0,0.0,-182957.83332646705
t158,215808.11702119032,0.011554759788255025,-28015.411754675977,0.0,0.0,0.0,3.627808816691583e-7,0.0,0.0,-187394.07095006295
t159,216162.79262617588,0.010992603911569448,-19156.972666654154,0.0,0.0,0.0,3.628542437770878e-7,0.0,0.0,-196607.1858719237
t160,212850.7785390476,0.0157122641128053,-4299.304409931069,0.0,0.0,0.0,3.629246056720161e-7,0.0,0.0,-208152.84636968307
t161,204638.21620986468,17578.438848952967,-0.0012852642214389366,0.0,0.0,0.0,3.632922876180172e-7,0.0,0.0,-221818.04262093827
t162,151917.96094339967,56722.395791710805,-0.0013834640811043472,0.0,0.0,0.0,3.6297967621165704e-7,0.0,0.0,-208241.74716333052
t163,95628.35138427159,83977.53155257614,-0.0003794656380687676,0.0,0.0,0.0,3.6320191041927847e-7,0.0,0.0,-179207.2760815976
t164,92774.11686892854,67811.3968064561,-0.0013271413555065448,0.0,0.0,0.0,3.6371291665165226e-7,0.0,0.0,-160186.90727043024
t165,96623.57375974873,50382.99748041205,-0.001301734925340714,0.0,0.0,0.0,3.644174523661292e-7,0.0,0.0,-146607.9711951894
t166,97708.35701934276,34297.74516251242,-0.00129898297732322,0.0,0.0,0.0,3.652872465579399e-7,0.0,0.0,-131607.50262746695
t167,96301.39766079586,21261.406130509124,-0.001300368405167885,0.0,0.0,0.0,3.661179609070045e-7,0.0,0.0,-117164.2043803271
t168,95597.83026082323,4125.840780602584,-0.0008752043532659856,0.0,0.0,0.0,3.6637754599794274e-7,0.0,0.0,-99325.0718570299
