Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
SE_conventional_hydroelectric_1,1,11123.215,0.0,0.0,11123.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74393634e7,2.092263453910909e7,0.21472466371951981,0.0
SE_hydroelectric_pumped_storage_1,1,6261.984,0.0,0.0,6261.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.485497984e7,0.0,0.0,0.0
SE_natural_gas_fired_combined_cycle_1,1,26218.712,0.000917842131386919,0.0,26218.711082157868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296759090797029e8,1.0243784753826112e7,0.044601041506148034,4.1855332107635587e6
SE_natural_gas_fired_combined_cycle_2,1,4637.5,4637.498646692258,0.0,0.001353307741737808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.854975817623199,0.8193025997937057,0.06911044040897651,0.34250596543829204
SE_natural_gas_fired_combined_cycle_3,1,42679.32,0.00726815003127863,0.0,42679.31273184997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7387077953100574e8,1.0435465853220417e8,0.2791195895627619,3.960582894436796e7
SE_natural_gas_fired_combined_cycle_4,1,6088.5,723.6079144950423,0.0,5364.892085504957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6996454669023424e7,0.25452639292859053,5.4158637012326686e-9,0.1405711078253895
SE_natural_gas_fired_combustion_turbine_1,1,24934.14,0.0003622305458308723,0.0,24934.139637769455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1842306322686043e8,0.18229074476680474,8.345764502783864e-10,0.11058369114668393
SE_natural_gas_fired_combustion_turbine_2,1,683.209,683.203542985805,0.0,0.005457014194917065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.80344434747349,0.2933975696278857,0.006137582210504302,0.16364234600065897
SE_nuclear_1,1,33632.288,1.2404123151839158e-5,0.0,33632.287987595875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946188427713399e8,2.7210944870726264e8,0.9235982537561344,0.0
SE_nuclear_2,1,2228.0,2.877797408144711e-6,0.0,2227.999997122203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9517279974790495e7,1.8878321085812524e7,0.9672618884494518,0.0
