Resource,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,Total
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004081284417907227,0.0,0.0,0.0,0.0,0.0,0.00019816736042930268,0.00018692472350150327,0.00024595337504998817,0.00029446718690451235,0.0003062960283841676,0.0002649440918764019,0.0002207478381901491,0.00024089364842296988,0.00019812804909409099,0.00030256340673938224,0.0003000231832701525,0.00030105885525699705,0.00032732848289744425,0.0002988447067764355,0.00022400728968686588,0.00025729276353105663,0.004575769431802143
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022295758571999613,0.0,0.0,0.0,0.0,0.0,0.001219553324017699,0.0009497879951273699,0.0014160499723475332,0.0018227150285383686,0.001809647092159139,0.0014044892598716564,0.0010762821749809785,0.0014153921852983267,0.0002843194961636383,0.0016543854635966936,0.0018889856287894816,0.001961814530659467,0.0017700747394923423,0.002024277570853883,0.00021685902026676604,0.0007283015353990278,0.023872510874762335
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022435650244005956,0.0,0.0,0.0,0.0,0.0,0.0014895069116074473,0.0011730610906972262,0.0016368567563647945,0.001949575002072379,0.0019361094891792163,0.0016217540704731217,0.0014147992258579612,0.0016338283267747378,5.314284003854189e-5,0.0011078302620956882,0.001095642729442545,0.0023079962611518567,0.0011235880377390732,0.0021092384943131037,8.361508536899103e-5,0.00022001955585875687,0.023200129163436035
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002202767229391611,0.0,0.0,0.0,0.0,0.0,0.0015344879086836016,0.0012320938867916176,0.0016885569082935748,0.0019617236393969506,0.001953411672729999,0.0017031030832982477,0.001503038542948646,0.0016692468015462696,1.9896241910858974e-5,0.0009561531559211067,0.0006035036882978762,0.0023645307169317675,0.0008946969668751983,0.002129013219018816,7.288791969765017e-5,4.0455816083851136e-5,0.02252956739781764
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021699766593883396,0.0,0.0,0.0,0.0,0.0,0.001521913047101045,0.001244472857693378,0.001685421122643492,0.0019433220149949193,0.0019375299598323181,0.0016917693781721595,0.0014980488671813529,0.0016662472862226316,2.6341389663389335e-5,0.0007237168078878761,0.0009384694148888329,0.0024225500012562406,0.0013783938442111622,0.0021217131809407874,0.0001626416822595569,2.4751796061133476e-5,0.023157279310398612
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021633203177771065,0.0,0.0,0.0,0.0,0.0,0.0015036714124756628,0.0012313061692429761,0.0016751000021984833,0.0019321034487802535,0.0019261933775851503,0.0016766737188114323,0.001453391981569534,0.0016553422713858432,5.5411979416516546e-5,0.0005085658938578878,0.0012867366894292838,0.0025324754702182872,0.001557136670068425,0.0021008887497373507,0.0003426207248651927,7.619230005843965e-6,0.023608558107425234
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021678336433978984,0.0,0.0,0.0,0.0,0.0,0.001493457222244995,0.0012104921317936373,0.0016556536367679838,0.001925847609527409,0.0019200144815840758,0.0016647531238227417,0.0014392758648339625,0.0016480696571212448,9.228026164378108e-5,0.0008511173529008134,0.0015482229755643742,0.0,0.001584525054245835,0.002023997637024877,0.0007099419313106895,1.854082734468487e-5,0.021954023411129002
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002177234990085708,0.0,0.0,0.0,0.0,0.0,0.0014895873268881803,0.0011866140030536067,0.0016403224949818676,0.0019163189135724679,0.0019100708377663977,0.0016252352941307745,0.0014227941220888328,0.0016396608567220035,0.00010828809044617372,0.0013820146912765716,0.0018059592824373923,0.0,0.0013354150961490943,0.001960896551281621,0.0009831239924983255,4.756137530459739e-5,0.022631097918683618
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002187435440646368,0.0,0.0,0.0,0.0,0.0,0.0014808026896727389,0.0011416589608141733,0.0016064323007465402,0.0019006079237442464,0.0018944109251606278,0.0015716595030334252,0.0014205465862445086,0.0016308198829003764,0.00022389586521128472,0.0016502756893801481,0.00191946985278698,0.0,0.0010644630935620885,0.0019382315122129512,0.0011539474688774106,6.445737215650743e-5,0.022849115067150375
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002110510897182394,0.0,0.0,0.0,0.0,0.0,0.001420856759258033,0.0010486168762231449,0.0015085097464640936,0.0018121653702110052,0.0018084789116983302,0.0014345023541324844,0.0013374518626523392,0.0015598768346610937,0.00040314583182118056,0.0017172609892063713,0.0018582739445074728,0.002736465435646096,0.001565372653576664,0.001853722245868994,0.001223316125952752,0.00020773148027575266,0.0256062583193382
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029109865627106046,0.0,0.0,0.0,0.0,0.0,0.0016419610954305774,0.0010114949234441687,0.0017329831427294242,0.0022422734909923747,0.0022336881229421124,0.0015991988112309518,0.001405029270493601,0.0018414804472111374,0.00044031262605328343,0.002113739889036261,0.002301979343025992,0.0031750894227116078,0.002492226002740766,0.0023140907715060166,0.0012363571219863641,0.00038849875474053605,0.03108138979898578
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031270870022126473,0.0,0.0,0.0,0.0,0.0,0.00028206718925094954,0.00024836647979272776,0.00028322824947809525,0.00029489758890122175,0.0002942342252936214,0.00027455325984796896,0.0002668005160169108,0.0002866468434637847,0.00023052863313183691,0.00029735496144466314,0.00029642703636298395,0.00036704135038689856,0.0003018356820263038,0.0002963424612971721,0.00026960387122333413,0.00020778794580513123,0.004810424993944869
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034331498682149686,0.0,0.0,0.0,0.0,0.0,0.0002716748931477441,0.00015054161276819162,0.0002659679099893757,0.0002980018834932707,0.00029755353898508474,0.00023307261559766678,0.0002150637202143473,0.00028307240362882534,0.00022966745307092282,0.00030882185725168015,0.0003003962446067737,0.00037162075480523526,0.0003054070259828623,0.0003008199282703572,0.00026225292406198983,0.0001840467730969158,0.0046212965257927405
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005403423796792595,0.0,0.0,0.0,0.0,0.0,9.905646596478269e-5,0.0,4.998007388920444e-5,0.0002918942054748186,0.00028940474203409394,0.0,8.176567764282828e-6,0.00017722235746719288,0.00023624662343124268,0.0002887552181868626,0.000287444003509732,0.0003672877869576041,0.0002925030184568883,0.0002897614622270339,0.00025230220651133216,0.00019423331594504393,0.0036646104274993744
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002219336788142727,0.00029057552400368544,0.0002784757305742819,0.00032433122487418586,0.00028313022028301355,0.00028054924678144744,0.00024097911830686485,0.00019090936162444714,0.0021108841052621986
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015518699353133595,0.00021911032907812131,0.0001988062192116169,0.0002191964731537155,0.0002014949845398767,0.00019932225677621318,0.0001744430790366308,0.00013847883359950598,0.0015060391689270163
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014115289710571845,0.0002242720396000565,0.00019871218286394987,0.00021758346429123776,0.0002005603788082927,0.00019972589052486,0.00018286087390290617,0.00012187121914260235,0.001486738946239624
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012295810932623188,0.00022453762163568728,0.0001993030729444123,0.00021934931282885373,0.00020109302772565452,0.00020059621374457492,0.00018373359076063025,0.00011720474458250713,0.001468775693548552
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012285067458642527,0.0002309756932190321,0.00020131355146578434,0.00022631774754700018,0.00020350187136732034,0.00020158303414063994,0.0001843509834931925,0.00011758715520564765,0.0014884807110250422
