SynTruckType,New_Build,LDS,Existing_Number,Existing_Energy_Cap_tonne,Inv_Cost_p_unit_p_yr,Existing_Energy_Cap_tonne_z1,Existing_Energy_Cap_tonne_z2,Existing_Energy_Cap_tonne_z3,Existing_Energy_Cap_tonne_z4,Existing_Energy_Cap_tonne_z5,Existing_Energy_Cap_tonne_z6,Existing_Energy_Cap_tonne_z7,TruckCap_tonne_per_unit,Inv_Cost_Energy_p_tonne_yr,Fixed_OM_Cost_Energy_p_tonne_yr,H2TruckCompressionEnergy,H2TruckCompressionUnitOpex,Max_Energy_Cap_tonne,Min_Energy_Cap_tonne,Full_weight_tonne_per_unit,Empty_weight_tonne_per_unit,AvgTruckSpeed_mile_per_hour,H2TLoss_per_mile,Fuel,Fuel_MMBTU_per_mile,Power_MW_per_mile,H2_tonne_per_mile
Gas,1,0,0,0,34615,0,0,0,0,0,0,0,0.3,102071,0,1,0,10000,-1,10.3,10,35,0,oil,12,0,0
Liquid,1,0,0,0,92308,0,0,0,0,0,0,0,4,2177513,0,11,0,10000,-1,14,10,35,0.03,oil,16,0,0
