,Generation,Flexible_Demand_Defer,Flexible_Demand_Satisfy,Storage Discharging,Storage Charging,Nonserved_Energy,H2_Pipeline_Import/Export,H2_Truck_Import/Export,G2P Demand,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,135100.57857142863,0.0,0.0,36142.64761904764,-36142.647619047646,0.0,0.0,0.0,0.0,-135100.57857142857
t1,15.283333333333331,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.62
t2,14.883333333333331,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.22
t3,15.41333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.75
t4,15.523333333333332,0,0,0.0,-11.523333333333332,0.0,0,0,0.0,-4.0
t5,15.523333333333332,0,0,0.0,-7.283333333333331,0.0,0,0,0.0,-8.24
t6,15.523333333333332,0,0,0.0,-2.1133333333333315,0.0,0,0,0.0,-13.41
t7,15.523333333333332,0,0,1.2666666666666675,-0.0,0.0,0,0,0.0,-16.79
t8,15.523333333333332,0,0,3.716666666666667,-0.0,0.0,0,0,0.0,-19.24
t9,15.523333333333332,0,0,4.716666666666667,-0.0,0.0,0,0,0.0,-20.24
t10,15.523333333333332,0,0,5.906666666666668,-0.0,0.0,0,0,0.0,-21.43
t11,15.523333333333332,0,0,9.886666666666668,-0.0,0.0,0,0,0.0,-25.41
t12,15.523333333333332,0,0,11.536666666666667,-0.0,0.0,0,0,0.0,-27.06
t13,15.523333333333332,0,0,12.336666666666668,-0.0,0.0,0,0,0.0,-27.86
t14,15.523333333333332,0,0,11.806666666666667,-0.0,0.0,0,0,0.0,-27.33
t15,15.523333333333332,0,0,11.536666666666667,-0.0,0.0,0,0,0.0,-27.06
t16,15.523333333333332,0,0,10.41666666666667,-0.0,0.0,0,0,0.0,-25.94
t17,15.523333333333332,0,0,9.086666666666668,-0.0,0.0,0,0,0.0,-24.61
t18,15.523333333333332,0,0,6.23666666666667,-0.0,0.0,0,0,0.0,-21.76
t19,15.523333333333332,0,0,2.5966666666666693,-0.0,0.0,0,0,0.0,-18.12
t20,13.970999999999998,0,0,0.0,-0.1609999999999978,0.0,0,0,0.0,-13.81
t21,15.523333333333332,0,0,0.0,-5.023333333333332,0.0,0,0,0.0,-10.5
t22,15.523333333333332,0,0,0.0,-8.203333333333331,0.0,0,0,0.0,-7.32
t23,15.523333333333332,0,0,0.0,-10.993333333333332,0.0,0,0,0.0,-4.53
t24,15.523333333333332,0,0,0.0,-12.843333333333332,0.0,0,0,0.0,-2.68
t25,13.970999999999998,0,0,0.0,-11.480999999999998,0.0,0,0,0.0,-2.49
t26,15.463333333333331,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.8
t27,15.32333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.66
t28,13.970999999999998,0,0,0.0,-11.511,0.0,0,0,0.0,-2.46
t29,15.523333333333332,0,0,0.0,-11.093333333333332,0.0,0,0,0.0,-4.43
t30,13.970999999999998,0,0,0.0,-6.700999999999999,0.0,0,0,0.0,-7.27
t31,15.523333333333332,0,0,0.0,-4.543333333333331,0.0,0,0,0.0,-10.98
t32,15.523333333333332,0,0,0.0,-0.5233333333333317,0.0,0,0,0.0,-15.0
t33,15.523333333333332,0,0,3.4266666666666676,-0.0,0.0,0,0,0.0,-18.95
t34,15.523333333333332,0,0,5.496666666666668,-0.0,0.0,0,0,0.0,-21.02
t35,15.523333333333332,0,0,6.156666666666668,-0.0,0.0,0,0,0.0,-21.68
t36,15.523333333333332,0,0,7.096666666666669,-0.0,0.0,0,0,0.0,-22.62
t37,15.523333333333332,0,0,8.546666666666669,-0.0,0.0,0,0,0.0,-24.07
t38,15.523333333333332,0,0,9.626666666666667,-0.0,0.0,0,0,0.0,-25.15
t39,15.523333333333332,0,0,10.796666666666669,-0.0,0.0,0,0,0.0,-26.32
t40,15.523333333333332,0,0,11.456666666666669,-0.0,0.0,0,0,0.0,-26.98
t41,15.523333333333332,0,0,10.14666666666667,-0.0,0.0,0,0,0.0,-25.67
t42,15.523333333333332,0,0,7.716666666666667,-0.0,0.0,0,0,0.0,-23.24
t43,15.523333333333332,0,0,3.7666666666666675,-0.0,0.0,0,0,0.0,-19.29
t44,14.93,0,0,0.0,-0.0,0.0,0,0,0.0,-14.93
t45,13.970999999999998,0,0,0.0,-2.570999999999998,0.0,0,0,0.0,-11.4
t46,13.970999999999998,0,0,0.0,-5.140999999999998,0.0,0,0,0.0,-8.83
t47,15.087333333333742,0,0,0.0,-8.887333333333743,0.0,0,0,0.0,-6.2
t48,15.523333333333332,0,0,0.0,-11.57333333333333,0.0,0,0,0.0,-3.95
t49,15.35333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.69
t50,14.90333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.24
t51,15.40333333333333,0,0,0.0,-13.66333333333333,0.0,0,0,0.0,-1.74
t52,15.523333333333332,0,0,0.0,-11.473333333333333,0.0,0,0,0.0,-4.05
t53,15.523333333333332,0,0,0.0,-6.813333333333331,0.0,0,0,0.0,-8.71
t54,15.523333333333332,0,0,0.0,-1.5233333333333317,0.0,0,0,0.0,-14.0
t55,15.523333333333332,0,0,1.7966666666666686,-0.0,0.0,0,0,0.0,-17.32
t56,15.523333333333332,0,0,4.32666666666667,-0.0,0.0,0,0,0.0,-19.85
t57,15.523333333333332,0,0,5.3866666666666685,-0.0,0.0,0,0,0.0,-20.91
t58,15.523333333333332,0,0,4.48666666666667,-0.0,0.0,0,0,0.0,-20.01
