,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
BE0 0,z1,1,1,0,0,0,-1,0,0,0,0,0,7928.869151,BE0 0_to_FR0 0,391.3437214,0.024263311,23786.60745,30791.90888,0.95,0,0
DE0 0,z2,2,1,0,0,0,0,0,0,-1,0,0,4754.687313,BE0 0_to_NL0 0,162.7413135,0.010089961,14264.06194,12804.89611,0.95,0,0
DK0 0,z3,3,0,1,0,-1,0,0,0,0,0,0,3174.181835,DE0 0_to_DK0 0,495.1281831,0.030697947,9522.545505,38957.93152,0.95,0,0
DK3 0,z4,4,0,1,0,0,-1,0,0,0,0,0,6740.19732,DE0 0_to_FR0 0,556.1575232,0.034481766,20220.59196,43759.87359,0.95,0,0
FR0 0,z5,5,0,1,0,0,0,0,0,-1,0,0,4754.687313,DE0 0_to_NL0 0,278.4400971,0.017263286,14264.06194,21908.36758,0.95,0,0
GB4 0,z6,6,0,0,0,1,0,0,0,0,0,-1,2377.343656,DK3 0_to_SE3 0,595.3325919,0.036910621,7132.030968,46842.26658,0.95,0,0
GB5 0,z7,7,0,0,0,0,0,0,0,0,1,-1,5153.106402,NO3 0_to_SE3 0,356.4853418,0.022102091,15459.31921,28049.16384,0.95,0,0
NL0 0,z8,8,-1,1,0,0,0,0,0,0,0,0,0,DE0 0_to_BE0 0,414.1262846,0.02567583,5000,29989.68351,0.95,0,0
NO3 0,z9,9,0,0,0,0,0,0,1,-1,0,0,1000,GB5 0_to_NL0 0,644.2821931,0.039945496,5000,73348.1354,0.95,0,0
SE3 0,z10,10,-1,0,0,0,0,0,1,0,0,0,0,GB5 0_to_BE0 0,678.1051034,0.042042516,5000,56825.08937,0.95,0,0
,,11,0,0,0,0,-1,0,1,0,0,0,2000,GB5 0_to_FR0 0,1008.999785,0.062557987,6000,60181.68608,0.95,0,0
,,12,0,0,-1,1,0,0,0,0,0,0,600,DK3 0_to_DK0 0,210.4740952,0.013049394,5000,26464.28079,0.95,0,0
,,13,0,-1,0,1,0,0,0,0,0,0,600,DK3 0_to_DE0 0,690.2415065,0.042794973,5000,51255.71557,0.95,0,0
,,14,0,0,-1,0,0,0,0,1,0,0,0,NL0 0_to_DK0 0,606.6136198,0.037610044,5000,76484.98442,0.95,0,0
,,15,0,0,0,0,0,0,0,1,-1,0,700,NL0 0_to_NO3 0,1218.171853,0.075526655,5000,143470.417,0.95,0,0
,,16,0,1,0,0,0,0,0,0,-1,0,0,DE0 0_to_NO3 0,1412.435486,0.087571,5000,139288.8048,0.95,0,0
,,17,0,0,0,0,0,-1,1,0,0,0,250,GB5 0_to_GB4 0,388.0904853,0.02406161,5000,36592.32119,0.95,0,0
,,18,0,0,0,0,0,-1,1,0,0,0,250,GB5 0_to_GB4 0,388.0904853,0.02406161,5000,34826.20618,0.95,0,0
,,19,0,0,-1,0,0,0,0,0,0,1,250,SE3 0_to_DK0 0,882.3882573,0.054708072,5000,63417.87845,0.95,0,0
,,20,0,0,-1,0,0,0,0,0,0,1,600,SE3 0_to_DK0 0,882.3882573,0.054708072,5000,60477.73371,0.95,0,0
,,21,0,0,0,0,1,0,-1,0,0,0,0,FR0 0_to_GB5 0,1008.999785,0.062557987,5000,81328.15138,0.95,0,0
,,22,0,0,0,0,-1,0,1,0,0,0,0,GB5 0_to_FR0 0,1008.999785,0.062557987,5000,70738.24593,0.95,0,0
,,23,0,0,-1,0,0,0,1,0,0,0,0,GB5 0_to_DK0 0,1012.705158,0.06278772,5000,161558.5291,0.95,0,0
,,24,0,0,0,0,0,0,-1,0,1,0,0,NO3 0_to_GB5 0,1331.341925,0.082543199,5000,145048.0111,0.95,0,0
,,25,0,0,0,0,-1,0,1,0,0,0,0,GB5 0_to_FR0 0,1008.999785,0.062557987,5000,79826.98885,0.95,0,0
,,26,0,0,0,0,-1,0,1,0,0,0,0,GB5 0_to_FR0 0,1008.999785,0.062557987,5000,68371.86553,0.95,0,0
,,27,0,-1,0,0,0,0,1,0,0,0,0,GB5 0_to_DE0 0,1037.778764,0.064342283,5000,115743.9704,0.95,0,0
,,28,0,-1,0,0,0,0,0,0,0,1,0,SE3 0_to_DE0 0,1552.617269,0.096262271,5000,39435.17712,0.95,0,0
,,29,0,0,1,0,0,0,0,0,-1,0,940,DK0 0_to_NO3 0,698.1574656,0.043285763,5000,14182.07382,0.95,0,0
