Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
DK3 0 offwind-ac,4,481.935518,481.9355040841724,3.874276849336369e-6,1.779010443669904e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 offwind-dc,4,481.935518,481.9354883702493,1.7195372355587505e-6,3.1349287951343285e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 oil,4,572.652792,572.6527893544736,6.801272130545081e-7,3.325653551655705e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 onwind,4,2540.650655,2540.650624019603,1.2547060744510963e-6,3.2235102935374016e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DK3 0 nuclear,4,0.0,0.0,6.049895502409257e-6,6.049895502409257e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 CCGT,5,6109.0,6108.999992400224,3.999713665646966e-7,7.999747140274849e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 OCGT,5,6109.0,6108.999994373727,3.1268088213867733e-8,5.657541805703659e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 coal,5,2977.0,2976.9999986748926,8.608588841993242e-7,2.185966422985075e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 nuclear,5,61370.0,41269.376888461455,3.4449135218541307e-6,20100.623114983457,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 offwind-ac,5,5.0,4.9999704813041514,2.2660995303340693e-7,2.9745305801576194e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 offwind-dc,5,5.0,4.9999778873115455,1.0069231523816717e-8,2.2122757686204864e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 oil,5,2746.0,2745.9999967119074,4.7342493218596145e-8,3.3354349397995975e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 onwind,5,17217.0,17216.999966495157,2.3967471912373234e-6,3.590159030864015e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 ror,5,9554.0,9553.999999988167,0.0,1.1832526070065796e-8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 solar,5,10213.0,10212.999985948109,9.94411152102602e-7,1.5046301996335387e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 CCGT,6,495.6443218,495.64431448856396,1.338282970638777e-6,8.649719006825762e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 coal,6,137.8952924,137.89528965190965,2.091962758852518e-7,2.9572866253602115e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 offwind-ac,6,145.6826026,145.68256974888683,5.618485760972957e-7,3.341296172720831e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 offwind-dc,6,145.6826026,145.68257762141886,1.0368286677054278e-6,2.6015409815727253e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 oil,6,7.571661583,7.57165932092056,1.0309045223991405e-7,2.365169892826202e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 onwind,6,333.8240164,333.8239612635927,1.1291050408771867e-6,5.626551234172439e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB4 0 solar,6,322.7540555,322.75403365291385,9.719417036271e-7,2.2819027833520522e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 CCGT,7,20189.85568,20189.855671921945,8.902647750587048e-9,8.086957677733153e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 OCGT,7,20189.85568,20189.855674398095,1.7238193499192644e-8,5.619142029900104e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 biomass,7,4419.504799,4419.504783386786,1.2368453725058742e-7,1.5736899513285607e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 coal,7,5617.104708,5617.104705620391,7.109048127523621e-9,2.386717824265361e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 nuclear,7,8058.178361,1.2021050447543426e-7,8.866554253569299e-7,8058.178361766445,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 offwind-ac,7,5934.317397,5934.317377830171,8.095302134068984e-7,1.997935942199547e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 offwind-dc,7,5934.317397,5934.317370285836,9.714978121851451e-9,2.6723879273049533e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 oil,7,308.4283384,308.4283352291994,3.763438127849141e-8,3.208434975476848e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 onwind,7,13598.17598,13598.175937758564,1.799743469212004e-5,6.0238869991735555e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 ror,7,1873.018929,1873.0189289853038,0.0,1.4696297512273304e-8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 solar,7,13147.24594,13147.245920531666,1.0558898371857696e-6,2.0524224964901805e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 CCGT,8,9250.0,9249.99999184154,8.921689833878387e-9,8.16738247522153e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 OCGT,8,9250.0,9249.999994358303,1.9408345356640987e-8,5.661106115439907e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 coal,8,4012.0,4011.999997606069,6.6577672569842575e-9,2.4005889827094506e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 nuclear,8,485.0,5.386192325944836e-7,8.720566928914226e-8,484.9999995485864,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 offwind-ac,8,1178.5,1178.4999798431356,3.4005724840221294e-6,2.3557436861665337e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 offwind-dc,8,1178.5,1178.499975690911,1.0047661543246148e-5,3.4356750575170736e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 onwind,8,4500.0,4499.9999752596705,6.156378892769138e-7,2.5355967409268487e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NL0 0 solar,8,7900.0,7899.999982689476,1.0919730053617742e-6,1.8402496607450303e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 CCGT,9,321.0,320.99999990188394,1.4650981137112243e-5,1.4749097204003192e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 OCGT,9,321.0,320.9999959848052,2.753344576218795e-6,6.7685393787542125e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 offwind-ac,9,0.0,0.0,7.030813525768765e-6,7.030813525768765e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 offwind-dc,9,0.0,0.0,6.18069948682065e-6,6.18069948682065e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 onwind,9,3068.0,3067.9999716113366,6.488730398273497e-9,2.8395152185112238e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 solar,9,0.0,0.0,7.750214739667837e-6,7.750214739667837e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 coal,9,0.0,0.0,2.038753064970171e-6,2.038753064970171e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 nuclear,9,0.0,0.0,6.1630286043907915e-6,6.1630286043907915e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 CCGT,10,0.0,0.0,6.962041641845721e-6,6.962041641845721e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 biomass,10,0.0,0.0,7.842914972377934e-6,7.842914972377934e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 coal,10,0.0,0.0,2.09827760569305e-6,2.09827760569305e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 nuclear,10,6871.0,0.0,0.0,6871.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 offwind-ac,10,0.0,0.0,8.153787328913704e-6,8.153787328913704e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 offwind-dc,10,0.0,0.0,7.146333859755402e-6,7.146333859755402e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 oil,10,0.0,0.0,2.8279616130776588e-6,2.8279616130776588e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 onwind,10,10017.0,10016.99996764706,7.866084260558615e-7,3.3139549486804754e-5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 ror,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 solar,10,0.0,0.0,7.304693661887866e-6,7.304693661887866e-6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 hydro,2,1298.0,1297.9997128127409,0.0,0.000287187259118582,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
FR0 0 hydro,5,6655.0,6654.999839660882,0.0,0.0001603391183380154,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
GB5 0 hydro,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
NO3 0 hydro,9,33055.0,33054.99986714702,0.0,0.00013285298336995766,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
SE3 0 hydro,10,16334.0,16333.999841089731,0.0,0.00015891026851022616,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
DE0 0 PHS,2,9422.0,9421.999886348898,0.0,0.00011365110185579397,73672.62365,73672.62276182085,0.0,0.0008881791436579078,0,0.0,0.0,0.0
FR0 0 PHS,5,4655.0,4654.999889836261,0.0,0.00011016373900929466,60951.72621,60951.724767535976,0.0,0.0014424640248762444,0,0.0,0.0,0.0
