Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
CA_Bio_Electricity_CCS_93_Herb,1,1,1.721,18.19,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NW_Bio_Electricity_CCS_93_Herb,2,1,1.726,18.23,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
SW_Bio_Electricity_CCS_93_Herb,3,1,1.71,18.11,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
TX_Bio_Electricity_CCS_93_Herb,4,1,1.714,18.15,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NCEN_Bio_Electricity_CCS_93_Herb,5,1,1.74,18.34,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
CEN_Bio_Electricity_CCS_93_Herb,6,1,1.723,18.23,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
SE_Bio_Electricity_CCS_93_Herb,7,1,1.717,18.2,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Herb,8,1,1.736,18.3,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NE_Bio_Electricity_CCS_93_Herb,9,1,1.745,18.37,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
CA_Bio_Electricity_CCS_93_Wood,1,2,1.843,19.36,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NW_Bio_Electricity_CCS_93_Wood,2,2,1.818,19.32,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
SW_Bio_Electricity_CCS_93_Wood,3,2,1.798,19.14,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
TX_Bio_Electricity_CCS_93_Wood,4,2,1.821,18.99,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NCEN_Bio_Electricity_CCS_93_Wood,5,2,1.802,19.06,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
CEN_Bio_Electricity_CCS_93_Wood,6,2,1.802,19.07,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
SE_Bio_Electricity_CCS_93_Wood,7,2,1.821,19.14,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Wood,8,2,1.806,19.01,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NE_Bio_Electricity_CCS_93_Wood,9,2,1.826,18.89,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
CA_Bio_Electricity_CCS_93_Agri,1,3,1.719,18.29,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NW_Bio_Electricity_CCS_93_Agri,2,3,1.664,16.72,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
SW_Bio_Electricity_CCS_93_Agri,3,3,1.687,17.03,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
TX_Bio_Electricity_CCS_93_Agri,4,3,1.633,16.59,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NCEN_Bio_Electricity_CCS_93_Agri,5,3,1.71,17.3,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
CEN_Bio_Electricity_CCS_93_Agri,6,3,1.7,17.17,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
SE_Bio_Electricity_CCS_93_Agri,7,3,1.689,17.23,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
MIDAT_Bio_Electricity_CCS_93_Agri,8,3,1.708,17.28,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
NE_Bio_Electricity_CCS_93_Agri,9,3,1.715,17.48,0.3012,1,765260.16,212409.12,47.20,0,0,0.932,0,-1,0.4,0.9
