Biomass_Supply,Zone,Emissions_tonne_per_tonne,Cost_per_tonne,Max_tonne_per_hr
CA_1,1,0,44.09,57.26
CA_2,1,0,55.12,4.79
CA_3,1,0,59.52,0.48
CA_4,1,0,77.28,17.53
NW_1,2,0,44.09,184.3
NW_2,2,0,55.12,32.77
NW_3,2,0,59.52,7.55
NW_4,2,0,77.16,329.82
NW_5,2,0,77.28,158.89
SW_1,3,0,44.09,52.16
SW_2,3,0,55.12,1.47
SW_3,3,0,59.52,0.32
SW_4,3,0,77.16,634.64
SW_5,3,0,77.28,107.73
TX_1,4,0,44.09,80.21
TX_2,4,0,55.12,39.14
TX_3,4,0,77.16,756.29
TX_4,4,0,77.28,60.77
NCEN_1,5,0,44.09,251.92
NCEN_2,5,0,55.12,62.4
NCEN_3,5,0,59.52,9.73
NCEN_4,5,0,77.16,1893.52
NCEN_5,5,0,77.28,506.63
CEN_1,6,0,44.09,238.24
CEN_2,6,0,55.12,86.8
CEN_3,6,0,59.52,30.53
CEN_4,6,0,77.16,2832.39
CEN_5,6,0,77.28,167.26
SE_1,7,0,44.09,820.85
SE_2,7,0,55.12,381.66
SE_3,7,0,59.52,53.26
SE_4,7,0,77.16,2114.63
SE_5,7,0,77.28,1140.83
MIDAT_1,8,0,44.09,199.74
MIDAT_2,8,0,55.12,127
MIDAT_3,8,0,59.52,11
MIDAT_4,8,0,77.16,1898.67
MIDAT_5,8,0,77.28,773.78
NE_1,9,0,44.09,106.89
NE_2,9,0,55.12,45.25
NE_3,9,0,59.52,0.24
NE_4,9,0,77.16,253.92
NE_5,9,0,77.28,681.73
