Biorefinery,Zone,Biomass_type,Biomass_carbon_tonne_CO2_per_tonne,Biomass_energy_MMBtu_per_tonne,Biorefinery_efficiency,BioElectricity_fraction,BioH2_fraction,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,NG_consumption_MMBtu_per_tonne,CCS_Rate,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption
CA_Bio_H2_Herb,1,1,1.721,18.19,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NW_Bio_H2_Herb,2,1,1.726,18.23,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SW_Bio_H2_Herb,3,1,1.71,18.11,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
TX_Bio_H2_Herb,4,1,1.714,18.15,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NCEN_Bio_H2_Herb,5,1,1.74,18.34,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CEN_Bio_H2_Herb,6,1,1.723,18.23,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SE_Bio_H2_Herb,7,1,1.717,18.2,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
MIDAT_Bio_H2_Herb,8,1,1.736,18.3,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NE_Bio_H2_Herb,9,1,1.745,18.37,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CA_Bio_H2_CCS_99_Herb,1,1,1.721,18.19,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NW_Bio_H2_CCS_99_Herb,2,1,1.726,18.23,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SW_Bio_H2_CCS_99_Herb,3,1,1.71,18.11,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
TX_Bio_H2_CCS_99_Herb,4,1,1.714,18.15,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NCEN_Bio_H2_CCS_99_Herb,5,1,1.74,18.34,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CEN_Bio_H2_CCS_99_Herb,6,1,1.723,18.23,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SE_Bio_H2_CCS_99_Herb,7,1,1.717,18.2,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
MIDAT_Bio_H2_CCS_99_Herb,8,1,1.736,18.3,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NE_Bio_H2_CCS_99_Herb,9,1,1.745,18.37,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CA_Bio_H2_Wood,1,2,1.843,19.36,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NW_Bio_H2_Wood,2,2,1.818,19.32,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SW_Bio_H2_Wood,3,2,1.798,19.14,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
TX_Bio_H2_Wood,4,2,1.821,18.99,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NCEN_Bio_H2_Wood,5,2,1.802,19.06,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CEN_Bio_H2_Wood,6,2,1.802,19.07,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SE_Bio_H2_Wood,7,2,1.821,19.14,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
MIDAT_Bio_H2_Wood,8,2,1.806,19.01,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NE_Bio_H2_Wood,9,2,1.826,18.89,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
CA_Bio_H2_CCS_99_Wood,1,2,1.843,19.36,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NW_Bio_H2_CCS_99_Wood,2,2,1.818,19.32,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SW_Bio_H2_CCS_99_Wood,3,2,1.798,19.14,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
TX_Bio_H2_CCS_99_Wood,4,2,1.821,18.99,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NCEN_Bio_H2_CCS_99_Wood,5,2,1.802,19.06,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CEN_Bio_H2_CCS_99_Wood,6,2,1.802,19.07,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
SE_Bio_H2_CCS_99_Wood,7,2,1.821,19.14,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
MIDAT_Bio_H2_CCS_99_Wood,8,2,1.806,19.01,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
NE_Bio_H2_CCS_99_Wood,9,2,1.826,18.89,0.5864,0,1,487317.6,353503.36,23.68,1.2646,0.456,0.99,0,-1,0.85,0.9
CA_Bio_H2_Agri,1,3,1.719,18.29,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NW_Bio_H2_Agri,2,3,1.664,16.72,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
SW_Bio_H2_Agri,3,3,1.687,17.03,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
TX_Bio_H2_Agri,4,3,1.633,16.59,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
NCEN_Bio_H2_Agri,5,3,1.71,17.3,0.5864,0,1,172760,190982.4,13.35,0.1227,0.456,0,0,-1,0.85,0.9
