,z1,z2,z3,z4,z5,z6,z7,z8,z9
z1,0,523.9891405,797.3212385,983.409271,473.1302693,1287.602782,804.3501523,199.0824665,1206.814272
z2,523.9891405,0,566.3352478,596.8635916,834.5937799,1786.881075,1305.749215,471.9752684,1118.98045
z3,797.3212385,566.3352478,0,288.5453516,1250.135373,1766.273904,1335.968077,612.2626098,561.7480857
z4,983.409271,596.8635916,288.5453516,0,1395.510078,2046.048162,1604.583233,823.9759379,724.4588638
z5,473.1302693,834.5937799,1250.135373,1395.510078,0,1349.199134,918.2967296,672.0932602,1679.828147
z6,1287.602782,1786.881075,1766.273904,2046.048162,1349.199134,0,483.4399884,1320.112636,1778.265372
z7,804.3501523,1305.749215,1335.968077,1604.583233,918.2967296,483.4399884,0,843.0302747,1453.344048
z8,199.0824665,471.9752684,612.2626098,823.9759379,672.0932602,1320.112636,843.0302747,0,1008.271753
z9,1206.814272,1118.98045,561.7480857,724.4588638,1679.828147,1778.265372,1453.344048,1008.271753,0
