Syn_Fuel_Resource,Zone,mmbtu_sf_diesel_p_tonne_co2,mmbtu_sf_jetfuel_p_tonne_co2,mmbtu_sf_gasoline_p_tonne_co2,mwh_h2_p_tonne_co2,mwh_p_tonne_co2,Inv_Cost_p_tonne_co2_p_hr_yr,Fixed_OM_cost_p_tonne_co2_hr_yr,Var_OM_cost_p_tonne_co2,mmbtu_p_tonne_co2_p1,price_p_mmbtu_p1,co2_out_p_mmbtu_p1,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr,sf_min_output,sf_max_output
CA_Synfuel_Plant,1,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
NW_Synfuel_Plant,2,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
SW_Synfuel_Plant,3,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
TX_Synfuel_Plant,4,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
NCEN_Synfuel_Plant,5,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
CEN_Synfuel_Plant,6,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
SE_Synfuel_Plant,7,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
MIDAT_Synfuel_Plant,8,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
NE_Synfuel_Plant,9,1.6913,3.0568,1.7908,3.6799,0.0362,277645.81,240596.93,9.66,0,0,0,0,0,-1,0.85,0.9
CA_Synfuel_Plant_wCCS_Stored_99pct,1,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
NW_Synfuel_Plant_wCCS_Stored_99pct,2,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
SW_Synfuel_Plant_wCCS_Stored_99pct,3,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
TX_Synfuel_Plant_wCCS_Stored_99pct,4,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
NCEN_Synfuel_Plant_wCCS_Stored_99pct,5,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
CEN_Synfuel_Plant_wCCS_Stored_99pct,6,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
SE_Synfuel_Plant_wCCS_Stored_99pct,7,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
MIDAT_Synfuel_Plant_wCCS_Stored_99pct,8,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
NE_Synfuel_Plant_wCCS_Stored_99pct,9,1.6913,3.0568,1.7908,3.6799,0.6386,366600.37,286556.66,12.58,0,0,0,0.99,0,-1,0.85,0.9
CA_Synfuel_Plant_wCCS_Recycled_99pct,1,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
NW_Synfuel_Plant_wCCS_Recycled_99pct,2,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
SW_Synfuel_Plant_wCCS_Recycled_99pct,3,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
TX_Synfuel_Plant_wCCS_Recycled_99pct,4,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
NCEN_Synfuel_Plant_wCCS_Recycled_99pct,5,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
CEN_Synfuel_Plant_wCCS_Recycled_99pct,6,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
SE_Synfuel_Plant_wCCS_Recycled_99pct,7,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
MIDAT_Synfuel_Plant_wCCS_Recycled_99pct,8,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
NE_Synfuel_Plant_wCCS_Recycled_99pct,9,3.5406,6.399,3.7489,7.7034,1.3369,767430.31,599869.17,26.33,0,0,0,0,0,-1,0.85,0.9
