Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes
1,0.0,3.8740618e-5,3.393678e-8,5.0564995
2,0.0,2.3591336e-5,2.0666011e-8,4.685404
3,0.0,1.921008e-5,1.6828029e-8,4.705704
4,0.0,4.457555e-5,3.904818e-8,5.2533774
5,0.0,1.5903319e-5,1.3931307e-8,5.1007123
6,0.0,2.3658491e-5,2.0724839e-8,4.740164
7,0.0,0.00011172401,9.787023e-8,5.5403943
8,0.0,1.6057062e-5,1.4065987e-8,4.8268933
9,0.0,1.1611797e-5,1.0171934e-8,4.985191
10,0.0,3.4537876e-5,3.025518e-8,4.8722587
11,0.0,3.1409752e-5,2.7514943e-8,4.669827
12,0.0,2.276715e-5,1.9944023e-8,4.7330923
13,0.0,1.1865415e-5,1.0394104e-8,5.2812867
14,0.0,1.51010345e-5,1.3228506e-8,4.9116526
15,0.0,4.5402558e-5,3.977264e-8,5.3377805
16,0.0,1.7388411e-5,1.5232247e-8,4.846671
17,0.0,1.4425919e-5,1.2637106e-8,4.909431
18,0.0,6.6784916e-5,5.8503588e-8,4.800137
19,0.0,1.555874e-5,1.3629457e-8,4.844987
20,0.0,1.1946877e-5,1.0465464e-8,5.256221
21,0.0,1.47645305e-5,1.2933729e-8,4.9133406
22,0.0,3.0470257e-5,2.6691946e-8,4.647025
23,0.0,3.5951678e-5,3.149367e-8,5.030625
24,0.0,2.0611873e-5,1.8056001e-8,4.7818537
25,0.0,1.4100587e-5,1.2352114e-8,4.901526
26,0.0,1.0199552e-5,8.934808e-9,5.1982613
27,0.0,1.25255565e-5,1.0972387e-8,5.006341
28,0.0,2.3055249e-5,2.0196397e-8,4.732008
29,0.0,2.5902098e-5,2.2690239e-8,4.674227
30,0.0,2.4471841e-5,2.1437332e-8,4.6984444
31,0.0,1.534986e-5,1.3446478e-8,5.158716
32,0.0,2.1068563e-5,1.8456062e-8,4.8192463
33,0.0,2.7314065e-5,2.3927122e-8,4.572746
34,0.0,1.2178522e-5,1.0668385e-8,5.0958962
35,0.0,9.378218e-6,8.215319e-9,5.04239
36,0.0,4.3211985e-5,3.78537e-8,5.2036486
37,0.0,1.5458036e-5,1.3541239e-8,5.083074
38,0.0,1.1876037e-5,1.0403409e-8,5.260527
39,0.0,7.633037e-6,6.68654e-9,4.9331765
40,0.0,2.2529737e-5,1.973605e-8,4.731082
41,0.0,1.3727111e-5,1.2024949e-8,4.969455
42,0.0,9.021843e-6,7.903134e-9,4.977801
43,0.0,1.889086e-5,1.6548393e-8,4.7445
44,0.0,1.2763338e-5,1.1180685e-8,4.9061556
45,0.0,2.2333215e-5,1.9563897e-8,4.751469
