,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions,Negative Emissions
t26,8.588153229654759e-6,1.0716562063198447e-5,7.786088149864583e-6,1.0308078677766539e-5,9.703869665248464e-6,8.792837208939087e-6,1.0073995627883543e-5,8.692867964427097e-6,8.500844971319959e-6,8.318912171958483e-6
t27,8.588424887901853e-6,1.0716532990323255e-5,7.78601934017093e-6,1.0308135248622218e-5,9.704030368319898e-6,8.793300112082015e-6,1.0074346102310062e-5,8.692905024812027e-6,8.500979927694466e-6,8.319039805686179e-6
t28,8.588559797990296e-6,1.071654915790401e-5,7.786199034317818e-6,1.0308201757864396e-5,9.704226670649934e-6,8.79390437896863e-6,1.007452067770853e-5,8.69295665043958e-6,8.50109049811541e-6,8.31912354589887e-6
t29,8.588789136211919e-6,1.0716696376039319e-5,7.786357852691176e-6,1.0308367876517706e-5,9.704521620007235e-6,8.792505254357182e-6,1.00747653018752e-5,8.693095809233305e-6,8.501384055001001e-6,8.319367215142206e-6
t30,8.588717092229709e-6,1.071681688262587e-5,7.786481994597964e-6,1.0308510090929402e-5,9.704806541750542e-6,8.791663281879271e-6,1.0074991090626208e-5,8.692974083207389e-6,8.501643844693245e-6,8.319587631503905e-6
t31,8.588410019440144e-6,1.0716729425208864e-5,7.786444023704936e-6,1.0308319498701957e-5,9.704859690146637e-6,8.79400835928857e-6,1.0074999835441076e-5,8.69280760245649e-6,8.501629029243395e-6,8.319438571093741e-6
t32,8.58834615246314e-6,1.0716740900962859e-5,7.786379516932025e-6,1.0308211880045317e-5,9.705348660849742e-6,8.797135671964693e-6,1.0075146943399612e-5,8.69277847668641e-6,8.501760259602506e-6,8.319402612825097e-6
t33,8.588424694077445e-6,1.0716751084623096e-5,7.786561824685625e-6,1.0308163265723068e-5,9.706207246643165e-6,8.802888391500352e-6,1.0075050057833224e-5,8.692775665706208e-6,8.501927327500818e-6,8.319335862337372e-6
t34,8.588827839076501e-6,1.0716943679307617e-5,7.78679925995971e-6,1.0308366531556032e-5,9.7073946201797e-6,8.80002839400662e-6,1.007503999017064e-5,8.69290383438422e-6,8.502352694551645e-6,8.319660825578475e-6
t35,8.588866322656546e-6,1.0716996493941107e-5,7.786952850487561e-6,1.0308444068029536e-5,9.708175062296244e-6,8.797183005736566e-6,1.0075169902081015e-5,8.692845820636425e-6,8.502469037124413e-6,8.31977734971709e-6
t36,8.58837161523701e-6,1.0716553195512224e-5,7.786586127633932e-6,1.0307980760497787e-5,9.708124212077516e-6,8.802903355739487e-6,1.0074853645366256e-5,8.692323127239285e-6,8.502187209851619e-6,8.31931512201091e-6
t37,8.588285213321291e-6,1.0716388204613734e-5,7.78652911657737e-6,1.0307818210426437e-5,9.708017548838917e-6,8.803650288267116e-6,1.0074804044789037e-5,8.69218182447781e-6,8.50216363503518e-6,8.319281510746262e-6
t38,8.588308006698898e-6,1.0716329002438442e-5,7.786534974903544e-6,1.0307752055145835e-5,9.707729399781636e-6,8.801942331697783e-6,1.0074691008184023e-5,8.692191223157316e-6,8.502223924203931e-6,8.319352207006559e-6
t39,8.588157408779148e-6,1.0716181825762583e-5,7.786400334305982e-6,1.0307540486978342e-5,9.707175269246111e-6,8.803894668160452e-6,1.0074577235174988e-5,8.692193254029779e-6,8.502173400346213e-6,8.31925881270309e-6
t40,8.588319648847194e-6,1.0716248025972653e-5,7.786470621522075e-6,1.0307611050331944e-5,9.70678715538208e-6,8.80007171362728e-6,1.0074983286294906e-5,8.692503850670825e-6,8.502347770231533e-6,8.319492534414786e-6
t41,8.588373854794971e-6,1.0716269038811934e-5,7.786443676543345e-6,1.0307687573576804e-5,9.706306910550629e-6,8.795729448788326e-6,1.0075561430113104e-5,8.692722414877926e-6,8.502394441418888e-6,8.319656060428968e-6
t42,8.58819118556709e-6,1.0716036885613183e-5,7.786141325203811e-6,1.0307479272491922e-5,9.705803557582922e-6,8.801841496882945e-6,1.0075754813012142e-5,8.692655065318969e-6,8.502109009798358e-6,8.31938260442703e-6
t43,8.588341207077139e-6,1.071606408111857e-5,7.786098864011893e-6,1.0307546564722226e-5,9.705776767680387e-6,8.803055592579116e-6,1.0075654676036595e-5,8.692702500037162e-6,8.502072286771398e-6,8.319365495041064e-6
t44,8.588795774334869e-6,1.0716342506816192e-5,7.786240790079573e-6,1.0307915262388213e-5,9.706185139121581e-6,8.797947749626828e-6,1.0075922593415753e-5,8.692955635602698e-6,8.502352310672265e-6,8.319684804370837e-6
