,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions,Fuel Usage Emissions
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0024752497695418384,0.0030534172604772276,0.0022140706711276602,0.0029114799470542846,0.0027684051335502887,0.002551943427293866,0.0028602662290425273,0.0025031452120144455,0.0024784420108100095,0.0024208660853661675
t1,2.9450663711891794e-6,3.634157861869068e-6,2.63315661121023e-6,3.4647664045524865e-6,3.294292004327454e-6,3.028816452961125e-6,3.4036206050605823e-6,2.9773416054226875e-6,2.9486130591820334e-6,2.8809049168942147e-6
t2,2.945203406928024e-6,3.633940112227146e-6,2.6337872380996112e-6,3.4642695998927985e-6,3.292528505362846e-6,3.02994232914484e-6,3.4030186887492103e-6,2.9772598520056793e-6,2.9477577466466777e-6,2.8806438155558927e-6
t3,2.9455028607800206e-6,3.634051434302607e-6,2.6340083634607496e-6,3.4643015912832643e-6,3.2921903779579313e-6,3.031020081028255e-6,3.4028921444525464e-6,2.977277121980663e-6,2.9477014014809937e-6,2.8806498497743345e-6
t4,2.9458109362626036e-6,3.634226162409706e-6,2.6341345782379576e-6,3.4644584366791942e-6,3.292214792375619e-6,3.029973746476195e-6,3.4030884999544532e-6,2.9775288735874507e-6,2.947912441386516e-6,2.880805586008161e-6
t5,2.9458875605876535e-6,3.634330163936026e-6,2.63420333377207e-6,3.4646531653118876e-6,3.2922688336530265e-6,3.0284004247841902e-6,3.4031175341069827e-6,2.9775866913045445e-6,2.9480220816190523e-6,2.88095807544872e-6
t6,2.945565954658769e-6,3.6343895301206812e-6,2.6342500617236574e-6,3.4647786560041436e-6,3.292220165095351e-6,3.0277841829022193e-6,3.403009551095069e-6,2.977278788760983e-6,2.947963905998673e-6,2.880972583020064e-6
t7,2.9455860123417756e-6,3.634441625115433e-6,2.63444305639864e-6,3.4648977078024726e-6,3.292294477923708e-6,3.026961441933623e-6,3.4029237351880357e-6,2.9772670996672134e-6,2.9480101673465717e-6,2.881117335384498e-6
t8,2.945624870338307e-6,3.63446879329007e-6,2.634526002339013e-6,3.464916029595792e-6,3.292423436231577e-6,3.026483671556543e-6,3.402855108935316e-6,2.9772551206862776e-6,2.9480708228189615e-6,2.8811928067315917e-6
t9,2.9457103543793205e-6,3.634516688865251e-6,2.6346400630285885e-6,3.4649709598532646e-6,3.2926963781290167e-6,3.026364329160685e-6,3.402645576036935e-6,2.977257158476378e-6,2.9481666386563174e-6,2.8812598500185734e-6
t10,2.9458506229705963e-6,3.634571083209342e-6,2.6347725998337625e-6,3.4650000598165696e-6,3.2930889859500246e-6,3.026744143962172e-6,3.4014126545526497e-6,2.9772821925045564e-6,2.9483788569500004e-6,2.8813335303393546e-6
t11,2.9457895519671076e-6,3.63460213659588e-6,2.6347748088460765e-6,3.4650382179429936e-6,3.2932909767487964e-6,3.027503905941661e-6,3.4003913972148483e-6,2.977217151100277e-6,2.9483380191698265e-6,2.8812180890225234e-6
t12,2.9458991375538047e-6,3.6345849362399758e-6,2.6348163562653506e-6,3.4649937530861275e-6,3.2934185842970538e-6,3.027902565959348e-6,3.3999484397971363e-6,2.9772665475338884e-6,2.9484432868949506e-6,2.8812301578584946e-6
t13,2.945921063059096e-6,3.6346083285403304e-6,2.6348259514722047e-6,3.4650275702032503e-6,3.2934183454359175e-6,3.027811692409405e-6,3.3998041857842584e-6,2.9773670811267047e-6,2.948479520334423e-6,2.881270988713447e-6
t14,2.945902840499164e-6,3.6345929869116676e-6,2.6348000148409292e-6,3.4650262677611874e-6,3.293294461672221e-6,3.027679862914993e-6,3.399960457052987e-6,2.9774480938636047e-6,2.9484635047980223e-6,2.881293865920342e-6
