Resource,Zone,Capacity
Liquid_DAC_1,1,2.258034674428258e-6
Liquid_DAC_2,2,2.5748835803435924e-6
Liquid_DAC_3,3,2.0249567848784007e-6
Liquid_DAC_4,4,2.445789538193059e-6
Liquid_DAC_5,5,2.4179173094167963e-6
Liquid_DAC_6,6,2.336315083311448e-6
Liquid_DAC_7,7,2.44093354860083e-6
Liquid_DAC_8,8,2.2784900971799854e-6
Liquid_DAC_9,9,2.3218511680570503e-6
Liquid_DAC_10,10,2.2899914624978278e-6
Solid_DAC_1,1,1.0219594083486538e-5
Solid_DAC_2,2,1.2657523003831877e-5
Solid_DAC_3,3,9.327840009045377e-6
Solid_DAC_4,4,1.2281017718458316e-5
Solid_DAC_5,5,1.1558450536879456e-5
Solid_DAC_6,6,1.0450994006673235e-5
Solid_DAC_7,7,1.1935924773133682e-5
Solid_DAC_8,8,1.0319076575338588e-5
Solid_DAC_9,9,1.007695902961472e-5
Solid_DAC_10,10,9.906965922704122e-6
Total,n/a,0.00013212350890607315
