,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss,Pipeline CO2 Loss
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,2.6046183338450766e-5,2.8216291460861843e-5,2.7561288456568157e-5,2.7191626776669748e-5,2.837696583702285e-5,2.918847347929889e-5,2.471593167194386e-5,2.3638215885872374e-5,2.5721198711965712e-5,2.4243987707440493e-5
t1,3.1025298102229866e-8,3.388182139844233e-8,3.2935348708181915e-8,3.2483879218766865e-8,3.381722751096237e-8,3.546743933232877e-8,2.9175094563217417e-8,2.8161374913977257e-8,3.068000888026397e-8,2.925108082911586e-8
t2,3.1019076703967785e-8,3.384959209782199e-8,3.292598228379663e-8,3.2458231069136215e-8,3.371946952630614e-8,3.526070322128559e-8,2.907359182877557e-8,2.820011598397118e-8,3.061953299111104e-8,2.9251453687804733e-8
t3,3.098867021011969e-8,3.3852145079751455e-8,3.29203011937763e-8,3.244487060012805e-8,3.368914731401059e-8,3.505301615857717e-8,2.9008121573849307e-8,2.8181346789861374e-8,3.0597572209741123e-8,2.925091724740783e-8
t4,3.1013523881408885e-8,3.3847285851404114e-8,3.290355508875517e-8,3.2432388458463644e-8,3.3658836515192965e-8,3.5011270026144454e-8,2.902711903402579e-8,2.8205378517871826e-8,3.05789098754105e-8,2.9235996659211385e-8
t5,3.099294656220232e-8,3.38279099993568e-8,3.288652913648743e-8,3.242759820093206e-8,3.360566471476118e-8,3.4905130043706035e-8,2.8977813633347012e-8,2.8180719873975956e-8,3.055420038125212e-8,2.923078263685316e-8
t6,3.095015060584991e-8,3.388850360151454e-8,3.296496177445388e-8,3.251339616555624e-8,3.36661210955544e-8,3.482621729077451e-8,2.9035123310000603e-8,2.8128190292683473e-8,3.061422989987356e-8,2.930769844526833e-8
t7,3.093546837968508e-8,3.3885785195267323e-8,3.298992199307628e-8,3.251668158390814e-8,3.361708296729793e-8,3.474834733386745e-8,2.9000615990133303e-8,2.811443829577846e-8,3.059372891300843e-8,2.9324688741487926e-8
t8,3.0931639583552234e-8,3.38927464759875e-8,3.299767594848378e-8,3.2508537964345685e-8,3.355766441873537e-8,3.47667027674818e-8,2.8991677539597448e-8,2.809588833266928e-8,3.058453922205399e-8,2.933443407563751e-8
t9,3.0934820164956286e-8,3.388735869013262e-8,3.3002047352086124e-8,3.2502422192944455e-8,3.3489158079698277e-8,3.4842342271203285e-8,2.8956178994379763e-8,2.80719856674751e-8,3.057576587269899e-8,2.9339050844268253e-8
t10,3.0925756213744096e-8,3.385614306582486e-8,3.29811537273244e-8,3.246856888935976e-8,3.335995453268238e-8,3.4882711859211924e-8,2.8558486080528626e-8,2.8041434740079006e-8,3.058503996610934e-8,2.9332549038219335e-8
t11,3.100629074954137e-8,3.3911178478364645e-8,3.304608069604505e-8,3.254204672623947e-8,3.331249710824233e-8,3.492549111814323e-8,2.8276617598135395e-8,2.813256367813546e-8,3.065028540380861e-8,2.9393582090220127e-8
t12,3.09975844522743e-8,3.387718805335229e-8,3.302292481202374e-8,3.2506917313105006e-8,3.3214063237203456e-8,3.4963705332741994e-8,2.8099842004599663e-8,2.8108880556644697e-8,3.06386671531988e-8,2.9371250378645875e-8
t13,3.098788458901305e-8,3.38526965742135e-8,3.30114683978482e-8,3.2496938979510544e-8,3.31843734306081e-8,3.500216003895731e-8,2.8035892904694717e-8,2.810844069214894e-8,3.0628210927723955e-8,2.936718228659909e-8
t14,3.0971588393298866e-8,3.383044762738013e-8,3.2995988726556006e-8,3.248461403670668e-8,3.318722848510558e-8,3.5010650720638164e-8,2.807853324530383e-8,2.8107222627081337e-8,3.0615167203014365e-8,2.9360016728565786e-8
t15,3.092942821823168e-8,3.378568504528552e-8,3.295697436746595e-8,3.245441504934455e-8,3.323316420696411e-8,3.500478594275134e-8,2.8220773720023965e-8,2.8093020178911734e-8,3.058769221832365e-8,2.9333577620649678e-8
t16,3.096082679068461e-8,3.381185368959681e-8,3.3003883683917504e-8,3.251859845952269e-8,3.336550367585867e-8,3.505242805230216e-8,2.8560383621554033e-8,2.8154875534436063e-8,3.0621017713888846e-8,2.936689124847115e-8
t17,3.0923678665726103e-8,3.377146333887176e-8,3.299957069349109e-8,3.249688426059235e-8,3.3378620220192126e-8,3.5129723817885444e-8,2.8886302645709136e-8,2.8144883412155582e-8,3.058728450190974e-8,2.9346874695335803e-8
t18,3.091442706661678e-8,3.376126878257005e-8,3.299356046958177e-8,3.247892859551832e-8,3.3409698926102615e-8,3.545207480600902e-8,2.928357093614276e-8,2.81488696636134e-8,3.056200972518008e-8,2.9309668154633047e-8
t19,3.089060644709674e-8,3.372658499845318e-8,3.295497266802729e-8,3.2444815818380146e-8,3.3462201911118315e-8,3.56189124545929e-8,2.931365593776199e-8,2.8117417266320916e-8,3.0552120734567817e-8,2.9270009938034517e-8
t20,3.0865415273303626e-8,3.3678308476975527e-8,3.2912055379119094e-8,3.2405247468567966e-8,3.349533668698638e-8,3.5676347211687115e-8,2.9500707515984946e-8,2.808513510635864e-8,3.0536229288542554e-8,2.9216634415648982e-8
t21,3.09225192009302e-8,3.3715302290514465e-8,3.2941322750561255e-8,3.245720533552246e-8,3.36294205223408e-8,3.548236767301745e-8,2.94741920203482e-8,2.8140421855583008e-8,3.0605319596252095e-8,2.9238645568542355e-8
