Resource,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Liquid_DAC_10,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9,Solid_DAC_10
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0014093757,0.0016762863,0.0012031146,0.0015524165,0.0015225292,0.0014828293,0.0015532586,0.0014223661,0.0014626241,0.001421237,0.008307093,0.010409574,0.007580335,0.010045271,0.009430869,0.008486964,0.009795311,0.008408241,0.008183954,0.008013119
t1,1.675378551282517e-6,1.993800621173295e-6,1.4273298339761506e-6,1.845075338937765e-6,1.8095658581453367e-6,1.7509491516724558e-6,1.8477309492010914e-6,1.6891515542365838e-6,1.7379200474618376e-6,1.690055820647855e-6,9.887743006902512e-6,1.2392805117120919e-5,9.024308306834832e-6,1.1960368292070227e-5,1.1228040885041944e-5,1.0096242655147206e-5,1.1657637837144921e-5,1.000804318733003e-5,9.742133380019051e-6,9.539135888614907e-6
t2,1.6756895049286466e-6,1.993785817897843e-6,1.428384503317136e-6,1.8443097208649083e-6,1.8077804905449211e-6,1.7529554872016e-6,1.8468338363045053e-6,1.689044354672255e-6,1.7367292635320692e-6,1.6897889191505858e-6,9.887596699330716e-6,1.239179018620707e-5,9.024614390615181e-6,1.1959957356330533e-5,1.122415573524047e-5,1.009646794777329e-5,1.1657060602366723e-5,1.0007926663811031e-5,9.741094529896472e-6,9.538567327038388e-6
t3,1.6761909212430632e-6,1.994124209713081e-6,1.4288292499156476e-6,1.8443334377903602e-6,1.807714116413218e-6,1.754777431762875e-6,1.8467212962669331e-6,1.6890686442125346e-6,1.7367146772015845e-6,1.6898259362464512e-6,9.887740467814779e-6,1.2391448068154113e-5,9.024526697961428e-6,1.1960050403599128e-5,1.1222692641671217e-5,1.0096940307747538e-5,1.165674128265965e-5,1.0007946999644558e-5,9.740859897824873e-6,9.53850018079611e-6
t4,1.6766927879305423e-6,1.994495287951746e-6,1.4290977646273585e-6,1.8444871424932335e-6,1.8079543995570402e-6,1.7531628324167888e-6,1.8471138789473937e-6,1.6894695866669263e-6,1.737081648427616e-6,1.690064825163352e-6,9.887924775013877e-6,1.2391327635491361e-5,9.024438489388825e-6,1.1960409184203963e-5,1.1222185404614947e-5,1.0096080313389373e-5,1.1656669515117091e-5,1.0008121477697037e-5,9.740925827841703e-6,9.5386318979755e-6
t5,1.6768188891312802e-6,1.9947323831395622e-6,1.4292317578504805e-6,1.8447455224689766e-6,1.8081266698959158e-6,1.7506976946089459e-6,1.8471914349904883e-6,1.6895564327283255e-6,1.7372662771646853e-6,1.6902991433492223e-6,9.887967291627873e-6,1.2391213732104974e-5,9.024422397853913e-6,1.1960678817124827e-5,1.1221998507898011e-5,1.0094884373339662e-5,1.1656608135722544e-5,1.0008175173286607e-5,9.740975751419013e-6,9.538759803018896e-6
t6,1.6763045436154129e-6,1.9949113762371336e-6,1.4292960991932937e-6,1.8449580383663193e-6,1.8080495357027082e-6,1.7497758269458499e-6,1.846994519934371e-6,1.6890655446809126e-6,1.7371515900011691e-6,1.6902965378949993e-6,9.887750002036078e-6,1.2391035100502734e-5,9.024481011914006e-6,1.1960732845984434e-5,1.1221963799535943e-5,1.0094302258329458e-5,1.1656598205594455e-5,1.0007963130139746e-5,9.740992782571572e-6,9.538836770485964e-6
t7,1.6763360914623444e-6,1.9950750726106463e-6,1.4296106568149797e-6,1.84517980734277e-6,1.808155372049347e-6,1.7485310693059962e-6,1.8468347859602297e-6,1.689044373896301e-6,1.7372239297425952e-6,1.6905314870416244e-6,9.88776493439578e-6,1.2390861102102253e-5,9.024596050145242e-6,1.1960731642198499e-5,1.122204787387403e-5,1.0093561457186563e-5,1.1656598752204789e-5,1.0007961677453788e-5,9.741028322890867e-6,9.538925601985758e-6
t8,1.6763946567175593e-6,1.995176688689258e-6,1.4297368791157027e-6,1.8452255907005028e-6,1.808280057135885e-6,1.7478419376782775e-6,1.8466774209076584e-6,1.6890275165817233e-6,1.737318229120817e-6,1.6906539590206025e-6,9.887800506807431e-6,1.239072807745372e-5,9.024668835117178e-6,1.1960701127617111e-5,1.1222347264128337e-5,1.0093043547085213e-5,1.1656676295878284e-5,1.0007947596231928e-5,9.74107634960531e-6,9.538971985856113e-6
