Resource,Zone,Capacity
CAPTURE_COMP_1,1,2.0200936845433085e-5
CAPTURE_COMP_2,2,2.242009121982422e-5
CAPTURE_COMP_3,3,1.9425597097279157e-5
CAPTURE_COMP_4,4,2.2191872583323886e-5
CAPTURE_COMP_5,5,2.1564976788465988e-5
CAPTURE_COMP_6,6,1.8778834486862958e-5
CAPTURE_COMP_7,7,2.17915346770432e-5
CAPTURE_COMP_8,8,2.0352427053430105e-5
CAPTURE_COMP_9,9,2.039162719607495e-5
CAPTURE_COMP_10,10,2.0324953717405157e-5
Total,n/a,0.00020744285166514274
