Resource,GEO_SEQ_INJECT_1,GEO_SEQ_INJECT_2,GEO_SEQ_INJECT_3,GEO_SEQ_INJECT_4,GEO_SEQ_INJECT_5,GEO_SEQ_INJECT_6,GEO_SEQ_INJECT_7,GEO_SEQ_INJECT_8,GEO_SEQ_INJECT_9,GEO_SEQ_INJECT_10,GEO_SEQ_GAS_INJECT_1,GEO_SEQ_GAS_INJECT_2,GEO_SEQ_GAS_INJECT_3,GEO_SEQ_GAS_INJECT_4,GEO_SEQ_GAS_INJECT_5,GEO_SEQ_GAS_INJECT_6,GEO_SEQ_GAS_INJECT_7,GEO_SEQ_GAS_INJECT_8,GEO_SEQ_GAS_INJECT_9,GEO_SEQ_GAS_INJECT_10
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.01505828,0.018192338,0.034019157,0.018938465,0.016893627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t1,0.0,0.0,0.0,0.0,0.0,1.773276666193844e-5,2.1584805124442734e-5,4.067745838266573e-5,2.2611022193534497e-5,2.00804826818182e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,1.7849234482722743e-5,2.1590731428490683e-5,4.0554740550103145e-5,2.2624946114002405e-5,2.005850034720781e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,1.7964148782992846e-5,2.157952283224607e-5,4.05046271176256e-5,2.2599073287757988e-5,2.0032386074535315e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,1.801772740817161e-5,2.1541117508003164e-5,4.0467111838688935e-5,2.261031267678408e-5,2.0044148314255252e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,1.809126997929508e-5,2.1535735951672728e-5,4.043338029602814e-5,2.2593774232102653e-5,2.002459776933884e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,1.8170918641300084e-5,2.1494629195823682e-5,4.0500072227015156e-5,2.253420623628451e-5,1.997573596165732e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,1.8212952597243956e-5,2.1514278687768864e-5,4.047209293946436e-5,2.252413968425766e-5,1.9951406727432047e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,1.8194323309002782e-5,2.152961489066629e-5,4.048273614798721e-5,2.2521458391763542e-5,1.99464976105964e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
