Resource,Zone,Capacity
GEO_SEQ_INJECT_1,1,0.0
GEO_SEQ_INJECT_2,2,0.0
GEO_SEQ_INJECT_3,3,0.0
GEO_SEQ_INJECT_4,4,0.0
GEO_SEQ_INJECT_5,5,0.0
GEO_SEQ_INJECT_6,6,0.0003064467755496436
GEO_SEQ_INJECT_7,7,0.00029022626172908316
GEO_SEQ_INJECT_8,8,0.0003053929405797701
GEO_SEQ_INJECT_9,9,0.0002913935882044311
GEO_SEQ_INJECT_10,10,0.0002936225050074272
GEO_SEQ_GAS_INJECT_1,1,0.0
GEO_SEQ_GAS_INJECT_2,2,0.0
GEO_SEQ_GAS_INJECT_3,3,0.0
GEO_SEQ_GAS_INJECT_4,4,0.0
GEO_SEQ_GAS_INJECT_5,5,0.0
GEO_SEQ_GAS_INJECT_6,6,0.0
GEO_SEQ_GAS_INJECT_7,7,0.0
GEO_SEQ_GAS_INJECT_8,8,0.0
GEO_SEQ_GAS_INJECT_9,9,0.0
GEO_SEQ_GAS_INJECT_10,10,0.0
Total,n/a,0.0014870820710703551
