Resource,CAPTURE_COMP_1,CAPTURE_COMP_2,CAPTURE_COMP_3,CAPTURE_COMP_4,CAPTURE_COMP_5,CAPTURE_COMP_6,CAPTURE_COMP_7,CAPTURE_COMP_8,CAPTURE_COMP_9,CAPTURE_COMP_10
Zone,1,2,3,4,5,6,7,8,9,10
AnnualSum,0.009716469,0.012085861,0.008783449,0.011597687,0.0109533975,0.009969793,0.01134857,0.009830607,0.009646579,0.009434355
t1,1.156312155818503e-5,1.4386605738294214e-5,1.0451638140810983e-5,1.3805443631007991e-5,1.303760674318728e-5,1.1847191806819661e-5,1.3505368786346013e-5,1.1697194741566612e-5,1.148005342748089e-5,1.1229191709262762e-5
t2,1.1563286204259363e-5,1.4385576004104912e-5,1.0452998893932317e-5,1.3804267077195441e-5,1.3031936225785392e-5,1.184942343497489e-5,1.3503894438671228e-5,1.1696971018483286e-5,1.1477823793428542e-5,1.1228356246188973e-5
t3,1.1563931389057841e-5,1.4385572277867195e-5,1.0453355947877076e-5,1.3804383841389488e-5,1.3030406758084435e-5,1.1851717739510414e-5,1.3503462578926584e-5,1.1697015643857092e-5,1.1477574575026457e-5,1.122832611704256e-5
t4,1.156461756294442e-5,1.4385822923443107e-5,1.0453536254016183e-5,1.3804896326697197e-5,1.3030139804171987e-5,1.1849243145806162e-5,1.3503783394064485e-5,1.1697591064363964e-5,1.147800747626932e-5,1.1228696723138851e-5
t5,1.1564786180759153e-5,1.4385946115244536e-5,1.0453654155704394e-5,1.3805424339593803e-5,1.3030125177793928e-5,1.1845582067948608e-5,1.3503799570713032e-5,1.1697731606014933e-5,1.1478242028583699e-5,1.1229058946368119e-5
t6,1.156405454565149e-5,1.4385946476739867e-5,1.0453777111107299e-5,1.3805690884350752e-5,1.3030013335238652e-5,1.1844078085275308e-5,1.3503592725528826e-5,1.169702867482066e-5,1.147814437257274e-5,1.1229133308380963e-5
t7,1.1564101025858125e-5,1.43859361747129e-5,1.0454206706960222e-5,1.3805911449541269e-5,1.3030203245923376e-5,1.1842092526492559e-5,1.350343353816502e-5,1.169700605135009e-5,1.1478252252633462e-5,1.1229457089027382e-5
t8,1.156419516352499e-5,1.438590476614298e-5,1.0454405714232882e-5,1.3805926718317614e-5,1.3030627321264222e-5,1.184088548476349e-5,1.3503353716785943e-5,1.169697511281365e-5,1.1478394578726127e-5,1.1229625944876715e-5
t9,1.1564387367822599e-5,1.4385983292353806e-5,1.0454647541066068e-5,1.3806026507066632e-5,1.3031542983776593e-5,1.1840541438052537e-5,1.3503050326937432e-5,1.169696355032371e-5,1.1478609481886783e-5,1.122977221584068e-5
t10,1.1564673815874357e-5,1.4386135027714452e-5,1.0454903375132515e-5,1.3806081907602902e-5,1.303284674203536e-5,1.1841435132444093e-5,1.350067850959139e-5,1.1696957651617804e-5,1.1479080633062078e-5,1.1229928338981927e-5
t11,1.1564554872578712e-5,1.4386234227522771e-5,1.0454874638575326e-5,1.3806129372489655e-5,1.3033669910554196e-5,1.1843232366525283e-5,1.3498754427035072e-5,1.1696749255772463e-5,1.1479040013439864e-5,1.1229695168728296e-5
t12,1.1564787566013215e-5,1.4386198314063875e-5,1.0454914800458299e-5,1.3806086971707534e-5,1.3034067246953827e-5,1.1844176668482312e-5,1.3497937288108512e-5,1.169684583150778e-5,1.1479266040950254e-5,1.1229721431262452e-5
t13,1.1564838632051842e-5,1.4386217355762604e-5,1.0454904927997066e-5,1.3806170612787417e-5,1.3033996997081127e-5,1.1843928459128858e-5,1.3497648154169352e-5,1.1697113494442929e-5,1.1479347874188343e-5,1.1229815098440117e-5
